Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Alex Abrines,24.3,OKC,Wing,1066,5,10.9%,71,113.3,1,3.2%,5,0.29,91,7.1%
Quincy Acy,27.1,BKN,Big,1287,25,13.6%,14,105.3,22,6.4%,38,0.47,37,14.5%
Steven Adams,24.3,OKC,Big,2465,34,14.4%,84,125.9,11,5.1%,13,0.36,34,14.9%
Bam Adebayo,20.3,MIA,Big,1319,48,15.9%,46,114.4,75,11.4%,82,0.72,38,14.4%
Arron Afflalo,32.0,ORL,Wing,618,13,11.9%,38,105.4,19,6.5%,38,0.55,36,12.4%
LaMarcus Aldridge,32.3,SAS,Big,2474,97,27.5%,47,114.9,72,11.1%,21,0.40,97,7.4%
Jarrett Allen,19.5,BKN,Big,1421,34,14.4%,88,126.8,14,5.5%,18,0.38,20,17.1%
Tony Allen,35.8,NOP,Wing,258,51,16.9%,35,104.4,9,5.3%,7,0.31,1,18.4%
Al-Farouq Aminu,27.1,POR,Big,2055,28,13.8%,13,104.4,16,5.6%,24,0.41,59,12.0%
Justin Anderson,24.0,PHI,Wing,420,46,16.3%,90,120.6,30,7.8%,25,0.48,87,7.6%
Kyle Anderson,24.1,SAS,Forward,1946,37,14.4%,69,116.5,90,14.4%,96,1.00,8,15.1%
Ryan Anderson,29.5,HOU,Big,1672,20,13.3%,63,118.5,9,4.9%,16,0.37,92,8.4%
Giannis Antetokounmpo,22.9,MIL,Forward,2740,98,31.5%,84,119.8,96,23.6%,88,0.75,47,11.7%
Carmelo Anthony,33.4,OKC,Big,2473,81,21.3%,9,101.1,18,6.1%,5,0.29,95,7.9%
OG Anunoby,20.3,TOR,Forward,1441,10,11.2%,76,117.3,8,4.7%,22,0.42,37,11.9%
Ryan Arcidiacono,23.6,CHI,Combo,262,0,9.7%,93,116.7,39,17.0%,100,1.75,2,20.7%
Trevor Ariza,32.3,HOU,Wing,2221,20,13.2%,81,115.0,20,6.6%,30,0.50,86,7.8%
Darrell Arthur,29.6,DEN,Big,118,65,18.9%,53,115.4,77,12.0%,75,0.64,1,30.3%
Jamel Artis,24.8,ORL,Forward,243,24,13.6%,6,86.1,37,8.0%,67,0.59,78,9.3%
Omer Asik,31.3,NOP,Big,103,0,8.5%,0,62.5,0,2.2%,4,0.26,3,25.0%
D.J. Augustin,30.0,ORL,Point,1739,30,20.9%,93,124.2,41,25.2%,57,1.20,43,14.8%
Luke Babbitt,28.4,MIA,Forward,106,51,15.5%,8,89.2,12,4.8%,0,0.31,86,8.2%
Luke Babbitt,28.4,ATL,Big,517,19,13.2%,76,122.2,27,6.6%,44,0.50,90,9.1%
Dwayne Bacon,22.2,CHA,Wing,627,16,12.6%,7,87.0,16,6.1%,28,0.49,53,10.9%
Ron Baker,24.6,NYK,Combo,334,4,11.2%,25,98.3,23,14.2%,82,1.27,27,14.4%
Lonzo Ball,20.0,LAL,Combo,1769,52,20.3%,5,89.8,84,28.9%,93,1.42,14,15.6%
J.J. Barea,33.3,DAL,Combo,1595,91,29.6%,68,110.2,98,42.6%,95,1.44,45,13.7%
Harrison Barnes,25.4,DAL,Forward,2590,90,24.4%,45,108.5,71,10.1%,18,0.41,84,8.3%
Will Barton,26.8,DEN,Combo,2634,61,21.3%,84,113.1,45,18.4%,39,0.86,75,11.1%
Nicolas Batum,28.9,CHA,Wing,1960,71,20.4%,39,106.3,99,25.4%,99,1.25,19,14.0%
Jerryd Bayless,29.2,PHI,Wing,898,29,14.4%,55,108.9,41,8.4%,50,0.59,13,15.0%
Aron Baynes,30.9,BOS,Big,1448,49,16.0%,9,100.9,57,9.2%,62,0.58,31,15.3%
Kent Bazemore,28.3,ATL,Wing,1771,86,23.4%,59,110.2,91,20.0%,89,0.85,4,16.7%
Bradley Beal,24.3,WAS,Wing,2957,95,27.7%,79,114.5,93,20.6%,80,0.74,47,11.5%
