Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Alex Abrines,25.3,OKC,Wing,558,8,11.3%,24,101.3,6,4.7%,13,0.41,82,8.5%
Quincy Acy,28.1,PHX,Big,102,2,9.6%,0,70.0,42,8.0%,86,0.84,21,15.4%
Jaylen Adams,22.5,ATL,Point,395,2,15.4%,9,94.1,19,21.0%,76,1.36,11,16.4%
Steven Adams,25.3,OKC,Big,2678,34,14.9%,58,117.4,18,6.3%,21,0.42,43,13.8%
Bam Adebayo,21.3,MIA,Big,1876,45,16.1%,80,125.2,84,14.8%,91,0.92,11,17.5%
Deng Adel,21.7,CLE,Forward,187,3,9.9%,3,81.1,1,3.2%,8,0.32,15,14.6%
LaMarcus Aldridge,33.3,SAS,Big,2698,94,25.5%,53,115.8,71,11.5%,26,0.45,88,9.4%
Rawle Alkins,21.0,CHI,Forward,108,69,18.6%,4,89.7,83,13.4%,82,0.72,4,16.7%
Grayson Allen,23.1,UTA,Combo,322,66,21.8%,47,106.3,3,9.1%,0,0.42,12,15.6%
Jarrett Allen,20.5,BKN,Big,2093,29,14.5%,79,124.9,34,7.6%,41,0.52,35,14.5%
Kadeem Allen,25.8,NYK,Combo,377,69,23.6%,69,112.0,81,27.6%,76,1.17,31,13.5%
Al-Farouq Aminu,28.1,POR,Big,2291,14,12.9%,41,113.1,14,5.7%,25,0.44,81,10.1%
Justin Anderson,25.0,ATL,Wing,414,46,15.6%,18,97.9,16,6.4%,13,0.41,21,13.0%
Kyle Anderson,25.1,MEM,Forward,1270,30,13.6%,73,115.2,89,15.2%,100,1.12,8,15.2%
Ryan Anderson,30.5,PHX,Big,277,13,12.9%,1,84.8,54,9.4%,78,0.73,27,15.0%
Giannis Antetokounmpo,23.9,MIL,Forward,2364,99,32.7%,99,129.9,99,29.3%,96,0.90,14,14.6%
Carmelo Anthony,34.4,HOU,Forward,291,68,18.5%,24,100.8,0,2.9%,0,0.16,97,5.6%
OG Anunoby,21.3,TOR,Forward,1293,32,14.0%,44,109.6,13,4.9%,14,0.35,30,12.8%
Ryan Arcidiacono,24.6,CHI,Combo,1912,2,13.9%,83,114.9,46,19.1%,95,1.38,78,10.3%
Trevor Ariza,33.3,PHX,Wing,883,38,14.7%,40,105.7,77,14.2%,91,0.96,20,13.2%
Trevor Ariza,33.3,WAS,Wing,1463,66,18.2%,53,108.8,82,15.3%,81,0.84,58,10.4%
D.J. Augustin,31.0,ORL,Point,2265,31,20.1%,98,125.0,50,25.7%,74,1.28,61,12.2%
Deandre Ayton,20.3,PHX,Big,2182,70,19.1%,72,121.6,53,9.4%,37,0.49,50,13.1%
Dwayne Bacon,23.2,CHA,Wing,651,60,16.6%,69,112.8,38,8.8%,37,0.53,96,5.8%
Marvin Bagley,19.6,SAC,Big,1524,86,22.5%,34,111.9,14,5.9%,3,0.26,72,11.2%
Lonzo Ball,21.0,LAL,Point,1401,20,19.2%,17,97.7,31,23.7%,65,1.24,13,15.9%
Mohamed Bamba,20.5,ORL,Big,745,50,16.6%,23,108.2,48,8.8%,46,0.53,24,15.2%
J.J. Barea,34.3,DAL,Combo,744,92,32.2%,22,99.3,100,45.1%,97,1.40,42,12.5%
Harrison Barnes,26.4,SAC,Forward,948,46,15.4%,75,116.0,45,7.4%,41,0.48,86,8.5%
Harrison Barnes,26.4,DAL,Forward,1569,85,21.7%,45,109.6,37,6.6%,7,0.30,83,8.6%
Will Barton,27.8,DEN,Wing,1189,76,20.2%,23,101.2,78,14.5%,64,0.72,39,11.6%
Keita Bates-Diop,22.8,MIN,Wing,454,21,12.8%,25,101.5,9,5.1%,10,0.40,68,9.7%
Nicolas Batum,29.9,CHA,Wing,2338,28,13.9%,87,117.3,79,14.7%,97,1.06,8,15.4%
Jerryd Bayless,30.2,MIN,Point,637,33,20.3%,2,87.3,52,26.0%,72,1.28,78,10.6%
Aron Baynes,31.9,BOS,Big,810,34,14.8%,38,112.4,50,9.2%,64,0.62,38,14.3%
Kent Bazemore,29.3,ATL,Wing,1639,82,21.7%,33,102.8,77,14.3%,55,0.66,15,13.9%
Bradley Beal,25.3,WAS,Wing,3025,96,28.5%,86,117.2,96,23.3%,75,0.82,46,10.9%
Malik Beasley,21.9,DEN,Wing,1789,51,16.0%,94,122.3,23,7.1%,17,0.45,88,7.8%
Michael Beasley,29.8,LAL,Big,254,97,28.4%,42,113.2,82,13.9%,35,0.49,23,15.2%
Marco Belinelli,32.6,SAS,Wing,1796,64,17.8%,73,113.7,47,9.9%,40,0.56,72,9.4%
Jordan Bell,23.8,GSW,Big,615,10,12.3%,35,112.0,70,11.3%,91,0.92,6,19.7%
DeAndre' Bembry,24.3,ATL,Wing,1873,62,17.7%,26,101.7,82,15.2%,84,0.85,4,16.7%
Dragan Bender,21.0,PHX,Big,776,15,13.0%,12,104.4,55,9.6%,79,0.74,23,15.3%
Dairis Bertans,29.1,NOP,Wing,150,19,12.7%,1,72.7,39,8.8%,61,0.70,100,2.2%
Davis Bertans,26.0,SAS,Big,1594,12,12.6%,90,128.4,37,7.8%,64,0.62,91,8.9%
Patrick Beverley,30.3,LAC,Combo,2121,3,13.9%,80,113.1,39,18.4%,90,1.32,47,11.9%
Khem Birch,26.1,ORL,Big,556,16,13.0%,90,128.4,49,9.0%,73,0.69,80,10.2%
Bismack Biyombo,26.2,CHA,Big,755,9,12.3%,57,117.1,20,6.4%,40,0.52,14,16.5%
Nemanja Bjelica,30.5,SAC,Big,1795,42,15.9%,57,117.1,65,10.7%,70,0.67,62,11.9%
Antonio Blakeney,22.1,CHI,Wing,709,87,22.8%,12,93.4,32,8.0%,5,0.35,86,8.0%
Eric Bledsoe,28.9,MIL,Point,2266,61,25.1%,83,115.7,59,26.1%,35,1.04,59,12.2%
Jaron Blossomgame,25.1,CLE,Big,417,6,11.5%,6,100.9,2,4.2%,15,0.36,92,8.5%
Bogdan Bogdanovic,26.2,SAC,Wing,1944,90,23.3%,45,107.1,94,19.8%,84,0.85,48,10.9%
Bojan Bogdanovic,29.5,IND,Forward,2547,79,20.5%,89,123.6,65,9.3%,34,0.45,46,11.1%
Andrew Bogut,33.9,GSW,Big,126,17,13.1%,69,120.7,57,9.7%,81,0.74,2,21.9%
Jonah Bolden,22.8,PHI,Big,567,10,12.3%,62,118.8,49,9.0%,77,0.73,8,18.3%
Devin Booker,22.0,PHX,Combo,2239,97,34.7%,90,117.5,92,32.7%,46,0.94,15,14.5%
Avery Bradley,27.9,MEM,Wing,442,86,22.4%,76,114.2,93,19.5%,86,0.87,24,12.7%
Avery Bradley,27.9,LAC,Wing,1462,30,14.1%,13,93.9,42,9.3%,53,0.66,23,12.8%
Corey Brewer,32.7,SAC,Wing,332,11,11.7%,51,108.4,48,9.9%,83,0.85,54,10.7%
Corey Brewer,32.7,PHI,Forward,120,63,17.7%,20,98.0,62,9.0%,46,0.51,10,15.1%
Mikal Bridges,22.2,PHX,Wing,2354,13,11.9%,68,112.7,46,9.8%,78,0.83,47,10.9%
Miles Bridges,20.6,CHA,Forward,1569,28,13.6%,63,112.4,52,8.0%,70,0.59,72,9.4%
Isaiah Briscoe,22.6,ORL,Point,456,6,16.2%,7,93.5,28,23.0%,85,1.42,6,17.0%
Ryan Broekhoff,28.2,DAL,Forward,391,24,13.1%,97,129.3,41,6.9%,55,0.53,28,12.8%
Malcolm Brogdon,25.9,MIL,Combo,1820,58,20.6%,97,123.4,24,15.6%,19,0.76,76,10.3%
Dillon Brooks,22.8,MEM,Forward,313,75,20.0%,30,104.0,56,8.2%,27,0.41,21,14.1%
MarShon Brooks,29.8,MEM,Wing,368,93,24.8%,26,101.7,58,10.9%,16,0.44,65,10.1%
Bruce Brown,22.2,DET,Wing,1406,9,11.3%,14,94.3,35,8.4%,67,0.74,36,11.7%
Jaylen Brown,22.0,BOS,Wing,1852,77,20.3%,55,109.6,28,7.5%,6,0.37,44,11.2%
Lorenzo Brown,28.2,TOR,Wing,147,68,19.0%,4,80.9,91,18.8%,94,0.99,4,17.3%
