id,site,league,slate,site_id,name,period,max_entries,max_entrants,cost,prizepool,places_paid,total_entrants,winning_score,mincash_score,startdate,winning_payout,mincash_payout,DateTime,Title,game_cnt,winner_cnt,winner,has_lineups
815234157,fanduel,NBA,65053,65053-249569931,$1M Tue NBA Clutch Shot ($200K to 1st),2021-10-19,150,396825,3.0,1000000.0,104250,310921,371.7,276.6,1634686200,200000.0,5.0,2021-10-19 19:30:00,Main,2,0,amitc,0
828585275,fanduel,NBA,65682,65682-250157147,$400K Thu NBA Clutch Shot ($75K Triple Double Bonus),2021-10-21,150,158730,3.0,400000.0,38270,158730,348.7,272.5,1634859000,100000.0,5.0,2021-10-21 19:30:00,Main,3,0,emitnulb,0
829858725,fanduel,NBA,65723,65723-250188938,$444K Fri NBA Shot ($100K to 1st),2021-10-22,150,176190,3.0,444000.0,43570,165253,450.2,331.5,1634943600,100000.0,5.0,2021-10-22 19:00:00,Main,10,0,philleo1,0
831216038,fanduel,NBA,65760,65760-250220732,$400K Sat NBA Clutch Shot ($100K to 1st),2021-10-23,150,107250,4.44,400000.0,24730,103768,391.3,326.5,1635030000,100000.0,7.0,2021-10-23 19:00:00,Main,7,0,adevincentz,0
832604852,fanduel,NBA,65831,65831-250262343,$200K Sun NBA Shot ($50K to 1st),2021-10-24,150,53625,4.44,200000.0,11027,53625,440.2,325.2,1635116400,50000.0,8.0,2021-10-24 19:00:00,Main,5,0,wildcats2222,0
833597138,fanduel,NBA,65876,65876-250301016,$400K Mon NBA Clutch Shot ($100K to 1st),2021-10-25,150,119047,4.0,400000.0,27400,119047,406.3,320.3,1635202800,100000.0,7.0,2021-10-25 19:00:00,Main,9,0,suprem,0
834231318,fanduel,NBA,65965,65965-250353577,$444K Tue NBA Clutch Shot ($100K to 1st),2021-10-26,150,132142,4.0,444000.0,31250,132142,414.2,308.0,1635291000,100000.0,7.0,2021-10-26 19:30:00,Main,5,0,jaytious28,0
834986224,fanduel,NBA,66008,66008-250478468,$444K Wed NBA Clutch Shot ($100K to 1st),2021-10-27,150,132142,4.0,444000.0,30400,132142,408.4,328.7,1635375600,100000.0,7.0,2021-10-27 19:00:00,Main,10,0,balogunad,0
836073001,fanduel,NBA,66075,66075-250514129,$400K Thu NBA Clutch Shot ($100K to 1st),2021-10-28,150,119047,4.0,400000.0,27400,111111,406.3,318.2,1635462000,100000.0,7.0,2021-10-28 19:00:00,Main,6,0,encarn53,0
837310984,fanduel,NBA,66117,66117-250548224,$444K Fri NBA Clutch Shot ($100K to 1st),2021-10-29,150,119048,4.44,444000.0,27071,115313,371.4,295.3,1635548400,100000.0,7.0,2021-10-29 19:00:00,Main,7,0,gilly2shoes7,0
838595700,fanduel,NBA,66153,66153-250576956,$400K Sat NBA Clutch Shot ($100K to 1st),2021-10-30,150,85800,5.55,400000.0,21455,84342,388.1,289.3,1635634800,100000.0,10.0,2021-10-30 19:00:00,Main,10,0,bling1889,0
841049635,fanduel,NBA,66246,66246-250665849,$400K Mon NBA Clutch Shot ($100K to 1st),2021-11-01,150,85800,5.55,400000.0,21455,85800,440.9,346.7,1635807600,100000.0,10.0,2021-11-01 19:00:00,Main,9,0,jhood5379,0
841698954,fanduel,NBA,66298,66298-250694161,$400K Tue NBA Clutch Shot ($100K to 1st),2021-11-02,150,119047,4.0,400000.0,27400,115543,394.1,325.7,1635894000,100000.0,7.0,2021-11-02 19:00:00,Main,5.0,0,lmfaoyourface,0
842504491,fanduel,NBA,66378,66378-250834732,$400K Wed NBA Clutch Shot ($100K to 1st),2021-11-03,150,107250,4.44,400000.0,23308,107250,436.0,317.5,1635980400,100000.0,7.0,2021-11-03 19:00:00,Main,11,0,brion212,0
