id,site,league,slate,site_id,name,period,max_entries,max_entrants,cost,prizepool,places_paid,total_entrants,winning_score,mincash_score,startdate,winning_payout,mincash_payout,DateTime,Title,game_cnt,winner_cnt,winner,has_lineups
1156608993,fanduel,NBA,85468,85468-261896100,$125K Sun NBA Shot ($25K to 1st),2023-01-01,150,19151,7.77,125000.0,4410,19151,368.3,316.0,1672621200,25000.0,14.0,2023-01-01 20:00:00,Main,3,0,garnes222,1
1157549337,fanduel,NBA,85490,85490-261918517,$250K Mon NBA Shot ($50K to 1st),2023-01-02,150,53625,5.55,250000.0,12334,50581,474.0,360.9,1672704000,50000.0,10.0,2023-01-02 19:00:00,Main,10,0,jivib,1
1158103273,fanduel,NBA,85525,85525-261950300,$350K Tue NBA Clutch Shot ($100K to 1st),2023-01-03,150,59523,7.0,350000.0,13690,59523,402.2,317.9,1672794000,100000.0,12.0,2023-01-03 20:00:00,Main,3,0,tjones1234,1
1158606693,fanduel,NBA,85591,85591-261991547,$400K Wed NBA Jumbo Dunk ($100K to 1st),2023-01-04,91,3034,150.0,400000.0,618,3034,385.7,333.1,1672876800,100000.0,300.0,2023-01-04 19:00:00,Main,12,0,mazwa,1
1159316770,fanduel,NBA,85615,85615-262043811,$400K Thu NBA Clutch Shot ($100K to 1st),2023-01-05,150,52910,9.0,400000.0,12555,48247,368.0,270.8,1672963200,100000.0,16.0,2023-01-05 19:00:00,Main,4,0,princeklee,1
1160247828,fanduel,NBA,85655,85655-262059064,$300K Fri NBA Shot ($50K to 1st),2023-01-06,150,45964,7.77,300000.0,10675,44900,402.4,304.3,1673049600,50000.0,14.0,2023-01-06 19:00:00,Main,11,0,yngdon,1
1161344880,fanduel,NBA,85699,85699-262081592,$150K Sat NBA Shot ($30K to 1st),2023-01-07,150,25510,7.0,150000.0,6000,25510,383.0,317.1,1673139600,30000.0,12.0,2023-01-07 20:00:00,Main,4.0,0,fierce_brosnan,1
1162501250,fanduel,NBA,85731,85731-262101777,$100K Sun NBA Shot ($20K to 1st),2023-01-08,150,13227,9.0,100000.0,3300,13227,395.3,347.5,1673218800,20000.0,16.0,2023-01-08 18:00:00,Main,6,0,"denssity,zbark2,astronomy15,sullybrochill,ilikericeandguac",1
1163235900,fanduel,NBA,85770,85770-262139406,$350K Mon NBA Super Swingman ($100K to 1st),2023-01-09,150,27450,15.0,350000.0,6700,27450,353.3,293.4,1673308800,100000.0,25.0,2023-01-09 19:00:00,Main,6,0,tftijhub,1
1163721770,fanduel,NBA,85803,85803-262156114,$400K Tue NBA Clutch Shot ($100K to 1st),2023-01-10,150,68027,7.0,400000.0,16446,57995,439.7,352.4,1673395200,100000.0,12.0,2023-01-10 19:00:00,Main,7,0,mlmickey,1
1164500245,fanduel,NBA,85869,85869-262175713,$400K Wed NBA Hang Time ($100K to 1st),2023-01-11,61,2034,222.0,400000.0,465,2034,348.1,288.6,1673481600,100000.0,400.0,2023-01-11 19:00:00,Main,8,0,bigpapagates,1
