id,site,league,slate,site_id,name,period,max_entries,max_entrants,cost,prizepool,places_paid,total_entrants,winning_score,mincash_score,startdate,winning_payout,mincash_payout,DateTime,Title,game_cnt,winner_cnt,winner,has_lineups
1434875219,fanduel,NBA,98416,98416-268374127,$4K Mon NBA Piggy Bank Shot (150 Entries Max),2024-01-15,150,95808,0.05,4000.0,28750,87434,343.9,261.2,1705363200,200.0,0.1,2024-01-15 19:00:00,Main,5,0,genarop,1
1434875226,fanduel,NBA,98416,98416-268374155,$8K Mon NBA Fadeaway ($0.25 To Enter),2024-01-15,150,38323,0.25,8000.0,11500,38323,347.6,262.4,1705363200,400.0,0.5,2024-01-15 19:00:00,Main,5,0,az350z,1
1434878930,draftkings,NBA,99330,157659311,NBA $15K And-One,2024-01-15,20,17835,1.0,15000.0,4636,17835,300.75,243.0,1705363200,1000.0,1.5,2024-01-15 19:00:00,Late Swap,5,1,jumangibuttercup,1
1434804734,draftkings,NBA,99330,157651972,NBA $3K Quarter Jukebox [Just $0.25!],2024-01-15,20,14268,0.25,3000.0,3419,14268,304.25,245.75,1705363200,150.0,0.5,2024-01-15 19:00:00,Late Swap,5,1,las0pa1972,1
1434875225,fanduel,NBA,98416,98416-268374351,$100K Mon NBA Shot ($20K to 1st),2024-01-15,150,13227,9.0,100000.0,3300,12631,344.7,263.3,1705363200,20000.0,16.0,2024-01-15 19:00:00,Main,5,0,duvalcounty24,1
1434875214,fanduel,NBA,98416,98416-268374285,$30K Mon NBA Layup ($5K to 1st),2024-01-15,150,11904,3.0,30000.0,3000,11904,344.7,262.5,1705363200,5000.0,6.0,2024-01-15 19:00:00,Main,5,0,duvalcounty24,1
1434804704,draftkings,NBA,99330,157651974,NBA $5K mini-MAX [150 Entry Max],2024-01-15,150,11890,0.5,5000.0,2732,11890,304.5,247.5,1705363200,500.0,1.0,2024-01-15 19:00:00,Late Swap,5,1,kirkj31,1
1435333479,draftkings,NBA,99330,157684728,NBA $5K mini-MAX [150 Entry Max],2024-01-15,150,11890,0.5,5000.0,2732,11890,299.25,245.5,1705363200,500.0,1.0,2024-01-15 19:00:00,Late Swap,5,1,ndizzle77,1
1434804727,draftkings,NBA,99319,157651899,NBA $2K Quarter Jukebox [Just $0.25!] (Early),2024-01-15,20,9512,0.25,2000.0,2266,9512,314.25,264.75,1705341600,100.0,0.5,2024-01-15 13:00:00,Late Swap(Early),2,11,"bmincey86,OAKDMC,schmittie32,WarEagleMan2U,ACasperD,KingTerryPegula,BigDBoss,Damadbowler,blairscott14,cvferguson,shervey",1
1434804947,draftkings_showdown,NBA,99337,157652027,NBA Showdown $2K Quarter Jukebox [Just $0.25!] (OKC vs LAL),2024-01-15,20,9512,0.25,2000.0,2266,9512,249.63,225.13,1705375800,100.0,0.5,2024-01-15 22:30:00,(OKC vs LAL),1,4,"LetEmKnow,The_Aquarebellions,blubberboo25,joncruz",1
1434804661,draftkings_showdown,NBA,99337,157652030,NBA Showdown $7K And-One (OKC vs LAL),2024-01-15,20,8323,1.0,7000.0,1915,8323,249.63,225.38,1705375800,600.0,1.5,2024-01-15 22:30:00,(OKC vs LAL),1,3,"wildryan-2002,RyanBGrindin,Stubbs0001",1
1434878924,draftkings,NBA,99330,157659315,NBA $100K Fadeaway [$25K to 1st],2024-01-15,150,7843,15.0,100000.0,1710,7843,302.5,243.25,1705363200,25000.0,23.0,2024-01-15 19:00:00,Late Swap,5,1,ragingphilip,1
1434804666,draftkings,NBA,99336,157652020,NBA $6K And-One (Night),2024-01-15,20,7134,1.0,6000.0,1815,7134,274.75,230.5,1705370400,600.0,1.5,2024-01-15 21:00:00,Late Swap(Night),2,1,edward30,1
1434804658,draftkings,NBA,99319,157651896,NBA $5K And-One (Early),2024-01-15,20,5945,1.0,5000.0,1543,5945,321.25,263.75,1705341600,500.0,1.5,2024-01-15 13:00:00,Late Swap(Early),2,1,EagleEye3434,1
1434878926,draftkings,NBA,99330,157659308,NBA $20K Four Point Play [20 Entry Max],2024-01-15,20,5945,4.0,20000.0,1538,5945,295.0,243.25,1705363200,2000.0,6.0,2024-01-15 19:00:00,Late Swap,5,1,IAmTheBossOk,1
1435399832,draftkings,NBA,99330,157695576,NBA $5K And-One,2024-01-15,20,5945,1.0,5000.0,1543,5945,303.75,245.5,1705363200,500.0,1.5,2024-01-15 19:00:00,Late Swap,5,1,be8732,1
1435271522,fanduel,NBA,98421,98421-268375615,$200 Mon NBA Piggy Bank Shot (150 Entries Max),2024-01-15,142,4790,0.05,200.0,1425,4790,307.5,250.7,1705370400,10.0,0.1,2024-01-15 21:00:00,After Hours,2,0,redbear6622003,1
1434793504,draftkings,NBA,99330,157648622,NBA $400 Dime Time [Just $0.10!],2024-01-15,20,4756,0.1,400.0,1115,4756,307.5,244.0,1705363200,40.0,0.2,2024-01-15 19:00:00,Late Swap,5,1,leiny25,1
1434804675,draftkings,NBA,99324,157651940,NBA $4K And-One (Afternoon),2024-01-15,20,4756,1.0,4000.0,1103,4756,331.0,272.25,1705348800,400.0,1.5,2024-01-15 15:00:00,Late Swap(Afternoon),3,1,Bantaplay,1
1434804680,draftkings_pickem,NBA,99332,157651988,NBA Tiers $4K And-One,2024-01-15,20,4756,1.0,4000.0,1103,4756,304.5,248.5,1705363200,400.0,1.5,2024-01-15 19:00:00,(NBA Tiers),5,1,fangirl48,1
1434804914,draftkings_pickem,NBA,99332,157651982,NBA Tiers $1K Quarter Jukebox [Just $0.25!] ,2024-01-15,20,4756,0.25,1000.0,1104,4756,299.75,247.75,1705363200,100.0,0.5,2024-01-15 19:00:00,(NBA Tiers),5,1,scottrichone,1
1434804918,draftkings,NBA,99324,157651932,NBA $1K Quarter Jukebox [Just $0.25!]  (Afternoon),2024-01-15,20,4756,0.25,1000.0,1104,4756,341.25,270.25,1705348800,100.0,0.5,2024-01-15 15:00:00,Late Swap(Afternoon),3,1,CoryBradley,1
1434804946,draftkings,NBA,99336,157652016,NBA $1K Quarter Jukebox [Just $0.25!]  (Night),2024-01-15,20,4756,0.25,1000.0,1104,4756,288.25,231.25,1705370400,100.0,0.5,2024-01-15 21:00:00,Late Swap(Night),2,1,behoss,1
1435264096,draftkings,NBA,99319,157678731,NBA $4K And-One (Early),2024-01-15,20,4756,1.0,4000.0,1103,4756,314.25,267.0,1705341600,400.0,1.5,2024-01-15 13:00:00,Late Swap(Early),2,2,"Damadbowler,lukagirl",1
1435284292,draftkings,NBA,99330,157679690,NBA $400 Dime Time [Just $0.10!],2024-01-15,20,4756,0.1,400.0,1115,4756,298.75,244.5,1705363200,40.0,0.2,2024-01-15 19:00:00,Late Swap,5,1,nlowejr,1
1435291543,draftkings,NBA,99324,157681620,NBA $1K Quarter Jukebox [Just $0.25!]  (Afternoon),2024-01-15,20,4756,0.25,1000.0,1104,4756,338.25,267.0,1705348800,100.0,0.5,2024-01-15 15:00:00,Late Swap(Afternoon),3,1,gmoney_69,1
1435458025,draftkings,NBA,99330,157703178,NBA $400 Dime Time [Just $0.10!],2024-01-15,20,4756,0.1,400.0,1115,4756,298.25,247.25,1705363200,40.0,0.2,2024-01-15 19:00:00,Late Swap,5,1,Jmshmdy,1
1434804656,draftkings,NBA,99319,157651905,NBA $60K Fadeaway [$20K to 1st] (Early),2024-01-15,141,4705,15.0,60000.0,991,4705,321.25,268.0,1705341600,20000.0,25.0,2024-01-15 13:00:00,Late Swap(Early),2,1,mosdef8523,1
