id,site,league,slate,site_id,name,period,max_entries,max_entrants,cost,prizepool,places_paid,total_entrants,winning_score,mincash_score,startdate,winning_payout,mincash_payout,DateTime,Title,game_cnt,winner_cnt,winner,has_lineups
1069062553,fanduel,NBA,81576,81576-259121689,$1M Tue NBA Clutch Shot ($200K to 1st),2022-10-18,150,238095,5.0,1000000.0,60000,183917,326.1,275.9,1666135800,200000.0,9.0,2022-10-18 19:30:00,Main,2,0,srusteve29,1
1080851587,fanduel,NBA,82018,82018-259511640,$1M Wed NBA Epic Monster ($200K to 1st),2022-10-19,60,2000,555.0,1000000.0,450,1591,386.1,322.3,1666220400,200000.0,1000.0,2022-10-19 19:00:00,Main,12,0,bgreseth13,1
1081876221,fanduel,NBA,82045,82045-259528106,$400K Thu NBA Clutch Shot ($100K to 1st),2022-10-20,150,95238,5.0,400000.0,22300,91505,340.2,268.2,1666308600,100000.0,8.0,2022-10-20 19:30:00,Main,2,0,toetaggintambo,1
1082992597,fanduel,NBA,82095,82095-259550242,$400K Fri NBA Clutch Shot ($100K to 1st),2022-10-21,150,95238,5.0,400000.0,22300,95238,435.2,340.6,1666393200,100000.0,8.0,2022-10-21 19:00:00,Main,11,0,squirrelpatrol,1
1084279777,fanduel,NBA,82200,82200-259585348,$250K Sat NBA Clutch Shot ($50K to 1st),2022-10-22,150,59524,5.0,250000.0,13775,59524,403.1,335.8,1666479600,50000.0,10.0,2022-10-22 19:00:00,Main,8,0,boooz01,1
1085706696,fanduel,NBA,82228,82228-259606065,$200K Sun NBA Shot ($40K to 1st),2022-10-23,150,53625,4.44,200000.0,13400,53136,376.4,291.3,1666566000,40000.0,8.0,2022-10-23 19:00:00,Main,5,0,tmcb74,1
1086729450,fanduel,NBA,82269,82269-259653566,$400K Mon NBA Clutch Shot ($100K to 1st),2022-10-24,150,68027,7.0,400000.0,16446,67088,411.9,308.2,1666652400,100000.0,12.0,2022-10-24 19:00:00,Main,8,0,ragingphilip,1
1087257655,fanduel,NBA,82305,82305-259679402,$400K Tue NBA Clutch Shot ($100K to 1st),2022-10-25,150,119047,4.0,400000.0,27400,119047,385.8,304.1,1666738800,100000.0,7.0,2022-10-25 19:00:00,Main,4,0,bigpapagates,1
1087954810,fanduel,NBA,82380,82380-259763287,$400K Wed NBA Clutch Shot ($100K to 1st),2022-10-26,150,85800,5.55,400000.0,21455,85800,418.5,325.2,1666825200,100000.0,10.0,2022-10-26 19:00:00,Main,10,0,tigerwoulds,1
1088976604,fanduel,NBA,82398,82398-259778959,$400K Thu NBA Clutch Shot ($100K to 1st),2022-10-27,150,52910,9.0,400000.0,12555,50427,416.5,320.3,1666913400,100000.0,16.0,2022-10-27 19:30:00,Main,4.0,0,bpcologna,1
1090178818,fanduel,NBA,82438,82438-259801416,$400K Fri NBA Clutch Shot ($100K to 1st),2022-10-28,150,85800,5.55,400000.0,21455,77619,427.0,304.0,1666998000,100000.0,10.0,2022-10-28 19:00:00,Main,11,0,the_iranian_idol,1
1091550236,fanduel,NBA,82504,82504-259835006,$300K Sat NBA Shot ($50K to 1st),2022-10-29,150,51020,7.0,300000.0,12000,51020,437.4,349.5,1667084400,50000.0,14.0,2022-10-29 19:00:00,Main,6,0,lmfaoyourface,1
1092950885,fanduel,NBA,82553,82553-259860969,$150K Sun NBA Shot ($30K to 1st),2022-10-30,150,25510,7.0,150000.0,6000,25510,381.7,315.2,1667167200,30000.0,12.0,2022-10-30 18:00:00,Main,7,0,panoramic,1
1093938261,fanduel,NBA,82587,82587-259905387,$250K Mon NBA Scary Shot ($50K to 1st),2022-10-31,150,42517,7.0,250000.0,10633,42517,433.3,335.4,1667257200,50000.0,12.0,2022-10-31 19:00:00,Main,7,0,max_gg,1
1094523546,fanduel,NBA,82612,82612-259923384,$400K Tue NBA Clutch Shot ($100K to 1st),2022-11-01,150,119047,4.0,400000.0,27400,118735,395.1,312.4,1667345400,100000.0,7.0,2022-11-01 19:30:00,Main,4,0,johnthreesixteen,1
1095229005,fanduel,NBA,82696,82696-260003973,$400K Wed NBA Clutch Shot ($100K to 1st),2022-11-02,150,79365,6.0,400000.0,18254,79339,406.1,305.5,1667431800,100000.0,11.0,2022-11-02 19:30:00,Main,10,0,y0ungdhill0n,1
1096094562,fanduel,NBA,82733,82733-260021269,$250K Thu NBA Shot ($50K to 1st),2022-11-03,150,59524,5.0,250000.0,13775,59524,361.3,303.4,1667516400,50000.0,10.0,2022-11-03 19:00:00,Main,2,0,"stainedcorn69,briankoeos,adilk2414,klaythompsonwrist,dianavargas005",1
1097172069,fanduel,NBA,82790,82790-260043653,$400K Fri NBA Clutch Shot ($100K to 1st),2022-11-04,150,61285,7.77,400000.0,14100,61285,394.9,316.3,1667602800,100000.0,14.0,2022-11-04 19:00:00,Main,12,0,equanimity1,1
1099837590,fanduel,NBA,82909,82909-260091501,$150K Sun NBA Shot ($30K to 1st),2022-11-06,150,22982,7.77,150000.0,5600,22982,356.3,294.7,1667775600,30000.0,14.0,2022-11-06 18:00:00,Main,3,0,chadg20,1
1100814471,fanduel,NBA,82932,82932-260136674,$300K Mon NBA Shot ($50K to 1st),2022-11-07,150,39682,9.0,300000.0,9130,39682,413.3,315.1,1667865600,50000.0,18.0,2022-11-07 19:00:00,Main,15,0,indy55,1
1101466093,fanduel,NBA,82982,82982-260157438,$400K Wed NBA Clutch Shot ($100K to 1st),2022-11-09,150,95238,5.0,400000.0,22300,82247,454.2,342.8,1668038400,100000.0,8.0,2022-11-09 17:30:00,Main,13,0,turkpower,1
1103107689,fanduel,NBA,83056,83056-260248178,$350K Thu NBA Clutch Shot ($100K to 1st),2022-11-10,150,46296,9.0,350000.0,11000,46296,393.1,308.2,1668124800,100000.0,16.0,2022-11-10 19:00:00,Main,4,0,tinderella,1
1104322404,fanduel,NBA,83144,83144-260270988,$400K Fri NBA Shot Machine ($100K to 1st),2022-11-11,150,61285,7.77,400000.0,14100,61285,380.5,307.7,1668211200,100000.0,14.0,2022-11-11 19:00:00,Main,8,0,ryantruong,1
1105658264,fanduel,NBA,83182,83182-260295606,$250K Sat NBA Shot ($50K to 1st),2022-11-12,150,49603,6.0,250000.0,12000,49603,416.6,334.8,1668297600,50000.0,10.0,2022-11-12 19:00:00,Main,6,0,cosmok27,1
1107060616,fanduel,NBA,83246,83246-260316526,$150K Sun NBA Shot ($30K to 1st),2022-11-13,150,25510,7.0,150000.0,6000,25510,439.3,358.8,1668380400,30000.0,12.0,2022-11-13 18:00:00,Main,6,0,garnes222,1
1108038040,fanduel,NBA,83289,83289-260363448,$250K Mon NBA Shot ($50K to 1st),2022-11-14,150,42517,7.0,250000.0,10633,42517,390.0,290.9,1668470400,50000.0,12.0,2022-11-14 19:00:00,Main,7,0,craftylefty,1
1108603239,fanduel,NBA,83345,83345-260383436,$400K Tue NBA Clutch Shot ($100K to 1st),2022-11-15,150,85800,5.55,400000.0,21455,82006,379.8,276.4,1668558600,100000.0,10.0,2022-11-15 19:30:00,Main,5,0,3rd_and_schlong,1
1109354388,fanduel,NBA,83413,83413-260464840,$400K Wed NBA Shot Machine ($100K to 1st),2022-11-16,150,61285,7.77,400000.0,14100,61285,428.6,321.3,1668643200,100000.0,14.0,2022-11-16 19:00:00,Main,10,0,rawdog2222,1
1110359639,fanduel,NBA,83466,83466-260520658,$200K Thu NBA Shot ($50K to 1st),2022-11-17,150,34013,7.0,200000.0,7836,34013,342.5,271.6,1668740400,50000.0,14.0,2022-11-17 22:00:00,Main,3,0,easilycasual,1
1111629453,fanduel,NBA,83538,83538-260539367,$400K Fri NBA Clutch Shot ($100K to 1st),2022-11-18,150,52910,9.0,400000.0,12555,48782,441.4,339.0,1668816000,100000.0,16.0,2022-11-18 19:00:00,Main,11.0,0,dabbingpuggle,1
1112778983,fanduel,NBA,83588,83588-260565747,$250K Sat NBA Shot ($50K to 1st),2022-11-19,150,42517,7.0,250000.0,10633,42517,396.5,321.2,1668902400,50000.0,12.0,2022-11-19 19:00:00,Main,4,0,22balance22,1
1114196901,fanduel,NBA,83642,83642-260584343,$125K Sun NBA Shot ($25K to 1st),2022-11-20,150,21258,7.0,125000.0,4925,21258,412.8,312.8,1668985200,25000.0,12.0,2022-11-20 18:00:00,Main,7.0,0,max_gg,1
1115235276,fanduel,NBA,83671,83671-260625046,$250K Mon NBA Shot ($50K to 1st),2022-11-21,150,33068,9.0,250000.0,8250,33068,374.5,300.2,1669075200,50000.0,17.0,2022-11-21 19:00:00,Main,8,0,plagz24,1
1115955126,fanduel,NBA,83727,83727-260648484,$400K Tue NBA Shot Machine ($100K to 1st),2022-11-22,150,61285,7.77,400000.0,14100,51907,386.8,301.9,1669163400,100000.0,14.0,2022-11-22 19:30:00,Main,4.0,0,mdotter01,1
1116780464,fanduel,NBA,83810,83810-260729554,$300K Wed NBA Shot ($50K to 1st),2022-11-23,150,51020,7.0,300000.0,12000,46865,410.6,317.6,1669248000,50000.0,14.0,2022-11-23 19:00:00,Main,12,0,ckoplow,1
1117936555,fanduel,NBA,83870,83870-260754332,$200K Fri NBA Shot ($40K to 1st),2022-11-25,150,34013,7.0,200000.0,7840,34013,396.3,319.3,1669420800,40000.0,14.0,2022-11-25 19:00:00,Main,13,0,felonious_capers,1
1120533660,fanduel,NBA,83948,83948-260807950,$200K Sat NBA Shot ($40K to 1st),2022-11-26,150,34013,7.0,200000.0,7840,34013,414.0,315.9,1669510800,40000.0,14.0,2022-11-26 20:00:00,Main,3,0,"rynpak,furrpbc",1
1121737037,fanduel,NBA,83996,83996-260829761,$100K Sun NBA Shot ($20K to 1st),2022-11-27,150,17006,7.0,100000.0,3950,17006,381.6,298.7,1669586400,20000.0,14.0,2022-11-27 17:00:00,Main,6,0,generalroc,1
1122604623,fanduel,NBA,84023,84023-260874312,$200K Mon NBA Shot ($40K to 1st),2022-11-28,150,34013,7.0,200000.0,7840,34013,424.7,340.9,1669680000,40000.0,14.0,2022-11-28 19:00:00,Main,10,0,moneyshark83,1
1123292335,fanduel,NBA,84077,84077-260894580,$300K Tue NBA Clutch Shot ($50K to 1st),2022-11-29,150,89285,4.0,300000.0,20750,89285,392.2,319.6,1669766400,50000.0,8.0,2022-11-29 19:00:00,Main,3,0,buchy13,1
1124045187,fanduel,NBA,84130,84130-260976586,$400K Wed NBA Clutch Shot Presented by Buzzer ($100K to 1st),2022-11-30,150,52910,9.0,400000.0,12555,48990,411.3,321.8,1669852800,100000.0,16.0,2022-11-30 19:00:00,Main,13,0,asheville7,1
1126182692,fanduel,NBA,84199,84199-261009329,$300K Fri NBA Shot Machine ($50K to 1st),2022-12-02,150,45964,7.77,300000.0,10675,45131,415.7,314.8,1670025600,50000.0,14.0,2022-12-02 19:00:00,Main,11,0,time2eat,1
1127425415,fanduel,NBA,84265,84265-261036680,$200K Sat NBA Shot ($40K to 1st),2022-12-03,150,34013,7.0,200000.0,7840,34013,401.7,323.3,1670115600,40000.0,14.0,2022-12-03 20:00:00,Main,4,0,dauntless1984,1
1128731082,fanduel,NBA,84307,84307-261049775,$100K Sun NBA Shot ($20K to 1st),2022-12-04,150,15321,7.77,100000.0,3525,15321,410.5,322.8,1670194800,20000.0,14.0,2022-12-04 18:00:00,Main,6,0,dreday327,1
1129628004,fanduel,NBA,84334,84334-261091108,$250K Mon NBA Shot ($50K to 1st),2022-12-05,150,33068,9.0,250000.0,8250,33068,419.7,347.7,1670284800,50000.0,17.0,2022-12-05 19:00:00,Main,8,0,"plagz24,tinderella",1
1130232219,fanduel,NBA,84376,84376-261112347,$350K Tue NBA Clutch Shot ($100K to 1st),2022-12-06,150,59523,7.0,350000.0,13690,58223,397.5,300.9,1670373000,100000.0,12.0,2022-12-06 19:30:00,Main,3,0,nmw9367,1
1130858013,fanduel,NBA,84445,84445-261190454,$350K Wed NBA Jumbo Dunk ($100K to 1st),2022-12-07,79,2652,150.0,350000.0,611,2652,438.1,370.7,1670457600,100000.0,250.0,2022-12-07 19:00:00,Main,11,0,"jourgensen,ilikericeandguac",1
1131748828,fanduel,NBA,84473,84473-261203316,$250K Thu NBA Shot Machine ($50K to 1st),2022-12-08,150,38303,7.77,250000.0,9775,38271,368.5,293.4,1670545800,50000.0,12.0,2022-12-08 19:30:00,Main,3,0,"justajoe2u,garnes222",1
1132642510,fanduel,NBA,84524,84524-261219582,$300K Fri NBA Shot ($50K to 1st),2022-12-09,150,39682,9.0,300000.0,9130,39673,402.6,308.7,1670630400,50000.0,18.0,2022-12-09 19:00:00,Main,10,0,equanimity1,1
1133739352,fanduel,NBA,84559,84559-261244192,$250K Sat NBA Shot ($50K to 1st),2022-12-10,150,33068,9.0,250000.0,8250,33068,464.2,387.5,1670716800,50000.0,17.0,2022-12-10 19:00:00,Main,7,0,colin913,1
