GID,"Last, First",First  Last,Date,Team,Opp,H/A,GameID,GTime(ET),Team pts,Opp pts,Start,Minutes,GP,active,FDP,DKP,DDP,YHP,Stats,DoubleD,TripleD,FD Sal,FD Change,DK Sal,DK Change,DD Sal,DD Change,YH Sal,YH Change,FD pos,DK pos,DD pos,YH pos,ADI,VMI
5679,"Eubanks, Drew",Drew Eubanks,20200813,sas,uta,A,20200813-sas-uta,18.5,112,118,0,27.23333333,1,1,31.9,28.75,27,31.9,8pt 7rb 3as 4bl 1to 1-6fg 6-8ft,0,0,4200,0,3700,-100,,,11,0,5,45,,5,66.11,0.34
5679,"Eubanks, Drew",Drew Eubanks,20200811,sas,hou,H,20200811-hou-sas,14,123,105,0,14.85,1,1,13.4,13.75,13,13.4,4pt 7rb 1bl 2to 1-4fg 2-2ft,0,0,4200,400,3800,100,,,11,1,5,45,,5,66.39,0.06
5679,"Eubanks, Drew",Drew Eubanks,20200809,sas,nor,A,20200809-sas-nor,15,122,113,0,23.93333333,1,1,36.7,33.75,33.25,36.7,8pt 11rb 3as 2st 2bl 1to 4-6fg,0,0,3800,100,3700,-200,,,10,0,5,45,,5,66.8,-0.55
5679,"Eubanks, Drew",Drew Eubanks,20200807,sas,uta,H,20200807-uta-sas,13,119,111,0,13.4,1,1,15.5,15.75,15.5,15.5,8pt 5rb 1as 4-5fg,0,0,,,,,,,10,0,,,,5,66.57,-0.32
5679,"Eubanks, Drew",Drew Eubanks,20200805,sas,den,H,20200805-den-sas,16,126,132,0,17.91666667,1,1,21.5,21.25,20.75,21.5,12pt 5rb 1as 1st 1to 6-8fg,0,0,3700,200,3900,100,,,10,0,5,45,,5,66.2,-0.31
5679,"Eubanks, Drew",Drew Eubanks,20200803,sas,phi,A,20200803-sas-phi,20,130,132,0,19.31666667,1,1,24,24,23.5,24,6pt 10rb 2as 2bl 3to 3-5fg,0,0,3500,0,3800,400,,,10,0,5,45,,5,65.61,0.17
5679,"Eubanks, Drew",Drew Eubanks,20200802,sas,mem,A,20200802-sas-mem,16,108,106,0,23.15,1,1,17,16.75,16,17,8pt 5rb 2bl 3to 2-4fg 4-5ft,0,0,3500,0,3400,100,,,10,0,5,45,,5,65.29,0.92
5679,"Eubanks, Drew",Drew Eubanks,20200731,sas,sac,H,20200731-sac-sas,20,129,120,0,2.016666667,1,1,2,2,2,2,2pt 1-1fg,0,0,3500,0,3300,200,,,10,0,5,45,,5,66.07,0.14
5679,"Eubanks, Drew",Drew Eubanks,20200310,sas,dal,H,20200310-dal-sas,20,119,109,0,6.95,1,1,9.2,7.75,7.75,9.2,0pt 1rb 2as 1st 1bl 1to,0,0,3500,0,3100,100,,,10,0,5,45,,5,64.61,0.15
5679,"Eubanks, Drew",Drew Eubanks,20200308,sas,cle,A,20200308-sas-cle,19.5,129,132,1,21.98333333,1,1,21.7,20,19.5,21.7,6pt 6rb 1as 1st 2bl 2to 2-4fg 2-2ft,0,0,3500,0,3000,0,,,10,0,5,5,,5,65.11,-0.78
5679,"Eubanks, Drew",Drew Eubanks,20200306,sas,bkn,A,20200306-sas-bkn,19.5,120,139,0,15.38333333,1,1,10.8,11,11,10.8,6pt 4rb 3-3fg,0,0,3500,0,3000,-100,,,10,0,5,5,,5,65.84,-2.49
5679,"Eubanks, Drew",Drew Eubanks,20200303,sas,cha,A,20200303-sas-cha,19,104,103,1,11.2,1,1,8.4,7.5,7.25,8.4,3pt 2rb 1bl 1-1fg 1-2ft,0,0,3500,0,3100,100,,,10,0,5,45,,5,62.92,1.05
5679,"Eubanks, Drew",Drew Eubanks,20200302,sas,ind,H,20200302-ind-sas,20.5,111,116,1,16.55,1,1,8.4,7.5,7.25,8.4,3pt 2rb 1bl 1-1fg 1-2ft,0,0,3500,0,3000,0,,,10,0,5,45,,5,63.15,0.82
5679,"Eubanks, Drew",Drew Eubanks,20200229,sas,orl,H,20200229-orl-sas,20.5,114,113,0,16.5,1,1,11.6,13.25,13.5,11.6,10pt 3rb 2to 1trey 4-4fg 1-2ft,0,0,3500,0,3000,0,,,10,0,5,45,,5,64.33,0.19
5679,"Eubanks, Drew",Drew Eubanks,20200226,sas,dal,H,20200226-dal-sas,20.5,103,109,0,0,0,1,0,0,0,0,,0,0,3500,0,3000,0,,,10,0,5,45,,5,66.11,-3.55
5679,"Eubanks, Drew",Drew Eubanks,20200223,sas,okc,A,20200223-sas-okc,19,103,131,0,0,0,0,0,0,0,0,,0,0,3500,0,3000,0,,,10,0,5,45,,5,61.59,-5.65
5679,"Eubanks, Drew",Drew Eubanks,20200221,sas,uta,A,20200221-sas-uta,21,113,104,0,0,0,0,0,0,0,0,,0,0,3500,0,3000,0,,,10,0,5,45,,5,48.4,10.46
5679,"Eubanks, Drew",Drew Eubanks,20200211,sas,okc,A,20200211-sas-okc,20,114,106,0,0,0,0,0,0,0,0,,0,0,3500,0,3000,0,,,10,0,5,45,,5,63.83,-5.88
5679,"Eubanks, Drew",Drew Eubanks,20200210,sas,den,A,20200210-sas-den,21,120,127,0,0,0,0,0,0,0,0,,0,0,3500,0,3000,0,,,10,0,5,45,,5,46.34,19.78
