id,site,league,slate,site_id,name,period,max_entries,max_entrants,cost,prizepool,places_paid,total_entrants,winning_score,mincash_score,startdate,winning_payout,mincash_payout,DateTime,Title,game_cnt,winner_cnt,winner,has_lineups
962127383,fanduel,NBA,74121,74121-256046177,$5K Thu NBA Piggy Bank Shot (150 Entries Max),2022-04-07,150,119760,0.05,5000.0,36000,119760,481.8,380.4,1649372400,250.0,0.1,2022-04-07 19:00:00,Main,7,0,kmanringstad,0
962127361,fanduel,NBA,74121,74121-256046184,"$5K Thu NBA Fadeaway (Only $0.25 to Enter, 20 Entries Max)",2022-04-07,20,23952,0.25,5000.0,7184,23952,467.5,368.0,1649372400,200.0,0.5,2022-04-07 19:00:00,Main,7,0,wheelingstogies,0
962057189,draftkings,NBA,66667,125448201,NBA $10K mini-MAX [150 Entry Max],2022-04-07,150,23781,0.5,10000.0,5467,23781,402.25,323.25,1649372400,1000.0,1.0,2022-04-07 19:00:00,Late Swap,7,1,iBetOnJesus,1
962132256,draftkings,NBA,66667,125456430,NBA $20K And-One,2022-04-07,20,23781,1.0,20000.0,6420,23781,398.5,306.75,1649372400,1000.0,1.5,2022-04-07 19:00:00,Late Swap,7,1,Danny72170,1
962542944,fanduel,NBA,74093,74093-256041099,$800 Thu NBA Piggy Bank Shot,2022-04-07,150,19161,0.05,800.0,5750,19161,375.9,315.5,1649379600,40.0,0.1,2022-04-07 21:00:00,After Hours,2,0,winner12345,0
962057199,draftkings,NBA,66667,125448212,NBA $4K Quarter Jukebox [Just $0.25!],2022-04-07,20,19024,0.25,4000.0,4556,19024,396.5,309.25,1649372400,200.0,0.5,2022-04-07 19:00:00,Late Swap,7,1,Rene8480,1
962127405,fanduel,NBA,74121,74121-256046207,$200K Thu NBA Shot ($50K to 1st),2022-04-07,150,15686,15.0,200000.0,3840,15686,468.7,384.7,1649372400,50000.0,22.5,2022-04-07 19:00:00,Main,7,0,milaa90,0
962132297,draftkings,NBA,66667,125456434,NBA $200K Fadeaway [$50K to 1st],2022-04-07,150,15686,15.0,200000.0,3553,15686,399.25,319.5,1649372400,50000.0,25.0,2022-04-07 19:00:00,Late Swap,7,1,invertedcheese,1
962132249,draftkings,NBA,66667,125456431,NBA $50K Four-Point Play [$10K to 1st],2022-04-07,20,14863,4.0,50000.0,3350,14863,403.0,317.75,1649372400,10000.0,6.0,2022-04-07 19:00:00,Late Swap,7,1,jbuddpicks,1
962220358,fanduel_single,NBA,74096,74096-256041172,$500 Thu NBA Piggy Bank Shot (150 Entries Max),2022-04-07,150,11976,0.05,500.0,3600,11976,308.86,262.46,1649383200,25.0,0.1,2022-04-07 22:00:00,LAL @ GS,1,0,jotate165,0
962058022,draftkings,NBA,66675,125448288,NBA $10K And-One (Night),2022-04-07,20,11890,1.0,10000.0,3080,11890,334.0,279.5,1649379600,1000.0,1.5,2022-04-07 21:00:00,Late Swap(Night),2,1,georgestr,1
