date,max_num_of_players,lineup_ideal,predicted_score_ideal,cost_ideal,actual_score_ideal,lineup_selected,predicted_score_selected,cost_selected,actual_score_selected
2010-12-16,70,"['Gilbert Arenas', 'Ray Allen', 'Carmelo Anthony', 'Devin Harris', 'Paul Pierce', 'Carmelo Anthony', 'Mike Bibby', 'Kris Humphries']",159.88228702545166,569.3006644615116,331.25,"['Josh Smith', 'Stephen Graham', 'Kirk Hinrich', 'Brook Lopez', 'Brook Lopez', 'Nate Robinson', 'Jordan Farmar', 'Brook Lopez']",193.33892440795898,355.7803986874659,161.75
2010-12-15,260,"['Kevin Love', 'Jrue Holiday', 'Blake Griffin', 'Wilson Chandler', 'Wilson Chandler', 'LaMarcus Aldridge', 'Blake Griffin', 'Kevin Love']",138.2921380996704,699.8851059824135,394.0,"['Luke Ridnour', 'Leon Powe', 'Josh Childress', 'Kyle Lowry', 'Kobe Bryant', 'Danilo Gallinari', 'DeAndre Jordan', 'Andre Iguodala']",199.19324493408203,370.3936602378836,193.5
2010-12-14,176,"['Jerryd Bayless', 'Monta Ellis', 'J.J. Redick', 'Carmelo Anthony', 'Monta Ellis', 'Carl Landry', 'Rodney Stuckey', 'Darko Miličić']",137.75487756729126,624.5676996693899,333.5,"['Lou Amundson', 'Carmelo Anthony', 'Kobe Bryant', 'Luke Ridnour', 'Brad Miller', 'Michael Beasley', 'Chauncey Billups', 'Luke Ridnour']",231.9278507232666,433.715116247831,213.0
2010-12-13,113,"['Brandon Jennings', 'Andrew Bogut', 'Jason Kidd', 'Deron Williams', 'Deron Williams', 'Reggie Williams', 'Vladimir Radmanovic', 'Carlos Boozer']",144.58065700531006,608.9722195481121,357.75,"['Marc Gasol', 'Luc Mbah a Moute', 'Carlos Boozer', 'Mike Conley', 'David West', 'Luol Deng', 'Ronnie Brewer', 'T.J. Ford']",208.73903846740723,443.3993437843171,227.75
2010-12-12,148,"['Landry Fields', 'Tony Parker', 'Raymond Felton', 'Dwight Howard', 'Jeff Green', 'Blake Griffin', 'Devin Harris', 'Carmelo Anthony']",179.56722259521484,558.9668243070191,351.25,"['Chauncey Billups', 'Carmelo Anthony', 'Danilo Gallinari', 'Anderson Varejao', 'Chris Paul', 'Raymond Felton', 'Rudy Fernandez', 'Ronny Turiaf']",221.93013095855713,415.1710343483362,237.25
2010-12-11,191,"['Leandro Barbosa', 'Jerryd Bayless', 'Jerryd Bayless', 'Kevin Love', 'Josh Smith', 'LeBron James', 'Rodney Stuckey', 'Caron Butler']",164.09191036224365,554.9285866569894,349.5,"['Mo Williams', 'Linas Kleiza', 'Zach Randolph', 'Ronnie Brewer', 'Ronnie Price', 'Maurice Evans', 'Kyle Lowry', 'DeMarcus Cousins']",204.77087783813477,400.6467188436726,175.25
2010-12-10,270,"['Andrei Kirilenko', 'LeBron James', 'Andrew Bogut', 'LeBron James', 'John Salmons', 'Pau Gasol', 'Russell Westbrook', 'Jameer Nelson']",147.96185302734375,558.6560419513784,389.5,"['Russell Westbrook', 'Danilo Gallinari', 'Stephen Jackson', 'Hakim Warrick', 'Kobe Bryant', 'Ronny Turiaf', 'Ronnie Brewer', 'Lou Amundson']",236.99431991577148,523.088728006365,227.5
2010-12-09,73,"['Dwight Howard', 'Nicolas Batum', 'Caron Butler', 'Andre Iguodala', 'Jrue Holiday', 'Dwight Howard', 'Andre Iguodala', 'Rajon Rondo']",157.32114601135254,627.9722605718391,359.25,"['Rashard Lewis', 'Lou Williams', 'Brandon Roy', 'Brandon Bass', 'Nicolas Batum', 'Chris Duhon', 'Andre Iguodala', 'Brook Lopez']",180.0304765701294,338.22015901352285,187.0
2010-12-08,254,"['Raymond Felton', 'Kevin Love', 'Ronnie Brewer', 'Beno Udrih', 'Kevin Durant', 'Deron Williams', 'Raymond Felton', 'Kevin Love']",194.04729843139648,580.2313336362577,397.25,"['Brandon Jennings', 'Dorell Wright', 'Ronny Turiaf', 'Pau Gasol', 'Danilo Gallinari', 'Danny Granger', 'Danilo Gallinari', 'Luke Ridnour']",230.86387062072754,431.8117093821327,231.75
2010-12-07,174,"['Josh Smith', 'Jrue Holiday', 'Pau Gasol', 'Dorell Wright', 'Kyle Lowry', 'Al Horford', 'Stephen Jackson', 'Chauncey Billups']",175.98696517944336,602.43436347602,399.5,"['Mo Williams', 'Kobe Bryant', 'Rudy Fernandez', 'Boris Diaw', 'Gerald Wallace', 'Dominic McGuire', 'Lou Williams', 'Rudy Fernandez']",231.7785186767578,421.39035685301764,216.75
2010-12-06,170,"['Josh Smith', 'DeMarcus Cousins', 'Josh Smith', 'Corey Brewer', ""Amar'e Stoudemire"", 'Carlos Boozer', 'Raymond Felton', 'Kevin Love']",152.38514709472656,614.8784191828008,354.5,"['Raymond Felton', 'Beno Udrih', 'Danilo Gallinari', 'Derrick Rose', 'Donte Greene', 'Danilo Gallinari', 'Brandon Bass', 'Luol Deng']",226.35258865356445,441.75646997363515,193.5
2010-12-05,205,"['Nenad Krstic', 'Jerryd Bayless', 'Russell Westbrook', 'Jason Richardson', 'Steve Nash', 'Antawn Jamison', ""Amar'e Stoudemire"", 'Kevin Durant']",134.45997428894043,540.174887233885,329.25,"['Brook Lopez', 'Nate Robinson', 'Jeff Green', 'Danilo Gallinari', 'Chauncey Billups', 'DeJuan Blair', 'Rodney Stuckey', 'Mike Conley']",191.2859001159668,471.37323378634596,249.25
2010-12-04,135,"['Sebastian Telfair', 'Dwyane Wade', 'Tyreke Evans', 'Andrew Bogut', 'Dwyane Wade', 'LeBron James', 'Kevin Love', 'Jason Kidd']",137.84430503845215,521.2034252007368,364.0,"['Mo Williams', 'Marvin Williams', 'Luke Ridnour', 'Boris Diaw', 'Brandon Bass', 'Keyon Dooling', 'Luis Scola', 'Luther Head']",212.44571113586426,337.8554571060545,148.5
2010-12-03,305,"['JaVale McGee', ""Amar'e Stoudemire"", 'Raymond Felton', 'Vince Carter', 'Chris Paul', 'Jeff Green', 'Rudy Gay', 'Marcin Gortat']",122.20884609222412,594.6337344789024,345.0,"['Brandon Roy', 'Marc Gasol', 'Roger Mason Jr.', 'Luke Ridnour', 'Danilo Gallinari', 'Marc Gasol', 'Ronnie Price', 'Andre Iguodala']",242.2072925567627,389.9272934130267,208.25
2010-12-02,50,"['Daniel Gibson', 'Dorell Wright', 'LeBron James', 'Steve Nash', 'LeBron James', 'Steve Nash', 'Dwyane Wade', 'Monta Ellis']",152.8309440612793,579.3644671353554,389.25,"['Rodney Carney', 'Joey Graham', 'Anderson Varejao', 'Stephen Curry', 'Monta Ellis', 'Anderson Varejao', 'Mo Williams', 'David Lee']",211.00971794128418,392.9687587322045,187.75
2010-12-01,278,"['Al Jefferson', 'Larry Sanders', 'Blake Griffin', 'Jeff Green', 'Jeff Green', 'Blake Griffin', 'Kyle Lowry', 'Russell Westbrook']",160.4438304901123,723.2184555695623,412.75,"['Brandon Bass', 'Kirk Hinrich', 'Kirk Hinrich', 'Steve Novak', 'Gerald Wallace', 'Chris Paul', 'Brad Miller', 'Andrea Bargnani']",183.77075672149658,420.86920156254934,198.25
2010-11-30,173,"['Wilson Chandler', 'Jordan Farmar', 'Danny Granger', 'Kobe Bryant', 'Tim Duncan', 'Manu Ginobili', 'Kobe Bryant', 'Rashard Lewis']",162.23024559020996,595.1349640122658,364.25,"['Roger Mason Jr.', 'Marc Gasol', 'Jordan Farmar', 'Danilo Gallinari', 'Kobe Bryant', 'Tayshaun Prince', 'Mike Conley', 'Brandon Bass']",212.28554153442383,466.5479679505616,207.75
2010-11-29,91,"['Kevin Durant', 'Andray Blatche', 'Gilbert Arenas', 'Deron Williams', 'Brandon Jennings', 'Russell Westbrook', 'Kevin Durant', 'Deron Williams']",189.23673248291016,579.8864468311097,372.75,"['Ronnie Price', 'Kyle Lowry', 'Andray Blatche', 'Deron Williams', 'Luis Scola', 'Luis Scola', 'Russell Westbrook', 'Kevin Durant']",213.64518928527832,501.84068122034967,271.5
2010-11-28,184,"['Raymond Felton', 'Kobe Bryant', 'Richard Jefferson', 'Raymond Felton', ""Amar'e Stoudemire"", 'Manu Ginobili', 'Raymond Felton', 'Jason Richardson']",155.3100128173828,693.847891355085,414.75,"['Jordan Farmar', 'Chauncey Billups', 'Raymond Felton', 'Danilo Gallinari', 'Shelden Williams', 'Andrei Kirilenko', 'Ronnie Price', 'Andrea Bargnani']",201.91678428649902,485.81713693442424,241.75
2010-11-27,195,"['Derrick Rose', 'Kevin Love', 'Devin Harris', 'Mo Williams', 'Monta Ellis', 'Wilson Chandler', ""Amar'e Stoudemire"", 'Gilbert Arenas']",172.38138103485107,617.8239441258424,378.5,"['Derrick Brown', 'Brandon Bass', 'Mike Bibby', 'Marc Gasol', 'Danilo Gallinari', 'Gilbert Arenas', 'Andray Blatche', 'Luke Ridnour']",229.4721441268921,380.7527091049817,178.75
2010-11-26,269,"['Tayshaun Prince', 'Gerald Wallace', 'Dirk Nowitzki', 'Nene Hilario', 'Brandon Jennings', 'Anthony Carter', 'Andris Biedriņš', 'Gerald Wallace']",146.66173839569092,634.2343734085845,340.5,"['Marc Gasol', 'Will Bynum', 'Rodney Carney', 'Mo Williams', 'Brad Miller', 'Chase Budinger', 'Ronnie Price', 'Andrei Kirilenko']",218.87244987487793,349.95892729695174,173.25
2010-11-25,48,"['Carl Landry', 'Gilbert Arenas', 'Blake Griffin', 'Josh Smith', 'Gilbert Arenas', 'Josh Smith', 'Gilbert Arenas', 'Blake Griffin']",167.94479274749756,517.9426130468454,392.5,"['Luther Head', 'Luther Head', 'Ryan Gomes', 'Andray Blatche', 'Gilbert Arenas', 'Brian Cook', 'Mike Bibby', 'Josh Smith']",188.71224689483643,318.48143038920693,210.25
