,date,best_lineup,best_pred_score,best_cost,best_actual_score,best_lineup_pred,best_pred_score_pred,best_cost_pred,best_actual_score_pred
0,2011-04-29,"['Tony Parker', 'Gary Neal', 'Marc Gasol', 'Zach Randolph', 'Shane Battier', 'Tony Parker', 'Manu Ginobili', 'Tony Allen']",205.61308670043945,509.44531354273016,229.5,"['O.J. Mayo', 'Tim Duncan', 'Mike Conley', 'Shane Battier', 'Zach Randolph', 'Mike Conley', 'Tony Allen', 'Marc Gasol']",207.73793601989746,412.54208561114143,203.5
1,2011-04-28,"['Andre Miller', 'Dwight Howard', 'Kirk Hinrich', 'Kobe Bryant', 'Gerald Wallace', 'Dirk Nowitzki', 'Gerald Wallace', 'Chris Paul']",266.26257705688477,580.6717787780261,323.75,"['Gerald Wallace', 'Dwight Howard', 'Jameer Nelson', 'Gerald Wallace', 'LaMarcus Aldridge', 'Gerald Wallace', 'Jameer Nelson', 'Kobe Bryant']",282.6676998138428,578.2784407434888,335.5
2,2011-04-27,"['Ty Lawson', 'Dwyane Wade', 'Zach Randolph', 'James Harden', 'Dwyane Wade', 'Dwyane Wade', 'Andre Iguodala', 'Kenyon Martin']",280.11593437194824,501.86376827625844,348.5,"['Eric Maynor', 'Zach Randolph', 'Raymond Felton', 'Jrue Holiday', 'LeBron James', 'Kevin Durant', 'Russell Westbrook', 'Zach Randolph']",264.0308532714844,512.9774551176421,304.25
3,2011-04-26,"['Ryan Anderson', 'Marco Belinelli', 'Luol Deng', 'Chris Paul', 'Paul George', 'Derek Fisher', 'Joakim Noah', 'Danny Granger']",190.15627098083496,467.19803275051896,256.25,"['Andrew Bynum', 'Derrick Rose', 'Chris Paul', 'Derrick Rose', 'Marvin Williams', 'Mike Dunleavy', 'Kobe Bryant', 'Al Horford']",261.71130752563477,435.38086891416566,273.0
4,2011-04-25,"['Serge Ibaka', 'Gerald Wallace', 'Jason Terry', 'Ty Lawson', 'LaMarcus Aldridge', 'Gerald Wallace', 'Kevin Durant', 'Russell Westbrook']",250.61181259155273,571.4220890588041,301.75,"['Marc Gasol', 'Zach Randolph', 'Gerald Wallace', 'Kevin Durant', 'Jason Terry', 'Raymond Felton', 'Russell Westbrook', 'Andre Miller']",253.59812355041504,452.8930033519301,257.5
5,2011-04-24,"['Jeff Green', 'Dwight Howard', 'Kobe Bryant', 'Chris Paul', 'Dwyane Wade', 'Chris Bosh', 'Jamal Crawford', 'Jrue Holiday']",246.45212745666504,562.1212461702683,317.25,"['Chris Paul', 'Andres Nocioni', 'Dwight Howard', 'Josh Smith', 'Landry Fields', 'Carmelo Anthony', 'Josh Smith', ""Amar'e Stoudemire""]",261.31789207458496,504.4200885240514,283.75
6,2011-04-23,"['Nene Hilario', 'Kevin Durant', 'Derrick Rose', 'LaMarcus Aldridge', 'LaMarcus Aldridge', 'Russell Westbrook', 'Manu Ginobili', 'Manu Ginobili']",253.20357990264893,540.0165462798446,335.25,"['Kevin Durant', 'Tim Duncan', 'Jason Terry', 'Danny Granger', 'Kevin Durant', 'Jason Kidd', 'Mike Conley', 'Dirk Nowitzki']",255.09539413452148,436.7730978550132,299.75
7,2011-04-22,"['Jason Richardson', 'Rajon Rondo', 'Trevor Ariza', 'Pau Gasol', 'Ray Allen', 'Paul Pierce', 'Jameer Nelson', 'Shawne Williams']",191.02030563354492,567.723075667743,352.25,"['Troy Murphy', 'Chris Paul', 'Chris Paul', 'Al Horford', 'Carmelo Anthony', 'Josh Smith', 'Al Horford', 'Kobe Bryant']",258.6112308502197,419.10153964308887,265.0
8,2011-04-21,"['Joakim Noah', 'Dwyane Wade', 'Danny Granger', 'Andre Miller', 'Danny Granger', 'LeBron James', 'Gerald Wallace', 'Jason Terry']",244.6373691558838,634.3839240269212,322.75,"['Elton Brand', 'Dwyane Wade', 'Danny Granger', 'Derrick Rose', 'Gerald Wallace', 'Derrick Rose', 'Roy Hibbert', 'Dwyane Wade']",284.94639015197754,697.2752638442951,316.75
9,2011-04-20,"['Manu Ginobili', 'Metta World Peace', 'Chris Paul', 'Marc Gasol', 'Jarrett Jack', 'Kendrick Perkins', 'Kevin Durant', 'Trevor Ariza']",183.96253871917725,525.3642282106347,262.25,"['Zach Randolph', 'Zach Randolph', 'James Harden', 'J.R. Smith', 'Wilson Chandler', 'Kevin Durant', 'Russell Westbrook', 'James Harden']",230.46768379211426,389.29157184804745,203.75
