date,max_num_of_players_yahoo,best_actual_lineup_yahoo,best_pred_lineup_yahoo,best_actual_score_yahoo,best_pred_score_yahoo,best_actual_score_pred_lineupyahoo,best_actual_cost_yahoo,best_pred_cost_yahoo,is_repeat_yahoo,is_repeat_pred_yahoo,max_num_of_players_fanduel,best_actual_lineup_fanduel,best_pred_lineup_fanduel,best_actual_score_fanduel,best_pred_score_fanduel,best_actual_score_pred_lineupfanduel,best_actual_cost_fanduel,best_pred_cost_fanduel,is_repeat_fanduel,is_repeat_pred_fanduel,max_num_of_players_draftkings,best_actual_lineup_draftkings,best_pred_lineup_draftkings,best_actual_score_draftkings,best_pred_score_draftkings,best_actual_score_pred_lineupdraftkings,best_actual_cost_draftkings,best_pred_cost_draftkings,is_repeat_draftkings,is_repeat_pred_draftkings
1/11/23,168,"['Jakob Poeltl', 'Tre Jones', 'Jaylen Brown', 'Josh Okogie', 'Deni Avdija', 'CJ McCollum', 'Jalen Green', 'Keldon Johnson']","['Garrison Mathews', 'Tyrese Haliburton', 'Steven Adams', 'Jaylen Brown', 'Domantas Sabonis', 'Bobby Portis', 'Ish Wainright', 'Bones Hyland']",339.40000000000003,242.98564777020366,279.6,195,199,0,0,168,"['T.J. McConnell', 'RJ Barrett', 'Mitchell Robinson', 'Domantas Sabonis', 'Bogdan Bogdanovic', 'Josh Okogie', 'Jeremy Sochan', 'CJ McCollum', 'Steven Adams']","['Deni Avdija', 'Keegan Murray', 'Brook Lopez', 'CJ McCollum', 'Patrick Williams', 'Malcolm Brogdon', 'Austin Rivers', 'Zach LaVine', 'Nerlens Noel']",373.70000000000005,274.3619825383649,315.5,58300,52600,0,0,168,"['Jalen Smith', 'Tre Jones', 'T.J. McConnell', 'Saddiq Bey', 'Bobby Portis', 'Mitchell Robinson', ""De'Aaron Fox"", 'Jaylen Brown']","['Onyeka Okongwu', 'Jakob Poeltl', 'Killian Hayes', 'Malcolm Brogdon', 'Bojan Bogdanovic', 'Trey Lyles', 'RJ Barrett', 'T.J. McConnell']",307.5,258.5721871647984,301.75,47900,43700,0,0
1/12/23,116,"['Malcolm Brogdon', 'Gabe Vincent', 'James Harden', 'Jordan Nwora', 'Shai Gilgeous-Alexander', 'Scottie Barnes', 'Christian Wood', 'Yuta Watanabe']","['Jevon Carter', 'Bam Adebayo', 'Evan Mobley', 'Gabe Vincent', 'LaMelo Ball', 'Kyrie Irving', 'Christian Wood', 'MarJon Beauchamp']",326.6,259.6297048062086,325.79999999999995,197,196,0,0,116,"['Gabe Vincent', 'Shai Gilgeous-Alexander', 'Spencer Dinwiddie', 'Marcus Smart', 'Damian Lillard', 'Christian Wood', 'Joe Harris', 'Mason Plumlee', 'Cody Martin']","['Gabe Vincent', 'Jevon Carter', 'Luka Doncic', 'Christian Wood', 'Isaiah Joe', 'Max Strus', 'Jerami Grant', 'Juancho Hernangomez', 'Christian Wood']",398.29999999999995,294.71750130616124,381.70000000000005,59100,56800,0,1,116,"['Max Strus', 'Luka Doncic', 'Marcus Smart', 'Jalen Williams', 'Jarrett Allen', 'Derrick White', 'Ricky Rubio', 'Jarrett Allen']","['Scottie Barnes', 'Jusuf Nurkic', 'Tre Mann', 'Bam Adebayo', 'LeBron James', 'Luke Kornet', 'Jarrett Allen', 'Cody Martin']",320.75,235.6020655669272,293,49300,48600,1,0
1/13/23,180,"['Wendell Carter Jr.', 'Shai Gilgeous-Alexander', 'Norman Powell', 'Corey Kispert', 'Jalen Williams', 'Damion Lee', 'Domantas Sabonis', 'Saddiq Bey']","['Jalen Williams', 'Norman Powell', 'Corey Kispert', 'Onyeka Okongwu', 'Patrick Williams', 'Doug McDermott', 'CJ McCollum', 'Jalen Brunson']",350.1,262.1580014828593,322.20000000000005,184,157,0,0,180,"['Jalen Green', 'Jordan Poole', 'Domantas Sabonis', 'Alex Caruso', 'Saddiq Bey', 'Kentavious Caldwell-Pope', 'Alperen Sengun', 'Jabari Smith Jr.', 'Kyle Kuzma']","['Trae Young', 'Michael Porter Jr.', 'Jalen Brunson', 'Jaden McDaniels', 'Donte DiVincenzo', 'Jalen Williams', 'Walker Kessler', 'Mikal Bridges', 'Draymond Green']",397.90000000000003,316.56753155402833,387.8,59400,59000,0,0,180,"['Jonas Valanciunas', 'John Wall', 'Domantas Sabonis', 'Damion Lee', 'Jalen Williams', 'Jabari Smith Jr.', 'Domantas Sabonis', 'DeAndre Jordan']","['Killian Hayes', 'Jabari Smith Jr.', 'Bennedict Mathurin', 'Harrison Barnes', 'Domantas Sabonis', 'Hamidou Diallo', 'Kevon Looney', 'Jonas Valanciunas']",379.75,265.0167532376945,348.5,49400,47700,1,0
1/14/23,145,"['Scottie Barnes', 'Chris Duarte', 'Jayson Tatum', 'Dejounte Murray', 'Jayson Tatum', 'Jordan Clarkson', 'Gabe Vincent', 'LaMelo Ball']","['Robert Williams III', 'James Harden', 'Victor Oladipo', 'Damian Lillard', 'Dejounte Murray', 'Bam Adebayo', 'Scottie Barnes', 'Jordan Clarkson']",399.5,308.8060400212184,377.4,,,1,0,145,"['Chris Duarte', 'Isaiah Jackson', 'Bam Adebayo', 'JaVale McGee', 'Desmond Bane', 'Chris Boucher', 'T.J. McConnell', 'Jayson Tatum', 'Trae Young']","['Gary Payton II', 'Bam Adebayo', 'Nickeil Alexander-Walker', 'Jalen Johnson', 'Onyeka Okongwu', 'Damian Lillard', 'Trae Young', 'Scottie Barnes', 'Brandon Clarke']",338.59999999999997,292.15137492958456,331.7,58500,58800,0,0,145,"['Anfernee Simons', 'Anthony Edwards', 'Max Strus', 'Jordan Clarkson', 'Scottie Barnes', 'Scottie Barnes', 'Kevin Love', 'Dejounte Murray']","['Damian Lillard', 'Ja Morant', 'Robert Williams III', 'Bam Adebayo', 'Gary Trent Jr.', 'Bobby Portis', 'Anthony Edwards', 'Scottie Barnes']",333.5,281.7034393046051,324.75,,,1,0
1/15/23,163,"['Zach LaVine', 'Jeremy Sochan', 'Saddiq Bey', 'Jaden Ivey', 'Nikola Vucevic', 'Kenrich Williams', 'Patrick Williams', 'Julius Randle']","['Eric Gordon', 'Malik Monk', 'Troy Brown Jr.', ""De'Aaron Fox"", 'Jakob Poeltl', 'Josh Giddey', 'LeBron James', 'Terance Mann']",314.6,273.98498624823986,298.5,190,179,0,0,163,"['Markelle Fultz', 'Nikola Vucevic', 'Nassir Little', 'Damian Lillard', 'Julius Randle', 'Klay Thompson', 'Immanuel Quickley', 'Troy Brown Jr.', 'Drew Eubanks']","['Nic Claxton', 'Eric Gordon', 'LeBron James', 'Harrison Barnes', 'Keegan Murray', 'Markelle Fultz', 'Killian Hayes', 'Malik Monk', 'Tari Eason']",358.3,292.0935528621078,313.2,59500,58400,0,0,163,"['Nikola Vucevic', 'Terance Mann', 'Alex Caruso', 'Tari Eason', 'Nikola Jokic', 'Amir Coffey', 'Russell Westbrook', 'Quentin Grimes']","['Nicolas Batum', 'Aaron Gordon', 'Georges Niang', 'Isaiah Stewart', 'Immanuel Quickley', 'Nikola Vucevic', 'Saddiq Bey', 'Julius Randle']",331,247.6886123670265,305.75,48500,49500,0,0
1/16/23,175,"['Kyle Anderson', 'Bam Adebayo', 'Jose Alvarado', 'Mason Plumlee', 'Fred VanVleet', 'LeBron James', 'Eric Gordon', 'Alperen Sengun']","['Jordan Poole', 'Walker Kessler', 'Fred VanVleet', 'Jalen Green', 'Jordan Poole', 'Jarred Vanderbilt', 'RJ Barrett', 'P.J. Washington']",413.79999999999995,290.3191648513079,355.8,198,197,0,1,175,"['Jordan Poole', 'RJ Barrett', 'Grayson Allen', 'Quentin Grimes', 'T.J. McConnell', 'Obi Toppin', 'Jaren Jackson Jr.', 'LeBron James', 'Wenyen Gabriel']","['Scottie Barnes', 'Myles Turner', 'T.J. McConnell', 'Eric Gordon', 'Jordan Goodwin', 'Andrew Nembhard', 'Jonas Valanciunas', 'Alperen Sengun', 'Kristaps Porzingis']",376.09999999999997,291.04785142987964,384.8,57600,58800,0,0,175,"['Luka Garza', 'Pat Connaughton', 'Monte Morris', 'Fred VanVleet', 'Darius Garland', 'Draymond Green', 'Draymond Green', 'Scottie Barnes']","['Bam Adebayo', 'Trae Young', 'Desmond Bane', 'Ochai Agbaji', 'Landry Shamet', 'Jarrett Allen', 'Darius Garland', 'Oshae Brissett']",327,261.5071930550039,311.75,47200,50000,1,0
1/17/23,89,"['Fred VanVleet', 'Ben Simmons', 'Keldon Johnson', 'Ivica Zubac', 'Fred VanVleet', 'Tobias Harris', 'Precious Achiuwa', 'Tobias Harris']","['Scottie Barnes', 'Nic Claxton', 'Gary Trent Jr.', 'Tobias Harris', 'Tyrese Maxey', 'Kentavious Caldwell-Pope', 'Jamal Murray', 'Scottie Barnes']",381.9,287.8078123189509,333.80000000000007,180,195,2,1,89,"['Keldon Johnson', 'Jrue Holiday', 'Aaron Gordon', 'Jrue Holiday', 'Bobby Portis', 'Terance Mann', 'Tobias Harris', 'Jrue Holiday', 'Cam Thomas']","['Ben Simmons', 'Grayson Allen', 'Scottie Barnes', 'Gary Trent Jr.', 'Bruce Brown', 'Edmond Sumner', 'Jusuf Nurkic', 'Damian Lillard', 'Tobias Harris']",405.99999999999994,298.9519048,348.1,59200,59600,2,0,89,"['Terance Mann', 'Brook Lopez', 'Grayson Allen', 'Keldon Johnson', 'Cam Thomas', 'Ben Simmons', 'Nikola Jokic', 'Michael Porter Jr.']","['Bruce Brown', 'Cam Thomas', 'Seth Curry', 'Joel Embiid', 'Tobias Harris', 'Ivica Zubac', 'Fred VanVleet', 'Gary Trent Jr.']",319.25,254.91773618012667,308.25,49800,49600,0,0
1/18/23,185,"['Jaden McDaniels', 'Max Christie', 'Kyle Kuzma', 'Spencer Dinwiddie', 'Bam Adebayo', 'Alperen Sengun', 'Monte Morris', 'Evan Mobley']","['Terry Rozier', 'P.J. Washington', 'Luguentz Dort', 'Josh Giddey', 'Kyle Kuzma', 'Myles Turner', 'Jalen Brunson', 'Bruce Brown']",320,286.51320089176295,330.7,180,200,0,0,185,"['Alperen Sengun', 'Lauri Markkanen', 'Trevelin Queen', 'Caris LeVert', ""De'Aaron Fox"", 'Mason Plumlee', 'T.J. McConnell', 'Jalen McDaniels', 'Spencer Dinwiddie']","['Gabe Vincent', 'Christian Wood', 'Thomas Bryant', 'Bruce Brown', 'P.J. Washington', 'Lauri Markkanen', 'Isaac Okoro', 'Darius Garland', 'Kevin Huerter']",364.9,302.6753832042217,345.3,60000,57300,0,0,185,"['Evan Mobley', 'Jalen Brunson', 'Bruce Brown', 'Monte Morris', 'Kyle Kuzma', 'Lauri Markkanen', 'Trevelin Queen', 'Luguentz Dort']","['Michael Porter Jr.', 'Mason Plumlee', 'Deni Avdija', ""De'Aaron Fox"", 'Jalen Green', 'Mark Williams', 'Lauri Markkanen', 'Kevin Huerter']",340.25,267.04674861207604,310.75,49700,49900,0,0
1/19/23,99,"['Jayson Tatum', 'Draymond Green', 'Nikola Vucevic', 'Stephen Curry', 'Scottie Barnes', 'DeMar DeRozan', 'Fred VanVleet', 'Pascal Siakam']","['Deandre Ayton', 'Jayson Tatum', 'Stephen Curry', 'DeMar DeRozan', 'Kyrie Irving', 'Damian Lillard', 'Jayson Tatum', 'Stephen Curry']",389.7,369.9780024,463.90000000000003,,,0,2,99,"['Matisse Thybulle', 'Marcus Smart', 'Cameron Johnson', 'Al Horford', 'Bojan Bogdanovic', 'Jaylen Brown', 'Kyrie Irving', 'Kyrie Irving', 'Al Horford']","['Stephen Curry', 'Draymond Green', 'Anthony Edwards', 'Nic Claxton', 'Al Horford', 'Saben Lee', 'Cameron Johnson', 'Kevon Looney', 'DeMar DeRozan']",369,318.2484808579087,363.6,58200,59600,2,0,99,"['Hamidou Diallo', 'Draymond Green', 'Nic Claxton', 'Joel Embiid', 'DeMar DeRozan', 'Zach LaVine', 'Marcus Smart', 'James Harden']","['Deandre Ayton', 'Nikola Vucevic', 'Saben Lee', 'Kyrie Irving', 'Scottie Barnes', 'Zach LaVine', 'Klay Thompson', 'Jayson Tatum']",346.25,318.6696961224079,381.75,,,0,0
1/20/23,189,"['Dennis Schroder', 'Kyrie Irving', 'Norman Powell', 'Jalen Brunson', 'Jordan Clarkson', 'Rudy Gay', 'Dejounte Murray', 'Zach Collins']","['Norman Powell', 'Jalen Brunson', 'Kyrie Irving', 'Jordan Clarkson', 'Caris LeVert', 'Dennis Schroder', 'Myles Turner', 'Zeke Nnaji']",355.59999999999997,291.8258374379947,343.20000000000005,188,190,0,0,189,"['Norman Powell', 'Isaiah Joe', 'Dennis Schroder', 'Onyeka Okongwu', 'LeBron James', 'Ivica Zubac', 'Aaron Gordon', 'Keegan Murray', 'Bol Bol']","['Christian Braun', 'Shai Gilgeous-Alexander', 'Jonathan Kuminga', ""De'Andre Hunter"", ""De'Aaron Fox"", 'Caris LeVert', 'Kevin Love', 'Luka Doncic', 'Thomas Bryant']",344.1,286.49378290940075,295.19999999999993,56100,60000,0,0,189,"['Jordan Clarkson', 'Dennis Schroder', 'Domantas Sabonis', 'Cole Anthony', ""De'Andre Hunter"", 'Mike Conley', 'DeAndre Jordan', 'Caris LeVert']","['Oshae Brissett', 'Kyrie Irving', 'Herbert Jones', 'Darius Garland', 'Jericho Sims', 'Davion Mitchell', 'Kevon Looney', 'Luka Doncic']",293,261.84840166941285,292.5,46200,49000,0,0
