id,site,league,slate,site_id,name,period,max_entries,max_entrants,cost,prizepool,places_paid,total_entrants,winning_score,mincash_score,startdate,winning_payout,mincash_payout,DateTime,Title,game_cnt,winner_cnt,winner,has_lineups
675539213,fanduel,NBA,55339,55339-244619717,$25K Tue NBA Piggy Bank Shot (150 Entries Max),3/10/2021,150,598802,0.05,25000,180000,392082,366.2,279.5,1615424400,1000,0.1,3/10/2021 20:00,Main,2,0,hornethurricane25,1
675539237,fanduel,NBA,55339,55339-244619991,$1M Tue NBA Comeback Shot ($200K to 1st),3/10/2021,150,297619,4,1000000,78971,250535,366.2,284.8,1615424400,200000,7,3/10/2021 20:00,Main,2,0,calieternal85,1
675539211,fanduel,NBA,55339,55339-244619739,"$25K Tue NBA Fadeaway ($0.25 to Enter, 20 Entries Max)",3/10/2021,20,119760,0.25,25000,35937,80362,359,275.1,1615424400,500,0.5,3/10/2021 20:00,Main,2,0,"ketchdenny,bbgj278990",1
675532537,draftkings,NBA,46045,104452190,NBA $1M Return From Break [$250K to 1st],3/10/2021,150,117647,10,1000000,24790,98331,330.5,261.75,1615424400,250000,15,3/10/2021 20:00,Late Swap,2,2,"blankco216,markvikings",1
678166877,fanduel_single,NBA,55354,55354-244682782,$3K Wed NBA Piggy Bank Shot (150 Entries Max),3/10/2021,150,71856,0.05,3000,21550,37734,285.76,231.5,1615426200,100,0.1,3/10/2021 20:30,SA @ DAL,1,0,"bearcats594,cloverbandit,ceegee,richdeese,drs1616,redman713,maday20,gasparetti,lukagirl,magierpain,tomass63,arkkonuptop,ptrckclrss3,eboogie247,izzy1011,pilot1,atlshark,alkeb26,amos2706,franchise007,conradcommodore,daniel6112m,lakendrick_jones,wtfbra97,df6682,boyblu22513,lighskinppl,poohandpatti,honda408,tbity32,thatman78,royce22,jeffery183,skralph,vonbond003,rafaelbelliard,poochycracker,skolyall,beardsand,actuallysusie,i_love_too_win,frankie125,dannyc888,higgeesmalls,bklynog,blksme__1,jdarich,estrider,prettygirlswag81,aarodneydfs",0
675532493,draftkings,NBA,46045,104452184,NBA $50K And-One [20 Entry Max],3/10/2021,20,59453,1,50000,15950,59453,330.75,259.75,1615424400,2500,1.5,3/10/2021 20:00,Late Swap,2,1,Bradsh86,1
678166786,fanduel_single,NBA,55353,55353-244682520,$2K Wed NBA Piggy Bank Shot (150 Entries Max),3/10/2021,150,47904,0.05,2000,14375,32370,308.42,255.85,1615424400,100,0.1,3/10/2021 20:00,WAS @ MEM,1,0,"joseph36,fadeaway2324,splashvinnie,jdarich",0
675532511,draftkings,NBA,46045,104450982,NBA $20K mini-MAX [150 Max Entry],3/10/2021,150,47562,0.5,20000,9972,47562,328.75,264.75,1615424400,2000,1,3/10/2021 20:00,Late Swap,2,1,TashaB,1
675532521,draftkings,NBA,46045,104450973,NBA $10K Quarter Jukebox [Just $0.25!],3/10/2021,20,47562,0.25,10000,11410,47562,330.5,261.75,1615424400,500,0.5,3/10/2021 20:00,Late Swap,2,2,"weez555,hlborger",1
675539212,fanduel,NBA,55339,55339-244619943,$35K Tue NBA Dribbler (Single Entry Series Pres. by RotoGrinders,3/10/2021,1,41666,1,35000,10450,29672,359.6,277.3,1615424400,2000,2,3/10/2021 20:00,Main,2,0,robbyp61,1
