player_name,game_id,game_date,ast,ast_pred,fanduel_salary,draftkings_salary,yahoo_salary,fanduel_position,draftkings_position,yahoo_position
Kyle Lowry,22200599,2023-01-08,4,3.8472378,5400.0,5400.0,22.0,PG,PG,PG
Tre Mann,22200602,2023-01-08,3,2.4513168,3500.0,3500.0,14.0,PG/SG,PG/SG,PG
Landry Shamet,22200603,2023-01-08,3,2.9640992,4600.0,4600.0,13.0,SG/SF,SG/SF,SG
Mark Williams,22200598,2023-01-08,0,0.015756734,3800.0,3800.0,12.0,C,C,C
T.J. McConnell,22200598,2023-01-08,0,0.52948457,3200.0,3200.0,10.0,PG,PG,PG
Keon Johnson,22200597,2023-01-08,0,0.015756734,3000.0,3000.0,10.0,SG/SF,SG/SF,SG
Dennis Smith Jr.,22200598,2023-01-08,4,3.4957469,4100.0,4100.0,17.0,PG,PG,PG
Kevin Knox II,22200596,2023-01-08,0,0.015756734,3000.0,3000.0,10.0,SF/PF,SF/PF,SF
Frank Kaminsky,22200604,2023-01-08,1,0.9153007,3000.0,3000.0,10.0,C,C,C
Eugene Omoruyi,22200602,2023-01-08,0,0.015756734,3000.0,3000.0,10.0,PF/C,PF/C,SF
Aaron Holiday,22200604,2023-01-08,0,0.6673685,3000.0,3000.0,10.0,PG/SG,PG/SG,PG
Precious Achiuwa,22200597,2023-01-08,0,0.0263706,3300.0,3300.0,10.0,C,C,C
Haywood Highsmith,22200599,2023-01-08,0,0.015756734,3300.0,3300.0,10.0,SF/PF,SF/PF,PF
Chris Duarte,22200598,2023-01-08,1,0.9898832,3000.0,3000.0,10.0,SG/SF,SG/SF,SF
Tim Hardaway Jr.,22200602,2023-01-08,2,1.497361,5800.0,5800.0,18.0,SG/SF,SG/SF,SF
Xavier Tillman,22200600,2023-01-08,3,2.2387712,3200.0,3200.0,10.0,C,C,C
JT Thor,22200598,2023-01-08,0,0.015756734,3100.0,3100.0,10.0,PF,PF,PF
Mike Conley,22200600,2023-01-08,8,7.30563,5900.0,5900.0,19.0,PG,PG,PG
Tobias Harris,22200596,2023-01-08,0,0.772442,6700.0,6700.0,25.0,SF/PF,SF/PF,SF
Thaddeus Young,22200597,2023-01-08,1,0.92364967,3000.0,3000.0,10.0,PF/C,PF/C,C
Royce O'Neale,22200599,2023-01-08,6,4.2794495,4300.0,4300.0,16.0,SG,SG,SG
Danuel House Jr.,22200596,2023-01-08,1,0.95833457,3000.0,3000.0,10.0,SF/PF,SF/PF,SF
Bennedict Mathurin,22200598,2023-01-08,3,2.3578126,4600.0,4600.0,15.0,SG/SF,SG/SF,SG
Nicolas Batum,22200604,2023-01-08,3,2.265737,4700.0,4700.0,10.0,PF/C,PF/C,PF
Tari Eason,22200601,2023-01-08,2,1.8944644,4100.0,4100.0,11.0,PF,PF,PF
John Konchar,22200600,2023-01-08,1,1.2422366,4300.0,4300.0,11.0,SG/SF,SG/SF,SG
Frank Ntilikina,22200602,2023-01-08,0,0.027285831,3000.0,3000.0,10.0,PG/SG,PG/SG,SG
Christian Koloko,22200597,2023-01-08,2,1.3622727,3000.0,3000.0,10.0,C,C,C
Eric Gordon,22200601,2023-01-08,4,2.8405576,3800.0,3800.0,10.0,SF,SF,SF
Gabe Vincent,22200599,2023-01-08,2,0.73502177,3300.0,3300.0,10.0,PG/SG,PG/SG,PG
Kevin Durant,22200599,2023-01-08,2,4.0362496,10200.0,10200.0,46.0,SF/PF,SF/PF,SF
Kennedy Chandler,22200600,2023-01-08,4,2.7129743,3000.0,3000.0,10.0,PG,PG,PG
Cedi Osman,22200603,2023-01-08,0,0.9771396,4000.0,4000.0,10.0,PF,PF,PF
Buddy Hield,22200598,2023-01-08,2,2.4612472,6200.0,6200.0,25.0,SG/SF,SG/SF,SF
Rudy Gay,22200600,2023-01-08,0,0.98570025,3200.0,3200.0,10.0,PF,PF,PF
JaVale McGee,22200602,2023-01-08,1,0.95049465,3000.0,3000.0,10.0,C,C,C
Mike Muscala,22200602,2023-01-08,1,0.66249543,3500.0,3500.0,10.0,C,C,C
Usman Garuba,22200601,2023-01-08,0,0.8832184,3000.0,3000.0,10.0,C,C,C
Malachi Flynn,22200597,2023-01-08,3,1.0635039,3000.0,3000.0,10.0,PG/SG,PG/SG,PG
Naz Reid,22200601,2023-01-08,0,0.015756734,5200.0,5200.0,18.0,PF/C,PF/C,C
Furkan Korkmaz,22200596,2023-01-08,0,0.015756734,3000.0,3000.0,10.0,SG/SF,SG/SF,SG
Joe Harris,22200599,2023-01-08,0,0.019436236,3100.0,3100.0,10.0,SG/SF,SG/SF,SF
Nerlens Noel,22200596,2023-01-08,0,0.015756734,3000.0,3000.0,10.0,C,C,C
Isaac Okoro,22200603,2023-01-08,0,0.6869829,3100.0,3100.0,10.0,SG/SF,SG/SF,SF
Alec Burks,22200596,2023-01-08,4,2.4256105,5100.0,5100.0,16.0,PG/SG,PG/SG,SG
David Roddy,22200600,2023-01-08,1,0.98541605,3100.0,3100.0,10.0,SG,SG,SG
Matisse Thybulle,22200596,2023-01-08,2,0.98841864,3000.0,3000.0,10.0,SG/SF,SG/SF,SF
Orlando Robinson,22200599,2023-01-08,2,1.3622727,3000.0,3000.0,10.0,C,C,C
McKinley Wright IV,22200602,2023-01-08,0,0.051553525,3000.0,3000.0,10.0,PG,PG,PG
Anfernee Simons,22200597,2023-01-08,2,0.71065485,6600.0,6600.0,24.0,PG/SG,PG/SG,SG
Ish Wainright,22200603,2023-01-08,1,0.9898832,3000.0,3000.0,10.0,PF,PF,PF
Aaron Wiggins,22200602,2023-01-08,5,3.935766,3000.0,3000.0,10.0,SG/SF,SG/SF,SF
Bam Adebayo,22200599,2023-01-08,2,2.239289,9200.0,9200.0,36.0,C,C,C
Jock Landale,22200603,2023-01-08,2,1.3562475,3000.0,3000.0,10.0,C,C,C
Jalen Green,22200601,2023-01-08,5,4.0169673,7200.0,7200.0,25.0,SG,SG,SG
Hamidou Diallo,22200596,2023-01-08,1,0.9153007,3500.0,3500.0,11.0,SG/SF,SG/SF,SF
Jalen Smith,22200598,2023-01-08,2,1.8200778,3600.0,3600.0,12.0,PF/C,PF/C,PF
Jabari Walker,22200597,2023-01-08,1,0.99843675,3300.0,3300.0,10.0,PF,PF,PF
Trendon Watford,22200597,2023-01-08,0,0.015756734,3000.0,3000.0,10.0,PF/C,PF/C,PF
Chris Boucher,22200597,2023-01-08,0,0.015756734,3200.0,3200.0,10.0,PF,PF,PF
Taurean Prince,22200601,2023-01-08,4,3.480613,3200.0,3200.0,10.0,SF/PF,SF/PF,SF
De'Anthony Melton,22200596,2023-01-08,0,0.25901687,5500.0,5500.0,22.0,PG/SG,PG/SG,SG
Isaiah Joe,22200602,2023-01-08,2,1.9738262,3400.0,3400.0,10.0,SG,SG,SG
Jaylen Nowell,22200601,2023-01-08,1,0.7372725,4900.0,4900.0,11.0,PG/SG,PG/SG,SG
Ochai Agbaji,22200600,2023-01-08,0,0.015756734,3000.0,3000.0,10.0,SG/SF,SG/SF,SG
Alperen Sengun,22200601,2023-01-08,2,2.9928625,6200.0,6200.0,22.0,C,C,C
Jae'Sean Tate,22200601,2023-01-08,4,2.6025002,3700.0,3700.0,15.0,PG/SF,PG/SF,SF
Shaedon Sharpe,22200597,2023-01-08,1,1.031122,3100.0,3100.0,10.0,PG/SG,PG/SG,PG
Jalen McDaniels,22200598,2023-01-08,1,0.3064774,4700.0,4700.0,17.0,SF/PF,SF/PF,SF
Bojan Bogdanovic,22200596,2023-01-08,5,4.744472,6000.0,6000.0,23.0,SF/PF,SF/PF,SF
Damion Lee,22200603,2023-01-08,0,0.79440886,3300.0,3300.0,10.0,SG/SF,SG/SF,SF
Jarred Vanderbilt,22200600,2023-01-08,4,3.334758,5300.0,5300.0,17.0,PF/C,PF/C,PF
Kevin Love,22200603,2023-01-08,0,0.94711685,5300.0,5300.0,18.0,PF/C,PF/C,C
Kenrich Williams,22200602,2023-01-08,2,1.7286862,3600.0,3600.0,10.0,SF/PF,SF/PF,PF
Ziaire Williams,22200600,2023-01-08,0,0.015756734,3000.0,3000.0,10.0,SF,SF,SF
Austin Rivers,22200601,2023-01-08,0,0.5700251,3600.0,3600.0,10.0,PG/SG,PG/SG,SG
Lamar Stevens,22200603,2023-01-08,0,0.0263706,3000.0,3000.0,10.0,SF,SF,SF
Saddiq Bey,22200596,2023-01-08,1,0.9684238,4200.0,4200.0,18.0,SF,SF,SF
T.J. Warren,22200599,2023-01-08,1,0.98020136,3900.0,3900.0,12.0,SF/PF,SF/PF,PF
Jerami Grant,22200597,2023-01-08,0,0.6256251,7600.0,7600.0,28.0,PF,PF,PF
Mamadi Diakite,22200603,2023-01-08,0,0.015756734,3000.0,3000.0,10.0,SF/PF,SF/PF,PF
Yuta Watanabe,22200599,2023-01-08,0,0.019436236,3200.0,3200.0,10.0,SF/PF,SF/PF,PF
Theo Pinson,22200602,2023-01-08,0,0.015756734,3000.0,3000.0,10.0,SG/SF,SG/SF,SF
Drew Eubanks,22200597,2023-01-08,0,0.022691093,3500.0,3500.0,10.0,C,C,C
Dario Saric,22200603,2023-01-08,2,1.4331942,3000.0,3000.0,10.0,PF/C,PF/C,PF
Dejounte Murray,22200604,2023-01-08,4,4.4618196,8300.0,8300.0,34.0,PG/SG,PG/SG,SG
Raul Neto,22200603,2023-01-08,2,0.957266,3200.0,3200.0,10.0,PG,PG,PG
Reggie Jackson,22200604,2023-01-08,0,0.8414401,4400.0,4400.0,14.0,PG,PG,PG
John Wall,22200604,2023-01-08,5,2.244437,4600.0,4600.0,14.0,PG,PG,PG
Nickeil Alexander-Walker,22200600,2023-01-08,4,2.6838949,3300.0,3300.0,10.0,PG/SG,PG/SG,PG
Josh Okogie,22200603,2023-01-08,1,0.9153007,3000.0,3000.0,10.0,SF/PF,SF/PF,PF
Evan Mobley,22200603,2023-01-08,6,4.5176435,6300.0,6300.0,24.0,PF/C,PF/C,PF
Aaron Nesmith,22200598,2023-01-08,2,2.9661984,4000.0,4000.0,12.0,SF/PF,SF/PF,PF
Darius Garland,22200603,2023-01-08,7,6.462102,7900.0,7900.0,31.0,PG,PG,PG
Gary Trent Jr.,22200597,2023-01-08,1,2.1665683,5900.0,5900.0,22.0,SG/SF,SG/SF,SG
Marcus Morris Sr.,22200604,2023-01-08,2,1.3692861,5000.0,5000.0,16.0,PF,PF,PF
Terance Mann,22200604,2023-01-08,4,2.4656153,3900.0,3900.0,10.0,PG/SG,PG/SG,SG
Andrew Nembhard,22200598,2023-01-08,4,2.984596,3900.0,3900.0,10.0,PG/SG,PG/SG,SG
Jalen Johnson,22200604,2023-01-08,0,0.0405187,3000.0,3000.0,10.0,PF,PF,PF
Lauri Markkanen,22200600,2023-01-08,1,0.63897246,9300.0,9300.0,34.0,SF/PF,SF/PF,SF
Norman Powell,22200604,2023-01-08,4,2.8888295,4900.0,4900.0,16.0,SG/SF,SG/SF,SF
D'Angelo Russell,22200601,2023-01-08,6,5.1498713,7300.0,7300.0,27.0,PG,PG,PG
Torrey Craig,22200603,2023-01-08,1,1.3883985,4200.0,4200.0,14.0,PF/C,PF/C,PF
