player_name,game_id,game_date,y,y_pred
Allen Crabbe,21600843,2017-02-15,0,0.069918185
Tony Snell,21600838,2017-02-15,3,3.044929
DeMarre Carroll,21600837,2017-02-15,4,4.1216755
JaMychal Green,21600840,2017-02-15,1,0.9494109
Solomon Hill,21600840,2017-02-15,1,1.4698724
Tyson Chandler,21600844,2017-02-15,0,0.0600193
Langston Galloway,21600840,2017-02-15,0,0.0821199
Jamal Crawford,21600846,2017-02-15,4,4.128852
Kevon Looney,21600847,2017-02-15,1,1.0440743
Toney Douglas,21600840,2017-02-15,3,2.7980382
Jeff Teague,21600835,2017-02-15,11,11.037415
Brandon Rush,21600842,2017-02-15,1,1.0583683
Ron Baker,21600845,2017-02-15,2,1.9286186
Jusuf Nurkic,21600843,2017-02-15,1,0.9824254
Andre Iguodala,21600847,2017-02-15,3,2.3562129
Victor Oladipo,21600845,2017-02-15,2,1.1610829
Kentavious Caldwell-Pope,21600839,2017-02-15,1,0.4471341
Trevor Booker,21600838,2017-02-15,3,2.526433
Chandler Parsons,21600840,2017-02-15,1,1.5547127
Kosta Koufos,21600847,2017-02-15,0,0.08183257
Justin Holiday,21600845,2017-02-15,2,2.034195
Dejounte Murray,21600834,2017-02-15,0,0.06625052
Jahlil Okafor,21600836,2017-02-15,2,2.0053396
Mike Dunleavy,21600846,2017-02-15,0,0.069918185
Mike Tobey,21600837,2017-02-15,0,0.165168
Brandon Bass,21600846,2017-02-15,0,0.06625052
James Jones,21600835,2017-02-15,0,0.06625052
Willie Cauley-Stein,21600847,2017-02-15,1,0.66127753
Danny Green,21600834,2017-02-15,0,0.13356005
Tyler Zeller,21600836,2017-02-15,1,1.1668459
Gerald Green,21600836,2017-02-15,1,1.1031243
Nerlens Noel,21600836,2017-02-15,3,2.9519868
Kay Felder,21600835,2017-02-15,0,0.06625052
Buddy Hield,21600840,2017-02-15,1,1.0572494
James Michael McAdoo,21600847,2017-02-15,0,0.06041656
Kevin Seraphin,21600835,2017-02-15,1,1.0440743
Michael Beasley,21600838,2017-02-15,0,0.06368697
Gary Harris,21600842,2017-02-15,2,2.184662
Randy Foye,21600838,2017-02-15,1,1.069156
Andre Drummond,21600839,2017-02-15,3,3.0168698
Anthony Davis,21600840,2017-02-15,2,1.9569237
Mason Plumlee,21600842,2017-02-15,3,3.2080643
Nemanja Bjelica,21600842,2017-02-15,1,1.11938
Jordan Clarkson,21600844,2017-02-15,0,0.39611506
Courtney Lee,21600845,2017-02-15,1,0.97832644
Rashad Vaughn,21600838,2017-02-15,1,0.82111675
Rakeem Christmas,21600835,2017-02-15,0,0.06625052
Austin Rivers,21600846,2017-02-15,4,4.1742244
Gordon Hayward,21600843,2017-02-15,7,6.1645265
Yogi Ferrell,21600839,2017-02-15,3,3.0124846
Gorgui Dieng,21600842,2017-02-15,2,2.0400863
D.J. Augustin,21600834,2017-02-15,1,1.2479172
Lamar Patterson,21600846,2017-02-15,3,2.9418561
Raul Neto,21600843,2017-02-15,0,0.051167954
Nene,21600841,2017-02-15,1,1.0431892
Boris Diaw,21600843,2017-02-15,0,0.25025624
Khris Middleton,21600838,2017-02-15,7,6.8507495
Joe Ingles,21600843,2017-02-15,3,3.3383024
Aron Baynes,21600839,2017-02-15,0,0.06041656
Kelly Olynyk,21600836,2017-02-15,3,2.6958685
Aaron Gordon,21600834,2017-02-15,2,1.7914755
Kris Humphries,21600846,2017-02-15,0,0.08795385
Derrick Williams,21600835,2017-02-15,2,1.9970798
James Young,21600836,2017-02-15,0,0.06625052
Tobias Harris,21600839,2017-02-15,1,1.0418086
Al Horford,21600836,2017-02-15,2,3.4718063
Brian Roberts,21600837,2017-02-15,0,0.27641603
Thon Maker,21600838,2017-02-15,1,1.1098965
Kyle Lowry,21600837,2017-02-15,6,5.665257
Tyreke Evans,21600840,2017-02-15,4,4.102071
Marcelo Huertas,21600844,2017-02-15,1,1.1763234
Spencer Dinwiddie,21600838,2017-02-15,8,6.9028883
Dorian Finney-Smith,21600839,2017-02-15,0,0.06041656
Dewayne Dedmon,21600834,2017-02-15,1,0.95612985
Marquese Chriss,21600844,2017-02-15,0,0.12231975
Shaun Livingston,21600847,2017-02-15,1,1.4427305
Malcolm Delaney,21600846,2017-02-15,1,1.5951939
Trevor Ariza,21600841,2017-02-15,2,1.7225254
Paul Millsap,21600846,2017-02-15,1,1.7072508
Kristaps Porzingis,21600845,2017-02-15,1,1.1326665
Kyle O'Quinn,21600845,2017-02-15,0,0.10919639
Paul George,21600835,2017-02-15,3,2.6712284
Sergio Rodriguez,21600836,2017-02-15,5,5.125823
Wesley Johnson,21600846,2017-02-15,0,0.06625052
Treveon Graham,21600837,2017-02-15,0,0.06625052
Kris Dunn,21600842,2017-02-15,5,5.9979944
Shabazz Napier,21600843,2017-02-15,2,1.9948132
Jeff Green,21600834,2017-02-15,2,2.004789
Dwight Howard,21600846,2017-02-15,0,0.13103625
Nick Young,21600844,2017-02-15,0,0.19419873
Brandan Wright,21600840,2017-02-15,0,0.06625052
Dwight Powell,21600839,2017-02-15,0,0.08349599
Luol Deng,21600844,2017-02-15,0,0.045334
Al Jefferson,21600835,2017-02-15,4,3.9331968
Andrew Bogut,21600839,2017-02-15,1,1.0683875
Luc Mbah a Moute,21600846,2017-02-15,1,1.0440743
Domantas Sabonis,21600845,2017-02-15,0,0.07653895
Alan Anderson,21600846,2017-02-15,1,1.0538104
Jared Dudley,21600844,2017-02-15,2,1.4334322
Pat Connaughton,21600843,2017-02-15,1,0.97533005
Justin Anderson,21600839,2017-02-15,0,0.083893254
Mirza Teletovic,21600838,2017-02-15,0,0.06041656
Shabazz Muhammad,21600842,2017-02-15,2,2.0606346
Matthew Dellavedova,21600838,2017-02-15,5,5.46515
Elfrid Payton,21600834,2017-02-15,3,3.5743804
Will Barton,21600842,2017-02-15,2,2.382735
Joel Anthony,21600834,2017-02-15,0,0.06625052
Delon Wright,21600837,2017-02-15,2,1.8490108
Tony Allen,21600840,2017-02-15,1,1.2216703
Kawhi Leonard,21600834,2017-02-15,1,1.3537819
Wesley Matthews,21600839,2017-02-15,3,1.2592921
DeAndre Liggins,21600835,2017-02-15,0,0.09162152
Ersan Ilyasova,21600836,2017-02-15,0,0.21139562
E'Twaun Moore,21600840,2017-02-15,1,1.3282661
DeMarcus Cousins,21600847,2017-02-15,6,7.140906
Wayne Ellington,21600841,2017-02-15,1,1.1417346
