player_name,game_id,game_date,y,y_pred,fanduel_salary,draftkings_salary,yahoo_salary,fanduel_position,draftkings_position,yahoo_position
Allen Crabbe,21600843,2017-02-15,0,0.013975088,3800.0,3800.0,10.0,SG/SF,SG/SF,SG
Tony Snell,21600838,2017-02-15,1,0.983825,3300.0,3300.0,10.0,SF,SF,SF
DeMarre Carroll,21600837,2017-02-15,0,0.005908186,4400.0,4400.0,12.0,SF,SF,SF
JaMychal Green,21600840,2017-02-15,0,0.013975088,4300.0,4300.0,12.0,PF,PF,PF
Solomon Hill,21600840,2017-02-15,0,0.013975088,3700.0,3700.0,10.0,SF,SF,SF
Tyson Chandler,21600844,2017-02-15,1,0.97647035,5400.0,5400.0,19.0,C,C,C
Langston Galloway,21600840,2017-02-15,0,0.013975088,3000.0,3000.0,10.0,SG,SG,SG
Jamal Crawford,21600846,2017-02-15,0,0.013975088,4800.0,4800.0,14.0,SG,SG,SG
Kevon Looney,21600847,2017-02-15,0,0.013975088,3000.0,3000.0,10.0,PF,PF,PF
Toney Douglas,21600840,2017-02-15,0,0.017786082,3000.0,3000.0,10.0,PG,PG,PG
Jeff Teague,21600835,2017-02-15,0,0.0145140365,7400.0,7400.0,34.0,PG,PG,PG
Brandon Rush,21600842,2017-02-15,1,0.98408926,3000.0,3000.0,10.0,SG,SG,SG
Ron Baker,21600845,2017-02-15,0,0.013975088,3000.0,3000.0,10.0,PG/SG,PG/SG,SG
Jusuf Nurkic,21600843,2017-02-15,1,0.98408926,3900.0,3900.0,10.0,C,C,C
Andre Iguodala,21600847,2017-02-15,2,1.9572179,4300.0,4300.0,10.0,SF,SF,SF
Victor Oladipo,21600845,2017-02-15,0,0.0145140365,6000.0,6000.0,24.0,SG,SG,SG
Kentavious Caldwell-Pope,21600839,2017-02-15,0,0.013975088,5000.0,5000.0,19.0,SG,SG,SG
Trevor Booker,21600838,2017-02-15,0,0.0145140365,4600.0,4600.0,18.0,PF,PF,PF
Chandler Parsons,21600840,2017-02-15,0,0.0068214573,3700.0,3700.0,10.0,SF/PF,SF/PF,SF
Kosta Koufos,21600847,2017-02-15,1,0.983825,3500.0,3500.0,10.0,C,C,C
Justin Holiday,21600845,2017-02-15,1,0.97647035,3300.0,3300.0,10.0,SG/SF,SG/SF,SF
Dejounte Murray,21600834,2017-02-15,1,0.98408926,3000.0,3000.0,10.0,PG,PG,PG
Jahlil Okafor,21600836,2017-02-15,3,2.917087,4500.0,4500.0,10.0,C,C,C
Mike Dunleavy,21600846,2017-02-15,0,0.013975088,3000.0,3000.0,10.0,SF,SF,SF
Mike Tobey,21600837,2017-02-15,0,0.09333586,3000.0,3000.0,10.0,C,C,C
Brandon Bass,21600846,2017-02-15,0,0.0145140365,3000.0,3000.0,10.0,C,C,C
James Jones,21600835,2017-02-15,0,0.013975088,3000.0,3000.0,10.0,SG,SG,SG
Willie Cauley-Stein,21600847,2017-02-15,1,0.9834493,3600.0,3600.0,10.0,C,C,C
Danny Green,21600834,2017-02-15,2,1.9275482,3700.0,3700.0,10.0,SG,SG,SG
Tyler Zeller,21600836,2017-02-15,0,0.013975088,3000.0,3000.0,10.0,C,C,PF
Gerald Green,21600836,2017-02-15,0,0.013975088,3000.0,3000.0,10.0,SF,SF,SF
Nerlens Noel,21600836,2017-02-15,0,0.041242465,6100.0,6100.0,13.0,PF/C,PF/C,C
Kay Felder,21600835,2017-02-15,0,0.013975088,3000.0,3000.0,10.0,PG,PG,PG
Buddy Hield,21600840,2017-02-15,0,0.013975088,3800.0,3800.0,10.0,SG,SG,SG
James Michael McAdoo,21600847,2017-02-15,1,0.9642809,3000.0,3000.0,10.0,PF,PF,PF
Kevin Seraphin,21600835,2017-02-15,0,0.013975088,3700.0,3700.0,10.0,PF/C,PF/C,C
Michael Beasley,21600838,2017-02-15,1,0.98408926,5500.0,5500.0,12.0,SF/PF,SF/PF,PF
Gary Harris,21600842,2017-02-15,0,0.013975088,4900.0,4900.0,17.0,SG,SG,SG
Randy Foye,21600838,2017-02-15,0,0.013975088,3000.0,3000.0,10.0,SG,SG,SG
Andre Drummond,21600839,2017-02-15,0,0.03146159,7600.0,7600.0,34.0,C,C,C
Anthony Davis,21600840,2017-02-15,2,1.9252787,10000.0,10000.0,52.0,C,C,C
Mason Plumlee,21600842,2017-02-15,1,1.0463731,4000.0,4000.0,23.0,C,C,PF
Nemanja Bjelica,21600842,2017-02-15,1,0.98408926,3200.0,3200.0,10.0,PF,PF,PF
Jordan Clarkson,21600844,2017-02-15,0,0.013975088,4000.0,4000.0,10.0,PG/SG,PG/SG,PG
Courtney Lee,21600845,2017-02-15,0,0.013975088,4000.0,4000.0,10.0,SG,SG,SG
Rashad Vaughn,21600838,2017-02-15,0,0.0145140365,3000.0,3000.0,10.0,SG,SG,SG
Rakeem Christmas,21600835,2017-02-15,0,0.013975088,3000.0,3000.0,10.0,PF,PF,PF
Austin Rivers,21600846,2017-02-15,0,0.013975088,5100.0,5100.0,19.0,PG/SG,PG/SG,PG
Gordon Hayward,21600843,2017-02-15,0,0.013975088,7300.0,7300.0,35.0,SF,SF,SF
Yogi Ferrell,21600839,2017-02-15,0,0.0145140365,4700.0,4700.0,18.0,PG,PG,PG
Gorgui Dieng,21600842,2017-02-15,0,0.006667486,5400.0,5400.0,19.0,PF/C,PF/C,PF
D.J. Augustin,21600834,2017-02-15,0,0.013975088,3000.0,3000.0,10.0,PG,PG,PG
Lamar Patterson,21600846,2017-02-15,0,0.013975088,3000.0,3000.0,10.0,SG,SG,SG
Raul Neto,21600843,2017-02-15,0,0.013975088,3000.0,3000.0,10.0,PG,PG,PG
Nene,21600841,2017-02-15,0,0.13038716,3000.0,3000.0,10.0,C,C,C
Boris Diaw,21600843,2017-02-15,0,0.013975088,3000.0,3000.0,10.0,PF/C,PF/C,C
Khris Middleton,21600838,2017-02-15,0,0.030866178,3900.0,3900.0,17.0,SF,SF,SF
Joe Ingles,21600843,2017-02-15,1,0.98408926,3800.0,3800.0,10.0,SG/SF,SG/SF,SG
Aron Baynes,21600839,2017-02-15,1,0.8180597,3500.0,3500.0,10.0,C,C,C
Kelly Olynyk,21600836,2017-02-15,0,0.0145140365,4300.0,4300.0,10.0,PF/C,PF/C,C
