date,fanduel_player_pool_count,fanduel_GT_players,fanduel_predicted_players,fanduel_GT_points,fanduel_predicted_points,fanduel_predicted_lineup_GT_points,fanduel_GT_lineup_predicted_points,fanduel_GT_salary,fanduel_predicted_salary,fanduel_GT_duplicates,fanduel_predicted_duplicates,fanduel_overlap_players,fanduel_overlap_count,fanduel_overlap_GT_points,fanduel_overlap_predicted_points
2022-11-12,10,"['Bojan Bogdanovic', 'Kevin Durant', 'Nic Claxton', 'P.J. Washington', 'Jordan Clarkson', 'Isaiah Stewart', 'Gary Trent Jr.', 'Kelly Oubre Jr.', 'Saddiq Bey']","['Isaiah Stewart', 'Saddiq Bey', 'Jordan Clarkson', 'Jordan Clarkson', 'Kelly Oubre Jr.', 'P.J. Washington', 'Bojan Bogdanovic', 'Nic Claxton', 'P.J. Washington']",241.90000009536743,,206.69999980926514,,59900.0,55600.0,0,2,"['Jordan Clarkson', 'Bojan Bogdanovic', 'Kelly Oubre Jr.', 'Nic Claxton', 'P.J. Washington', 'Saddiq Bey', 'Isaiah Stewart']",7,181.99999952316284,
2022-11-13,11,"[""D'Angelo Russell"", 'Jordan Clarkson', 'Anthony Edwards', 'Kelly Olynyk', 'Nic Claxton', ""D'Angelo Russell"", 'DeMar DeRozan', 'Mike Conley', 'Kelly Olynyk']","[""D'Angelo Russell"", 'Jordan Clarkson', 'Kelly Olynyk', 'Kevin Durant', 'Mike Conley', 'Kelly Olynyk', 'Nikola Vucevic', 'Mike Conley', 'Lauri Markkanen']",242.2000026702881,,240.69999599456787,,58900.0,64000.0,2,2,"['Jordan Clarkson', 'Kelly Olynyk', 'Mike Conley', ""D'Angelo Russell""]",4,112.3000020980835,
2022-11-14,17,"['Kelly Oubre Jr.', 'Bojan Bogdanovic', 'Jalen Green', 'Clint Capela', 'Kevin Porter Jr.', 'Jaden Ivey', 'P.J. Washington', 'Jordan Poole', 'Jordan Poole']","['Dejounte Murray', 'P.J. Washington', 'Jayson Tatum', 'Bojan Bogdanovic', 'Bojan Bogdanovic', 'Kelly Oubre Jr.', 'Brook Lopez', 'Jayson Tatum', 'John Collins']",362.39999771118164,,324.0999984741211,,57500.0,67400.0,1,2,"['Bojan Bogdanovic', 'Kelly Oubre Jr.', 'P.J. Washington']",3,97.20000076293945,
2022-11-15,16,"['Josh Hart', 'Kelly Olynyk', 'Jalen Brunson', 'Lauri Markkanen', 'Mike Conley', 'Ivica Zubac', 'Tre Jones', 'Keldon Johnson', 'Jakob Poeltl']","['Nic Claxton', 'Jakob Poeltl', 'Jarred Vanderbilt', 'Keldon Johnson', 'Dillon Brooks', 'Ivica Zubac', 'Nic Claxton', 'Ivica Zubac', 'Lauri Markkanen']",324.80000495910645,,221.40000343322754,,58200.0,57400.0,0,2,"['Lauri Markkanen', 'Jakob Poeltl', 'Keldon Johnson', 'Ivica Zubac']",4,142.40000343322754,
2022-11-16,33,"['Mikal Bridges', 'Julius Randle', 'Anthony Edwards', 'Luguentz Dort', 'DeMar DeRozan', 'John Collins', 'Kevin Porter Jr.', 'Bobby Portis', 'P.J. Washington']","['Kelly Oubre Jr.', 'RJ Barrett', 'CJ McCollum', 'P.J. Washington', 'DeMar DeRozan', 'Mikal Bridges', 'Kevin Porter Jr.', 'Trae Young', 'Anthony Edwards']",376.09999656677246,,384.69999504089355,,59700.0,65100.0,0,0,"['Anthony Edwards', 'P.J. Washington', 'Kevin Porter Jr.', 'Mikal Bridges', 'DeMar DeRozan']",5,236.1999969482422,
2022-11-17,11,"['Tre Jones', 'Saddiq Bey', 'Ivica Zubac', 'Jerami Grant', 'Bojan Bogdanovic', 'Josh Hart', 'Saddiq Bey', 'Nic Claxton', 'Jaden Ivey']","['Tre Jones', 'Kevin Durant', 'Jakob Poeltl', 'Kevin Durant', 'Nic Claxton', 'Ivica Zubac', 'Ivica Zubac', 'Jakob Poeltl', 'Jaden Ivey']",239.59999465942383,,283.7000026702881,,56800.0,70100.0,1,3,"['Tre Jones', 'Nic Claxton', 'Ivica Zubac', 'Jaden Ivey']",4,103.5999984741211,
2022-11-18,49,"['Mike Conley', 'Devin Booker', 'Christian Wood', 'Draymond Green', 'Bojan Bogdanovic', 'Evan Mobley', 'Kyle Lowry', 'Bobby Portis', 'Lauri Markkanen']","['Kyle Lowry', 'Luka Doncic', 'Bojan Bogdanovic', 'Mikal Bridges', 'Jalen Green', 'Zach LaVine', 'Kelly Oubre Jr.', 'Jaylen Brown', 'Devin Booker']",432.50000381469727,,408.5,,60000.0,69300.0,0,0,"['Bojan Bogdanovic', 'Devin Booker', 'Kyle Lowry']",3,172.79999923706055,
2022-11-19,22,"['Kelly Olynyk', 'Josh Hart', 'Jordan Clarkson', 'Franz Wagner', 'Anfernee Simons', 'Jakob Poeltl', 'Jarred Vanderbilt', 'Josh Hart', 'Rudy Gobert']","['Tyrese Haliburton', 'Anthony Edwards', 'Tre Jones', 'Mike Conley', 'Paul George', 'Franz Wagner', 'Mike Conley', 'Jarred Vanderbilt', 'Franz Wagner']",314.89999198913574,,272.1000061035156,,58300.0,62700.0,1,2,"['Jarred Vanderbilt', 'Franz Wagner']",2,59.79999923706055,
2022-11-20,29,"['Dennis Smith Jr.', 'Dillon Brooks', 'Steven Adams', 'Mason Plumlee', 'Kyle Kuzma', 'Steven Adams', 'Klay Thompson', 'Stephen Curry', 'Dillon Brooks']","['P.J. Washington', 'Alperen Sengun', 'Stephen Curry', 'Andrew Wiggins', 'Keldon Johnson', 'Andrew Wiggins', 'Steven Adams', 'Draymond Green', 'Bojan Bogdanovic']",402.00000762939453,,273.99999809265137,,58200.0,62000.0,2,1,"['Stephen Curry', 'Steven Adams']",2,110.69999694824219,
2022-11-21,45,"['John Collins', 'Ivica Zubac', 'Kyle Lowry', 'Karl-Anthony Towns', 'Jordan Clarkson', 'Franz Wagner', 'Al Horford', 'Luguentz Dort', 'Lauri Markkanen']","['Shai Gilgeous-Alexander', 'Marcus Smart', 'Bobby Portis', 'Kelly Olynyk', 'Al Horford', 'Anthony Edwards', 'Jalen Brunson', 'Donovan Mitchell', 'Jayson Tatum']",348.7000141143799,,356.0000057220459,,59200.0,68700.0,0,0,['Al Horford'],1,20.0,
