date,player_name,team,opp.,score,yh_position,yh_points,yh_salary,fd_position,fd_points,fd_salary,dk_position,dk_points,dk_salary
2021-07-01,Giannis Antetokounmpo,mil,v atl,123-112,,,,,,,PF/C,0,11200.0
2021-07-01,Cam Reddish,atl,@ mil,112-123,,,,,,,SG/SF,20,3700.0
2021-07-01,Donte DiVincenzo,mil,v atl,123-112,,,,,,,PG,0,3000.0
2021-07-01,Jordan Nwora,mil,v atl,123-112,,,,,,,SF/PF,0,3000.0
2021-07-01,Bryn Forbes,mil,v atl,123-112,,,,,,,PG/SG,4.75,3300.0
2021-07-01,Solomon Hill,atl,@ mil,112-123,,,,,,,SF/PF,0,3000.0
2021-07-01,Axel Toupane,mil,v atl,123-112,,,,,,,SF,0,3000.0
2021-07-01,Mamadi Diakite,mil,v atl,123-112,,,,,,,PF/C,0,3000.0
2021-07-01,Thanasis Antetokounmpo,mil,v atl,123-112,,,,,,,PF,2,3000.0
2021-07-01,Onyeka Okongwu,atl,@ mil,112-123,,,,,,,C,13.5,3000.0
2021-07-01,Tony Snell,atl,@ mil,112-123,,,,,,,SG/SF,0,3000.0
2021-07-01,Bobby Portis,mil,v atl,123-112,,,,,,,PF/C,43,4500.0
2021-07-01,Kevin Huerter,atl,@ mil,112-123,,,,,,,SG/SF,28.25,5800.0
2021-07-01,De'Andre Hunter,atl,@ mil,112-123,,,,,,,PF,0,3000.0
2021-07-01,Khris Middleton,mil,v atl,123-112,,,,,,,SG/SF,62.25,9400.0
2021-07-01,Jrue Holiday,mil,v atl,123-112,,,,,,,PG/SG,56,8300.0
2021-07-01,Trae Young,atl,@ mil,112-123,,,,,,,PG,0,9800.0
2021-07-01,Justin Jackson,mil,v atl,123-112,,,,,,,PF,0,3000.0
2021-07-01,Nathan Knight,atl,@ mil,112-123,,,,,,,PF/C,0,3000.0
2021-07-01,P.J. Tucker,mil,v atl,123-112,,,,,,,SF/PF,21.75,3900.0
2021-07-01,Danilo Gallinari,atl,@ mil,112-123,,,,,,,PF,24.75,4700.0
2021-07-01,Jeff Teague,mil,v atl,123-112,,,,,,,PG,4,3000.0
2021-07-01,Skylar Mays,atl,@ mil,112-123,,,,,,,PG,2,3000.0
2021-07-01,Kris Dunn,atl,@ mil,112-123,,,,,,,PG/SF,3.75,3000.0
2021-07-01,Bruno Fernando,atl,@ mil,112-123,,,,,,,C,0,3000.0
2021-07-01,Brook Lopez,mil,v atl,123-112,,,,,,,C,52.75,5000.0
2021-07-01,Brandon Goodwin,atl,@ mil,112-123,,,,,,,SG,0,3000.0
2021-07-01,Sam Merrill,mil,v atl,123-112,,,,,,,PG/SG,0,3000.0
2021-07-01,Elijah Bryant,mil,v atl,123-112,,,,,,,SG,0,3000.0
2021-07-01,Clint Capela,atl,@ mil,112-123,,,,,,,C,23,6300.0
2021-07-01,Louis Williams,atl,@ mil,112-123,,,,,,,PG/SG,26.5,3600.0
2021-07-01,Pat Connaughton,mil,v atl,123-112,,,,,,,SG/SF,12.75,3800.0
2021-07-01,John Collins,atl,@ mil,112-123,,,,,,,PF/C,35,6700.0
2021-07-01,Bogdan Bogdanovic,atl,@ mil,112-123,,,,,,,PG/SG,43.75,5100.0
2021-06-30,Jalen Smith,pho,@ lac,130-103,,,,,,,C,2,3000.0
2021-06-30,Frank Kaminsky,pho,@ lac,130-103,,,,,,,C,0,3000.0
2021-06-30,Cameron Johnson,pho,@ lac,130-103,,,,,,,SF/PF,0,4000.0
2021-06-30,Cameron Payne,pho,@ lac,130-103,,,,,,,PG,21.25,4200.0
2021-06-30,Patrick Beverley,lac,v pho,103-130,,,,,,,PG,20.75,4300.0
2021-06-30,Amir Coffey,lac,v pho,103-130,,,,,,,PG/SG,3.5,3000.0
2021-06-30,Abdel Nader,pho,@ lac,130-103,,,,,,,SF/PF,1.25,3000.0
2021-06-30,E'Twaun Moore,pho,@ lac,130-103,,,,,,,SG/SF,2.75,3000.0
2021-06-30,Terance Mann,lac,v pho,103-130,,,,,,,SG,8.25,4700.0
2021-06-30,Dario Saric,pho,@ lac,130-103,,,,,,,PF/C,9,3400.0
2021-06-30,Marcus Morris,lac,v pho,103-130,,,,,,,SF/PF,42.75,4100.0
2021-06-30,Langston Galloway,pho,@ lac,130-103,,,,,,,PG/SG,0,3000.0
2021-06-30,Nicolas Batum,lac,v pho,103-130,,,,,,,SF/PF,17.5,3900.0
2021-06-30,Luke Kennard,lac,v pho,103-130,,,,,,,SG/SF,3,3300.0
2021-06-30,Devin Booker,pho,@ lac,130-103,,,,,,,SG,39.75,8900.0
2021-06-30,Jevon Carter,pho,@ lac,130-103,,,,,,,PG/SG,2,3000.0
2021-06-30,Jay Scrubb,lac,v pho,103-130,,,,,,,SG,0,3000.0
2021-06-30,Yogi Ferrell,lac,v pho,103-130,,,,,,,PG,1.5,3000.0
2021-06-30,Mikal Bridges,pho,@ lac,130-103,,,,,,,SF,16.25,5300.0
2021-06-30,Paul George,lac,v pho,103-130,,,,,,,SG,33.75,10200.0
2021-06-30,Torrey Craig,pho,@ lac,130-103,,,,,,,SG/SF,18.5,3000.0
2021-06-30,Chris Paul,pho,@ lac,130-103,,,,,,,PG,67.5,8200.0
2021-06-30,Kawhi Leonard,lac,v pho,103-130,,,,,,,SF,0,9300.0
2021-06-30,Jae Crowder,pho,@ lac,130-103,,,,,,,SF/PF,29.25,4800.0
2021-06-30,Deandre Ayton,pho,@ lac,130-103,,,,,,,C,43.25,7800.0
2021-06-30,Ivica Zubac,lac,v pho,103-130,,,,,,,C,0,5100.0
2021-06-30,Daniel Oturu,lac,v pho,103-130,,,,,,,C,2.25,3000.0
2021-06-30,Rajon Rondo,lac,v pho,103-130,,,,,,,PG,0,3100.0
2021-06-30,DeMarcus Cousins,lac,v pho,103-130,,,,,,,C,19.75,4500.0
2021-06-30,Serge Ibaka,lac,v pho,103-130,,,,,,,PF/C,0,3000.0
2021-06-30,Ty-Shon Alexander,pho,@ lac,130-103,,,,,,,PG,0,3000.0
2021-06-30,Reggie Jackson,lac,v pho,103-130,,,,,,,PG/SG,35,7200.0
2021-06-30,Patrick Patterson,lac,v pho,103-130,,,,,,,PF/C,0,3000.0
2021-06-29,Bobby Portis,mil,@ atl,88-110,,,,,,,PF/C,15.25,3700.0
2021-06-29,Kevin Huerter,atl,v mil,110-88,,,,,,,SG/SF,35.5,5600.0
2021-06-29,Pat Connaughton,mil,@ atl,88-110,,,,,,,SG/SF,9,3900.0
2021-06-29,Thanasis Antetokounmpo,mil,@ atl,88-110,,,,,,,PF,6.25,3000.0
2021-06-29,P.J. Tucker,mil,@ atl,88-110,,,,,,,SF/PF,11.5,4400.0
2021-06-29,Trae Young,atl,v mil,110-88,,,,,,,PG,0,9900.0
2021-06-29,Bogdan Bogdanovic,atl,v mil,110-88,,,,,,,PG/SG,41.25,5200.0
2021-06-29,Donte DiVincenzo,mil,@ atl,88-110,,,,,,,PG,0,3000.0
2021-06-29,John Collins,atl,v mil,110-88,,,,,,,PF/C,18.25,7100.0
2021-06-29,Jordan Nwora,mil,@ atl,88-110,,,,,,,SF/PF,4,3000.0
2021-06-29,Tony Snell,atl,v mil,110-88,,,,,,,SG/SF,-0.5,3000.0
2021-06-29,Khris Middleton,mil,@ atl,88-110,,,,,,,SG/SF,35.5,8700.0
2021-06-29,Elijah Bryant,mil,@ atl,88-110,,,,,,,SG,2,3000.0
2021-06-29,Mamadi Diakite,mil,@ atl,88-110,,,,,,,PF/C,2,3000.0
2021-06-29,Brook Lopez,mil,@ atl,88-110,,,,,,,C,16.75,5700.0
2021-06-29,Jrue Holiday,mil,@ atl,88-110,,,,,,,PG/SG,37.75,8500.0
2021-06-29,Solomon Hill,atl,v mil,110-88,,,,,,,SF/PF,0,3000.0
2021-06-29,Brandon Goodwin,atl,v mil,110-88,,,,,,,SG,0,3000.0
2021-06-29,Giannis Antetokounmpo,mil,@ atl,88-110,,,,,,,PF/C,29.5,11200.0
2021-06-29,De'Andre Hunter,atl,v mil,110-88,,,,,,,PF,0,3000.0
2021-06-29,Danilo Gallinari,atl,v mil,110-88,,,,,,,PF,12.5,4900.0
2021-06-29,Bruno Fernando,atl,v mil,110-88,,,,,,,C,0,3000.0
2021-06-29,Nathan Knight,atl,v mil,110-88,,,,,,,PF/C,5.75,3000.0
2021-06-29,Jeff Teague,mil,@ atl,88-110,,,,,,,PG,0,3000.0
2021-06-29,Sam Merrill,mil,@ atl,88-110,,,,,,,PG/SG,5.75,3000.0
2021-06-29,Louis Williams,atl,v mil,110-88,,,,,,,PG/SG,41.75,3600.0
2021-06-29,Kris Dunn,atl,v mil,110-88,,,,,,,PG/SF,7.25,3000.0
2021-06-29,Axel Toupane,mil,@ atl,88-110,,,,,,,SF,0,3000.0
2021-06-29,Cam Reddish,atl,v mil,110-88,,,,,,,SG/SF,27.25,4500.0
2021-06-29,Bryn Forbes,mil,@ atl,88-110,,,,,,,PG/SG,8.25,3400.0
2021-06-29,Clint Capela,atl,v mil,110-88,,,,,,,C,26.75,6600.0
2021-06-29,Onyeka Okongwu,atl,v mil,110-88,,,,,,,C,12.75,3000.0
2021-06-29,Skylar Mays,atl,v mil,110-88,,,,,,,PG,5.25,3000.0
2021-06-29,Justin Jackson,mil,@ atl,88-110,,,,,,,PF,0,3000.0
2021-06-28,Nicolas Batum,lac,@ pho,116-102,,,,,,,SF/PF,15,4500.0
2021-06-28,Yogi Ferrell,lac,@ pho,116-102,,,,,,,PG,2,3000.0
2021-06-28,Ivica Zubac,lac,@ pho,116-102,,,,,,,C,0,4900.0
2021-06-28,Jay Scrubb,lac,@ pho,116-102,,,,,,,SG,0,3000.0
2021-06-28,Daniel Oturu,lac,@ pho,116-102,,,,,,,C,0,3000.0
2021-06-28,Terance Mann,lac,@ pho,116-102,,,,,,,SG,11.5,4600.0
2021-06-28,Luke Kennard,lac,@ pho,116-102,,,,,,,SG/SF,4.25,3500.0
2021-06-28,Deandre Ayton,pho,v lac,102-116,,,,,,,C,29.75,6900.0
2021-06-28,Kawhi Leonard,lac,@ pho,116-102,,,,,,,SF,0,9300.0
2021-06-28,Serge Ibaka,lac,@ pho,116-102,,,,,,,PF/C,0,3000.0
2021-06-28,Torrey Craig,pho,v lac,102-116,,,,,,,SG/SF,8.25,3000.0
2021-06-28,Jae Crowder,pho,v lac,102-116,,,,,,,SF/PF,17.5,5100.0
2021-06-28,Dario Saric,pho,v lac,102-116,,,,,,,PF/C,8.5,3100.0
2021-06-28,Frank Kaminsky,pho,v lac,102-116,,,,,,,C,0,3000.0
2021-06-28,Rajon Rondo,lac,@ pho,116-102,,,,,,,PG,0,3400.0
2021-06-28,Paul George,lac,@ pho,116-102,,,,,,,SG,72.25,10000.0
2021-06-28,Cameron Johnson,pho,v lac,102-116,,,,,,,SF/PF,25,4200.0
2021-06-28,Patrick Beverley,lac,@ pho,116-102,,,,,,,PG,19.25,4100.0
2021-06-28,Cameron Payne,pho,v lac,102-116,,,,,,,PG,11.75,4800.0
2021-06-28,Langston Galloway,pho,v lac,102-116,,,,,,,PG/SG,0,3000.0
2021-06-28,Jevon Carter,pho,v lac,102-116,,,,,,,PG/SG,0,3000.0
2021-06-28,E'Twaun Moore,pho,v lac,102-116,,,,,,,SG/SF,0,3000.0
2021-06-28,Mikal Bridges,pho,v lac,102-116,,,,,,,SF,10.25,5200.0
2021-06-28,Marcus Morris,lac,@ pho,116-102,,,,,,,SF/PF,31.25,4300.0
2021-06-28,Jalen Smith,pho,v lac,102-116,,,,,,,C,0,3000.0
2021-06-28,Amir Coffey,lac,@ pho,116-102,,,,,,,PG/SG,1.25,3000.0
2021-06-28,DeMarcus Cousins,lac,@ pho,116-102,,,,,,,C,24,3000.0
2021-06-28,Chris Paul,pho,v lac,102-116,,,,,,,PG,36.75,8700.0
2021-06-28,Reggie Jackson,lac,@ pho,116-102,,,,,,,PG/SG,37.25,6600.0
2021-06-28,Patrick Patterson,lac,@ pho,116-102,,,,,,,PF/C,0,3000.0
2021-06-28,Abdel Nader,pho,v lac,102-116,,,,,,,SF/PF,6.5,3000.0
2021-06-28,Ty-Shon Alexander,pho,v lac,102-116,,,,,,,PG,0,3000.0
2021-06-28,Devin Booker,pho,v lac,102-116,,,,,,,SG,45,9200.0
2021-06-27,Danilo Gallinari,atl,v mil,102-113,,,,,,,PF,26.5,4600.0
2021-06-27,Justin Jackson,mil,@ atl,113-102,,,,,,,PF,0,3000.0
2021-06-27,Brandon Goodwin,atl,v mil,102-113,,,,,,,SG,0,3000.0
2021-06-27,Thanasis Antetokounmpo,mil,@ atl,113-102,,,,,,,PF,0,3000.0
2021-06-27,Skylar Mays,atl,v mil,102-113,,,,,,,PG,0,3000.0
2021-06-27,Donte DiVincenzo,mil,@ atl,113-102,,,,,,,PG,0,3000.0
2021-06-27,Solomon Hill,atl,v mil,102-113,,,,,,,SF/PF,2.5,3000.0
