player_name,game_id,game_date,pts,pts_pred,fanduel_salary,draftkings_salary,yahoo_salary,fanduel_position,draftkings_position,yahoo_position
Kyle Lowry,22200599,2023-01-08,4,4.9045477,5400.0,5400.0,22.0,PG,PG,PG
Tre Mann,22200602,2023-01-08,6,6.4755588,3500.0,3500.0,14.0,PG/SG,PG/SG,PG
Landry Shamet,22200603,2023-01-08,11,10.35102,4600.0,4600.0,13.0,SG/SF,SG/SF,SG
Mark Williams,22200598,2023-01-08,7,4.5610356,3800.0,3800.0,12.0,C,C,C
T.J. McConnell,22200598,2023-01-08,0,0.81681854,3200.0,3200.0,10.0,PG,PG,PG
Keon Johnson,22200597,2023-01-08,0,1.9608268,3000.0,3000.0,10.0,SG/SF,SG/SF,SG
Dennis Smith Jr.,22200598,2023-01-08,7,6.8341475,4100.0,4100.0,17.0,PG,PG,PG
Kevin Knox II,22200596,2023-01-08,3,2.2473328,3000.0,3000.0,10.0,SF/PF,SF/PF,SF
Frank Kaminsky,22200604,2023-01-08,4,2.9371321,3000.0,3000.0,10.0,C,C,C
Eugene Omoruyi,22200602,2023-01-08,6,4.4356313,3000.0,3000.0,10.0,PF/C,PF/C,SF
Aaron Holiday,22200604,2023-01-08,0,1.9345858,3000.0,3000.0,10.0,PG/SG,PG/SG,PG
Precious Achiuwa,22200597,2023-01-08,4,3.02099,3300.0,3300.0,10.0,C,C,C
Haywood Highsmith,22200599,2023-01-08,10,5.370979,3300.0,3300.0,10.0,SF/PF,SF/PF,PF
Chris Duarte,22200598,2023-01-08,0,2.1327295,3000.0,3000.0,10.0,SG/SF,SG/SF,SF
Tim Hardaway Jr.,22200602,2023-01-08,19,20.537079,5800.0,5800.0,18.0,SG/SF,SG/SF,SF
Xavier Tillman,22200600,2023-01-08,9,8.224965,3200.0,3200.0,10.0,C,C,C
JT Thor,22200598,2023-01-08,5,1.4797004,3100.0,3100.0,10.0,PF,PF,PF
Mike Conley,22200600,2023-01-08,7,8.057566,5900.0,5900.0,19.0,PG,PG,PG
Tobias Harris,22200596,2023-01-08,12,3.6162117,6700.0,6700.0,25.0,SF/PF,SF/PF,SF
Thaddeus Young,22200597,2023-01-08,4,3.048103,3000.0,3000.0,10.0,PF/C,PF/C,C
Royce O'Neale,22200599,2023-01-08,8,3.2161834,4300.0,4300.0,16.0,SG,SG,SG
Danuel House Jr.,22200596,2023-01-08,3,2.657868,3000.0,3000.0,10.0,SF/PF,SF/PF,SF
Bennedict Mathurin,22200598,2023-01-08,4,6.567417,4600.0,4600.0,15.0,SG/SF,SG/SF,SG
Nicolas Batum,22200604,2023-01-08,6,4.867294,4700.0,4700.0,10.0,PF/C,PF/C,PF
Tari Eason,22200601,2023-01-08,3,2.615133,4100.0,4100.0,11.0,PF,PF,PF
John Konchar,22200600,2023-01-08,5,3.666858,4300.0,4300.0,11.0,SG/SF,SG/SF,SG
Frank Ntilikina,22200602,2023-01-08,6,3.048103,3000.0,3000.0,10.0,PG/SG,PG/SG,SG
Christian Koloko,22200597,2023-01-08,8,4.2830815,3000.0,3000.0,10.0,C,C,C
Eric Gordon,22200601,2023-01-08,11,12.148851,3800.0,3800.0,10.0,SF,SF,SF
Gabe Vincent,22200599,2023-01-08,3,2.4651084,3300.0,3300.0,10.0,PG/SG,PG/SG,PG
Kevin Durant,22200599,2023-01-08,17,26.14659,10200.0,10200.0,46.0,SF/PF,SF/PF,SF
Kennedy Chandler,22200600,2023-01-08,2,2.988308,3000.0,3000.0,10.0,PG,PG,PG
Cedi Osman,22200603,2023-01-08,3,2.9011798,4000.0,4000.0,10.0,PF,PF,PF
Buddy Hield,22200598,2023-01-08,21,19.443626,6200.0,6200.0,25.0,SG/SF,SG/SF,SF
Rudy Gay,22200600,2023-01-08,6,4.880784,3200.0,3200.0,10.0,PF,PF,PF
JaVale McGee,22200602,2023-01-08,0,0.85443455,3000.0,3000.0,10.0,C,C,C
Mike Muscala,22200602,2023-01-08,4,2.0092747,3500.0,3500.0,10.0,C,C,C
Usman Garuba,22200601,2023-01-08,3,2.2653344,3000.0,3000.0,10.0,C,C,C
Malachi Flynn,22200597,2023-01-08,2,1.8371513,3000.0,3000.0,10.0,PG/SG,PG/SG,PG
Naz Reid,22200601,2023-01-08,6,6.005073,5200.0,5200.0,18.0,PF/C,PF/C,C
Furkan Korkmaz,22200596,2023-01-08,2,1.7946298,3000.0,3000.0,10.0,SG/SF,SG/SF,SG
Joe Harris,22200599,2023-01-08,4,3.6173544,3100.0,3100.0,10.0,SG/SF,SG/SF,SF
Nerlens Noel,22200596,2023-01-08,6,3.644731,3000.0,3000.0,10.0,C,C,C
Isaac Okoro,22200603,2023-01-08,14,9.906315,3100.0,3100.0,10.0,SG/SF,SG/SF,SF
Alec Burks,22200596,2023-01-08,12,11.120456,5100.0,5100.0,16.0,PG/SG,PG/SG,SG
David Roddy,22200600,2023-01-08,7,6.982014,3100.0,3100.0,10.0,SG,SG,SG
Matisse Thybulle,22200596,2023-01-08,5,4.5211434,3000.0,3000.0,10.0,SG/SF,SG/SF,SF
Orlando Robinson,22200599,2023-01-08,6,4.4577436,3000.0,3000.0,10.0,C,C,C
McKinley Wright IV,22200602,2023-01-08,0,0.07866289,3000.0,3000.0,10.0,PG,PG,PG
Anfernee Simons,22200597,2023-01-08,22,21.937628,6600.0,6600.0,24.0,PG/SG,PG/SG,SG
Ish Wainright,22200603,2023-01-08,0,1.811372,3000.0,3000.0,10.0,PF,PF,PF
Aaron Wiggins,22200602,2023-01-08,6,4.9916244,3000.0,3000.0,10.0,SG/SF,SG/SF,SF
Bam Adebayo,22200599,2023-01-08,10,11.998079,9200.0,9200.0,36.0,C,C,C
Jock Landale,22200603,2023-01-08,14,8.517389,3000.0,3000.0,10.0,C,C,C
Jalen Green,22200601,2023-01-08,9,14.518721,7200.0,7200.0,25.0,SG,SG,SG
Hamidou Diallo,22200596,2023-01-08,12,10.372951,3500.0,3500.0,11.0,SG/SF,SG/SF,SF
Jalen Smith,22200598,2023-01-08,7,3.210755,3600.0,3600.0,12.0,PF/C,PF/C,PF
Jabari Walker,22200597,2023-01-08,0,0.85419804,3300.0,3300.0,10.0,PF,PF,PF
Trendon Watford,22200597,2023-01-08,0,0.42506284,3000.0,3000.0,10.0,PF/C,PF/C,PF
Chris Boucher,22200597,2023-01-08,3,1.8781581,3200.0,3200.0,10.0,PF,PF,PF
Taurean Prince,22200601,2023-01-08,14,10.429215,3200.0,3200.0,10.0,SF/PF,SF/PF,SF
