player_name,game_id,game_date,y,y_pred,fanduel_salary,draftkings_salary,yahoo_salary,fanduel_position,draftkings_position,yahoo_position
Allen Crabbe,21600843,2017-02-15,5,5.0193033,3800.0,3800.0,10.0,SG/SF,SG/SF,SG
Tony Snell,21600838,2017-02-15,10,9.6832285,3300.0,3300.0,10.0,SF,SF,SF
DeMarre Carroll,21600837,2017-02-15,13,10.613532,4400.0,4400.0,12.0,SF,SF,SF
JaMychal Green,21600840,2017-02-15,6,6.424705,4300.0,4300.0,12.0,PF,PF,PF
Solomon Hill,21600840,2017-02-15,23,20.369638,3700.0,3700.0,10.0,SF,SF,SF
Tyson Chandler,21600844,2017-02-15,8,7.571395,5400.0,5400.0,19.0,C,C,C
Langston Galloway,21600840,2017-02-15,4,2.6753583,3000.0,3000.0,10.0,SG,SG,SG
Jamal Crawford,21600846,2017-02-15,5,8.203158,4800.0,4800.0,14.0,SG,SG,SG
Kevon Looney,21600847,2017-02-15,5,4.6820555,3000.0,3000.0,10.0,PF,PF,PF
Toney Douglas,21600840,2017-02-15,8,7.0264654,3000.0,3000.0,10.0,PG,PG,PG
Jeff Teague,21600835,2017-02-15,15,14.919317,7400.0,7400.0,34.0,PG,PG,PG
Brandon Rush,21600842,2017-02-15,7,7.6175566,3000.0,3000.0,10.0,SG,SG,SG
Ron Baker,21600845,2017-02-15,6,5.784081,3000.0,3000.0,10.0,PG/SG,PG/SG,SG
Jusuf Nurkic,21600843,2017-02-15,13,12.773324,3900.0,3900.0,10.0,C,C,C
Andre Iguodala,21600847,2017-02-15,5,5.517644,4300.0,4300.0,10.0,SF,SF,SF
Victor Oladipo,21600845,2017-02-15,21,19.142467,6000.0,6000.0,24.0,SG,SG,SG
Kentavious Caldwell-Pope,21600839,2017-02-15,16,15.4437895,5000.0,5000.0,19.0,SG,SG,SG
Trevor Booker,21600838,2017-02-15,18,15.36537,4600.0,4600.0,18.0,PF,PF,PF
Chandler Parsons,21600840,2017-02-15,9,9.020979,3700.0,3700.0,10.0,SF/PF,SF/PF,SF
Kosta Koufos,21600847,2017-02-15,1,1.6832358,3500.0,3500.0,10.0,C,C,C
Justin Holiday,21600845,2017-02-15,4,4.432619,3300.0,3300.0,10.0,SG/SF,SG/SF,SF
Dejounte Murray,21600834,2017-02-15,2,2.2035003,3000.0,3000.0,10.0,PG,PG,PG
Jahlil Okafor,21600836,2017-02-15,4,8.108707,4500.0,4500.0,10.0,C,C,C
Mike Dunleavy,21600846,2017-02-15,3,3.1345797,3000.0,3000.0,10.0,SF,SF,SF
Mike Tobey,21600837,2017-02-15,2,2.8009028,3000.0,3000.0,10.0,C,C,C
Brandon Bass,21600846,2017-02-15,4,3.5457418,3000.0,3000.0,10.0,C,C,C
James Jones,21600835,2017-02-15,3,2.8273077,3000.0,3000.0,10.0,SG,SG,SG
Willie Cauley-Stein,21600847,2017-02-15,13,11.772604,3600.0,3600.0,10.0,C,C,C
Danny Green,21600834,2017-02-15,3,4.512455,3700.0,3700.0,10.0,SG,SG,SG
Tyler Zeller,21600836,2017-02-15,2,2.4916096,3000.0,3000.0,10.0,C,C,PF
