player_name,game_id,game_date,reb,reb_pred,fanduel_salary,draftkings_salary,yahoo_salary,fanduel_position,draftkings_position,yahoo_position
Sam Merrill,22300112,2023-10-31,1,1.6420226,3000.0,3000.0,10.0,SG,SG,SG
Damian Jones,22300112,2023-10-31,1,1.0280206,3000.0,3000.0,10.0,C,C,C
Russell Westbrook,22300114,2023-10-31,6,5.926489,7100.0,7100.0,26.0,PG,PG,PG
Tristan Thompson,22300112,2023-10-31,2,4.1785884,3200.0,3200.0,10.0,C,C,C
Drew Eubanks,22300113,2023-10-31,9,5.061531,3700.0,3700.0,11.0,C,C,C
Cole Anthony,22300114,2023-10-31,2,3.412075,5400.0,5400.0,18.0,PG/SG,PG/SG,PG
Isaiah Mobley,22300112,2023-10-31,1,2.7652996,3000.0,3000.0,10.0,PF/C,PF/C,PF
Julius Randle,22300112,2023-10-31,10,7.997667,8000.0,8000.0,34.0,PF/C,PF/C,PF
Kawhi Leonard,22300114,2023-10-31,8,8.350834,8500.0,8500.0,41.0,SF/PF,SF/PF,SF
Keldon Johnson,22300113,2023-10-31,3,4.580455,6400.0,6400.0,25.0,SF,SF,SF
Charles Bassey,22300113,2023-10-31,3,3.9457147,3300.0,3300.0,10.0,C,C,C
Goga Bitadze,22300114,2023-10-31,1,2.401633,3000.0,3000.0,10.0,C,C,C
Mason Plumlee,22300114,2023-10-31,7,4.9255114,4900.0,4900.0,10.0,C,C,C
Amir Coffey,22300114,2023-10-31,0,0.45323145,3000.0,3000.0,10.0,SG/SF,SG/SF,SG
Ryan Arcidiacono,22300112,2023-10-31,1,2.7960722,3000.0,3000.0,10.0,PG,PG,PG
Donovan Mitchell,22300112,2023-10-31,3,4.827689,9700.0,9700.0,42.0,PG/SG,PG/SG,SG
DaQuan Jeffries,22300112,2023-10-31,0,1.2186412,3000.0,3000.0,10.0,SF,SF,SG
Anthony Black,22300114,2023-10-31,0,0.30202824,3300.0,3300.0,10.0,PG/SG,PG/SG,PG
Paul George,22300114,2023-10-31,7,4.3769264,8600.0,8600.0,37.0,SG/SF,SG/SF,SG
Devin Vassell,22300113,2023-10-31,6,4.7807994,6500.0,6500.0,24.0,SG,SG,SG
Franz Wagner,22300114,2023-10-31,8,5.730599,6800.0,6800.0,23.0,SF,SF,SF
Kevin Durant,22300113,2023-10-31,2,4.317625,10500.0,10500.0,45.0,PF,PF,PF
Victor Wembanyama,22300113,2023-10-31,8,9.976786,7900.0,7900.0,32.0,PF/C,PF/C,PF
Quentin Grimes,22300112,2023-10-31,1,1.4342405,3900.0,3900.0,10.0,SG/SF,SG/SF,SG
Jalen Suggs,22300114,2023-10-31,6,4.5119348,4800.0,4800.0,14.0,PG/SG,PG/SG,SG
Chuma Okeke,22300114,2023-10-31,1,1.7977307,3000.0,3000.0,10.0,PF/C,PF/C,SF
Eric Gordon,22300113,2023-10-31,2,1.9623092,5200.0,5200.0,11.0,SG/SF,SG/SF,SG
Moritz Wagner,22300114,2023-10-31,1,2.1501305,4000.0,4000.0,11.0,PF/C,PF/C,C
Moussa Diabate,22300114,2023-10-31,1,1.9156516,3000.0,3000.0,10.0,C,C,C
Markelle Fultz,22300114,2023-10-31,5,3.7188997,5600.0,5600.0,24.0,PG,PG,PG
Caleb Houstan,22300114,2023-10-31,0,1.233135,3000.0,3000.0,10.0,SF/PF,SF/PF,SF
Norman Powell,22300114,2023-10-31,3,3.977783,4400.0,4400.0,18.0,PG/SG,PG/SG,SG
Georges Niang,22300112,2023-10-31,3,2.5952008,3500.0,3500.0,10.0,SF/PF,SF/PF,PF
Bones Hyland,22300114,2023-10-31,0,0.44280595,4300.0,4300.0,10.0,PG/SG,PG/SG,PG
Jett Howard,22300114,2023-10-31,1,2.4885802,3000.0,3000.0,10.0,SF,SF,SF
RJ Barrett,22300112,2023-10-31,3,2.9168227,6200.0,6200.0,21.0,SF/PF,SF/PF,SF
Gary Harris,22300114,2023-10-31,2,2.4306993,3500.0,3500.0,10.0,SG,SG,SG
Wendell Carter Jr.,22300114,2023-10-31,8,6.982577,5700.0,5700.0,24.0,C,C,C
Jalen Brunson,22300112,2023-10-31,5,3.7623007,7700.0,7700.0,33.0,PG,PG,PG
Dylan Windler,22300112,2023-10-31,1,2.8043463,3000.0,3000.0,10.0,SF,SF,SG
Jeremy Sochan,22300113,2023-10-31,7,6.531373,5500.0,5500.0,20.0,PG/SF,PG/SF,PF
Jusuf Nurkic,22300113,2023-10-31,12,10.049458,6700.0,6700.0,21.0,C,C,C
Josh Hart,22300112,2023-10-31,7,6.320835,4100.0,4100.0,11.0,SF/PF,SF/PF,SF
Ivica Zubac,22300114,2023-10-31,9,7.106179,5900.0,5900.0,18.0,C,C,C
Grayson Allen,22300113,2023-10-31,7,5.2025223,4600.0,4600.0,10.0,SG/SF,SG/SF,SG
