player_name,game_id,game_date,y,y_pred,fanduel_salary,draftkings_salary,yahoo_salary,fanduel_position,draftkings_position,yahoo_position
Allen Crabbe,21600843,2017-02-15,1,1.0404962,3800.0,3800.0,10.0,SG/SF,SG/SF,SG
Tony Snell,21600838,2017-02-15,6,5.695703,3300.0,3300.0,10.0,SF,SF,SF
DeMarre Carroll,21600837,2017-02-15,11,10.746403,4400.0,4400.0,12.0,SF,SF,SF
JaMychal Green,21600840,2017-02-15,6,6.0529017,4300.0,4300.0,12.0,PF,PF,PF
Solomon Hill,21600840,2017-02-15,5,5.184661,3700.0,3700.0,10.0,SF,SF,SF
Tyson Chandler,21600844,2017-02-15,8,7.600552,5400.0,5400.0,19.0,C,C,C
Langston Galloway,21600840,2017-02-15,0,0.32629195,3000.0,3000.0,10.0,SG,SG,SG
Jamal Crawford,21600846,2017-02-15,2,2.087436,4800.0,4800.0,14.0,SG,SG,SG
Kevon Looney,21600847,2017-02-15,2,2.000127,3000.0,3000.0,10.0,PF,PF,PF
Toney Douglas,21600840,2017-02-15,8,7.4017315,3000.0,3000.0,10.0,PG,PG,PG
Jeff Teague,21600835,2017-02-15,4,3.6475494,7400.0,7400.0,34.0,PG,PG,PG
Brandon Rush,21600842,2017-02-15,2,2.030416,3000.0,3000.0,10.0,SG,SG,SG
Ron Baker,21600845,2017-02-15,1,1.1944714,3000.0,3000.0,10.0,PG/SG,PG/SG,SG
Jusuf Nurkic,21600843,2017-02-15,8,7.8179383,3900.0,3900.0,10.0,C,C,C
Andre Iguodala,21600847,2017-02-15,6,5.661991,4300.0,4300.0,10.0,SF,SF,SF
Victor Oladipo,21600845,2017-02-15,4,3.3508093,6000.0,6000.0,24.0,SG,SG,SG
Kentavious Caldwell-Pope,21600839,2017-02-15,5,5.439122,5000.0,5000.0,19.0,SG,SG,SG
Trevor Booker,21600838,2017-02-15,5,4.9668703,4600.0,4600.0,18.0,PF,PF,PF
Chandler Parsons,21600840,2017-02-15,1,0.99628854,3700.0,3700.0,10.0,SF/PF,SF/PF,SF
Kosta Koufos,21600847,2017-02-15,2,2.4247494,3500.0,3500.0,10.0,C,C,C
Justin Holiday,21600845,2017-02-15,1,1.3515984,3300.0,3300.0,10.0,SG/SF,SG/SF,SF
