player_name,game_date,ast,ast_pred
Aaron Gordon,2017-11-03,2.0,2.3176997
Aaron Gordon,2017-11-05,2.0,2.576411
Aaron Gordon,2017-11-08,1.0,2.737044
Aaron Gordon,2017-11-10,3.0,3.1669772
Aaron Gordon,2017-11-11,5.0,2.8287504
Andre Drummond,2017-10-28,1.0,3.964182
Andre Drummond,2017-10-29,5.0,3.8990483
Andre Drummond,2017-10-31,5.0,4.6209626
Andre Drummond,2017-11-03,0.0,3.188616
Andre Drummond,2017-11-04,4.0,3.8903773
Andre Drummond,2017-11-08,4.0,3.8251753
Andre Drummond,2017-11-10,7.0,4.2703977
Andre Drummond,2017-11-12,4.0,4.202448
Andre Drummond,2017-11-15,4.0,3.518561
Anthony Davis,2017-11-01,6.0,3.9063756
Anthony Davis,2017-11-03,4.0,2.7687023
Anthony Davis,2017-11-04,0.0,2.9894345
Anthony Davis,2017-11-07,4.0,3.4741719
Anthony Davis,2017-11-09,2.0,3.675573
Anthony Davis,2017-11-11,5.0,3.7875917
Anthony Davis,2017-11-13,7.0,4.2227197
Anthony Davis,2017-11-15,1.0,3.1075444
Ben Simmons,2017-11-03,11.0,8.192308
Ben Simmons,2017-11-07,6.0,7.715618
Ben Simmons,2017-11-09,6.0,7.2904983
Ben Simmons,2017-11-11,8.0,6.9193935
Ben Simmons,2017-11-13,4.0,6.7859907
Ben Simmons,2017-11-15,10.0,8.166791
Blake Griffin,2017-10-30,4.0,5.0358543
Blake Griffin,2017-11-01,7.0,5.174116
Blake Griffin,2017-11-05,4.0,4.6712627
Blake Griffin,2017-11-07,6.0,5.539933
Blake Griffin,2017-11-10,5.0,5.991234
Blake Griffin,2017-11-11,6.0,5.7249517
Blake Griffin,2017-11-13,5.0,5.3786755
Bradley Beal,2017-11-03,4.0,3.723382
Bradley Beal,2017-11-05,4.0,3.8508415
Bradley Beal,2017-11-07,2.0,3.5762644
Bradley Beal,2017-11-09,5.0,4.041403
Bradley Beal,2017-11-11,4.0,3.9156024
Bradley Beal,2017-11-13,7.0,4.0983286
Bradley Beal,2017-11-15,1.0,2.9073334
CJ McCollum,2017-11-02,5.0,4.0095396
CJ McCollum,2017-11-05,1.0,3.4511364
Carmelo Anthony,2017-10-28,2.0,1.6786438
Clint Capela,2017-11-14,1.0,1.0597813
D'Angelo Russell,2017-11-06,8.0,6.639084
Damian Lillard,2017-10-28,9.0,8.074327
Damian Lillard,2017-10-30,2.0,6.715448
Damian Lillard,2017-11-01,8.0,9.010484
Damian Lillard,2017-11-02,5.0,6.3616586
Damian Lillard,2017-11-05,12.999999,8.207625
Damian Lillard,2017-11-07,6.0,7.2968097
Damian Lillard,2017-11-10,6.0,7.7558703
Damian Lillard,2017-11-13,7.0,6.9256005
Damian Lillard,2017-11-15,7.0,7.8544908
DeAndre Jordan,2017-10-30,0.0,1.2117937
DeAndre Jordan,2017-11-01,0.0,1.3904748
DeAndre Jordan,2017-11-05,3.0,1.7714492
DeAndre Jordan,2017-11-07,1.0,1.8762231
DeAndre Jordan,2017-11-10,1.0,1.9297299
DeAndre Jordan,2017-11-11,0.0,1.2717022
DeMar DeRozan,2017-11-01,2.0,4.4089727
DeMar DeRozan,2017-11-03,2.0,3.6436806
DeMar DeRozan,2017-11-05,3.0,4.771416
DeMar DeRozan,2017-11-07,4.0,5.448433
DeMar DeRozan,2017-11-09,8.0,4.8252735
DeMar DeRozan,2017-11-12,4.0,5.1458297
DeMar DeRozan,2017-11-14,5.0,4.839526
DeMar DeRozan,2017-11-15,6.0,4.747476
DeMarcus Cousins,2017-10-30,7.0,6.545056
DeMarcus Cousins,2017-11-01,6.0,5.6089635
DeMarcus Cousins,2017-11-03,7.0,5.342307
DeMarcus Cousins,2017-11-04,4.0,5.71542
DeMarcus Cousins,2017-11-07,6.0,5.943203
DeMarcus Cousins,2017-11-09,5.0,5.5121922
DeMarcus Cousins,2017-11-11,5.0,6.0635195
DeMarcus Cousins,2017-11-13,7.0,6.162881
DeMarcus Cousins,2017-11-15,5.0,5.7920675
Dennis Schroder,2017-11-01,6.0,6.867034
Dennis Schroder,2017-11-03,4.0,6.925173
Dennis Schroder,2017-11-05,9.0,7.6400046
Dennis Schroder,2017-11-06,6.0,7.5044994
Dennis Schroder,2017-11-10,11.0,8.841453
Dennis Schroder,2017-11-11,5.0,7.610894
Draymond Green,2017-10-30,6.0,6.820715
Draymond Green,2017-11-02,6.0,6.787748
Draymond Green,2017-11-04,8.0,9.180207
Draymond Green,2017-11-06,2.0,7.336508
Draymond Green,2017-11-08,6.0,9.219938
Draymond Green,2017-11-11,7.0,8.17665
Draymond Green,2017-11-13,5.0,7.5238643
Draymond Green,2017-11-16,5.0,8.124458
Dwight Howard,2017-11-05,1.0,1.2725384
Dwight Howard,2017-11-10,3.0,1.7600137
Dwight Howard,2017-11-15,2.0,1.6800045
Giannis Antetokounmpo,2017-10-29,6.0,5.05344
Giannis Antetokounmpo,2017-10-31,3.0,5.0825505
Giannis Antetokounmpo,2017-11-01,5.0,4.8952627
Giannis Antetokounmpo,2017-11-03,3.0,4.6296167
Giannis Antetokounmpo,2017-11-07,3.0,4.7131047
Giannis Antetokounmpo,2017-11-10,5.0,5.3218994
Giannis Antetokounmpo,2017-11-11,3.0,3.835751
Giannis Antetokounmpo,2017-11-13,7.0,4.829351
Giannis Antetokounmpo,2017-11-15,1.0,3.3575692
Hassan Whiteside,2017-11-08,1.0,0.6687129
Hassan Whiteside,2017-11-10,0.0,0.34028542
Hassan Whiteside,2017-11-12,0.0,0.24968646
Hassan Whiteside,2017-11-15,0.0,0.45117506
James Harden,2017-10-28,8.0,10.165112
James Harden,2017-10-30,7.0,10.590633
James Harden,2017-11-01,9.0,12.020074
James Harden,2017-11-03,11.0,12.293227
James Harden,2017-11-05,13.0,12.02295
James Harden,2017-11-09,13.0,12.686237
James Harden,2017-11-11,8.0,11.06187
James Harden,2017-11-12,15.0,10.989398
James Harden,2017-11-14,11.0,11.098744
James Harden,2017-11-16,7.0,11.985225
Jimmy Butler,2017-11-01,2.0,3.9218273
Jimmy Butler,2017-11-04,7.0,4.439002
Jimmy Butler,2017-11-05,1.0,2.7979813
Jimmy Butler,2017-11-08,5.0,3.7269373
Jimmy Butler,2017-11-15,5.0,4.42393
Joel Embiid,2017-10-30,5.0,4.2409024
Joel Embiid,2017-11-01,6.0,4.709354
Joel Embiid,2017-11-03,5.0,4.366069
Joel Embiid,2017-11-09,2.0,3.949865
Joel Embiid,2017-11-11,2.0,2.9270024
Joel Embiid,2017-11-13,2.0,4.273761
Joel Embiid,2017-11-15,7.0,3.472042
John Wall,2017-10-29,9.0,9.665784
John Wall,2017-11-01,6.0,10.594068
John Wall,2017-11-03,15.0,11.557031
John Wall,2017-11-07,14.0,10.682756
John Wall,2017-11-09,5.0,8.082951
John Wall,2017-11-11,5.0,7.918155
John Wall,2017-11-13,9.0,8.599042
John Wall,2017-11-15,6.0,7.209552
Jusuf Nurkic,2017-11-05,3.0,2.2170773
Jusuf Nurkic,2017-11-07,0.0,1.9458344
Jusuf Nurkic,2017-11-10,1.0,2.4873843
Jusuf Nurkic,2017-11-13,1.0,2.8603358
Jusuf Nurkic,2017-11-15,5.0,3.2987978
Karl-Anthony Towns,2017-10-27,0.0,0.94207716
Karl-Anthony Towns,2017-10-30,1.0,1.1008844
Karl-Anthony Towns,2017-11-01,0.0,1.0459502
Karl-Anthony Towns,2017-11-04,2.0,1.2366152
Karl-Anthony Towns,2017-11-05,2.0,1.0793937
Karl-Anthony Towns,2017-11-08,1.0,1.2581662
Karl-Anthony Towns,2017-11-11,2.0,1.2889209
Karl-Anthony Towns,2017-11-13,1.0,1.1527468
Karl-Anthony Towns,2017-11-15,2.0,1.2108142
Kemba Walker,2017-10-29,10.0,7.36507
Kemba Walker,2017-10-30,6.0,6.62922
Kemba Walker,2017-11-01,3.0,6.028261
Kemba Walker,2017-11-03,4.0,5.9302297
Kemba Walker,2017-11-05,9.0,7.898898
Kemba Walker,2017-11-10,11.0,8.851959
Kemba Walker,2017-11-15,7.0,7.2378726
Kevin Durant,2017-10-30,4.0,5.2826476
Kevin Durant,2017-11-02,5.0,5.3615217
Kevin Durant,2017-11-04,7.0,6.6337466
Kevin Durant,2017-11-06,6.0,6.335356
Kevin Durant,2017-11-11,4.0,6.0908365
Kevin Durant,2017-11-13,8.0,6.631839
Kevin Durant,2017-11-16,3.0,5.7787247
Kevin Love,2017-11-01,3.0,1.8235233
Kevin Love,2017-11-03,0.0,1.3633178
Kevin Love,2017-11-05,1.0,1.1471847
Kevin Love,2017-11-13,2.0,1.3953171
Khris Middleton,2017-11-11,4.0,7.112558
Kristaps Porzingis,2017-10-30,2.0,1.8514757
Kristaps Porzingis,2017-11-01,3.0,1.8723164
Kristaps Porzingis,2017-11-03,0.0,1.2854631
Kristaps Porzingis,2017-11-05,1.0,1.3257444
Kristaps Porzingis,2017-11-07,1.0,1.4634638
Kristaps Porzingis,2017-11-11,2.0,1.4095625
Kristaps Porzingis,2017-11-13,1.0,1.317677
Kristaps Porzingis,2017-11-15,2.0,2.1497355
Kyle Lowry,2017-11-07,6.0,7.3311243
Kyle Lowry,2017-11-09,7.0,7.552503
Kyle Lowry,2017-11-12,7.0,6.9384003
Kyle Lowry,2017-11-14,10.0,8.212481
Kyrie Irving,2017-10-30,6.0,5.0782785
Kyrie Irving,2017-11-01,5.0,5.417596
Kyrie Irving,2017-11-03,6.0,6.688909
Kyrie Irving,2017-11-05,5.0,5.574774
Kyrie Irving,2017-11-06,7.0,5.9190187
Kyrie Irving,2017-11-08,5.0,6.5233927
Kyrie Irving,2017-11-10,0.0,6.1275063
Kyrie Irving,2017-11-14,5.0,4.8303227
Kyrie Irving,2017-11-16,6.0,6.877709
LaMarcus Aldridge,2017-10-30,2.0,2.2783108
LaMarcus Aldridge,2017-11-02,2.0,2.2560406
LaMarcus Aldridge,2017-11-03,3.0,2.252963
LaMarcus Aldridge,2017-11-05,2.0,1.9673113
LaMarcus Aldridge,2017-11-07,2.0,2.4201775
LaMarcus Aldridge,2017-11-10,4.0,3.0543997
LaMarcus Aldridge,2017-11-11,3.0,2.895241
LaMarcus Aldridge,2017-11-14,4.0,2.3925152
LaMarcus Aldridge,2017-11-15,3.0,2.8349905
LeBron James,2017-10-29,7.0,9.239457
LeBron James,2017-11-01,11.0,8.116253
LeBron James,2017-11-03,7.0,8.00598
LeBron James,2017-11-05,12.999999,8.189917
LeBron James,2017-11-07,9.0,7.1497645
LeBron James,2017-11-09,7.0,7.1918874
LeBron James,2017-11-11,4.0,7.742647
LeBron James,2017-11-13,12.0,6.7860255
LeBron James,2017-11-15,8.0,6.8516674
Marc Gasol,2017-10-28,5.0,4.1487575
Marc Gasol,2017-10-30,2.0,3.0393565
Marc Gasol,2017-11-01,0.0,2.883208
Marc Gasol,2017-11-05,7.0,4.914198
Marc Gasol,2017-11-07,4.0,4.3732243
Marc Gasol,2017-11-11,3.0,3.7904496
Marc Gasol,2017-11-13,6.0,3.8801622
Marc Gasol,2017-11-15,5.0,3.885148
Myles Turner,2017-11-15,4.0,2.6287155
Nikola Jokic,2017-10-29,4.0,5.789435
Nikola Jokic,2017-10-30,2.0,5.291026
Nikola Jokic,2017-11-01,10.0,5.903979
Nikola Jokic,2017-11-03,2.0,3.9186227
Nikola Jokic,2017-11-04,3.0,5.199913
Nikola Jokic,2017-11-07,5.0,5.2925973
Nikola Jokic,2017-11-09,3.0,4.845719
Nikola Jokic,2017-11-11,9.0,5.0420504
Nikola Jokic,2017-11-13,3.0,4.5052342
Nikola Vucevic,2017-10-30,3.0,2.850553
Nikola Vucevic,2017-11-01,4.0,3.359457
Nikola Vucevic,2017-11-03,2.0,2.4930625
Nikola Vucevic,2017-11-08,1.0,2.4972434
Nikola Vucevic,2017-11-10,2.0,2.9760094
Nikola Vucevic,2017-11-11,2.0,2.9625602
Nikola Vucevic,2017-11-13,4.0,3.6243672
Nikola Vucevic,2017-11-15,4.0,3.2321882
Paul George,2017-10-28,0.0,2.228755
Paul George,2017-10-31,0.0,1.9833658
Paul George,2017-11-03,1.0,1.4698348
Paul George,2017-11-05,2.0,2.5920925
Paul George,2017-11-07,2.0,2.698234
Paul George,2017-11-09,2.0,2.7429533
Paul George,2017-11-10,7.0,4.9846864
Paul George,2017-11-12,5.0,3.8322396
Paul George,2017-11-15,0.0,3.3192258
Ricky Rubio,2017-10-30,6.0,6.546835
Ricky Rubio,2017-11-01,1.0,4.3316517
Ricky Rubio,2017-11-03,3.0,5.817034
Ricky Rubio,2017-11-05,3.0,5.6597633
Ricky Rubio,2017-11-11,8.0,5.5830426
Ricky Rubio,2017-11-13,2.0,5.351549
Rudy Gobert,2017-10-28,0.0,1.8778005
Rudy Gobert,2017-10-30,6.0,3.1494176
Rudy Gobert,2017-11-01,1.0,2.0245247
Rudy Gobert,2017-11-03,0.0,2.3869648
Rudy Gobert,2017-11-05,1.0,2.389251
Rudy Gobert,2017-11-07,1.0,3.0174565
Rudy Gobert,2017-11-10,0.0,3.0407872
Russell Westbrook,2017-10-28,13.000001,12.5333
Russell Westbrook,2017-10-31,10.0,10.451888
