player_name,game_date,blk,blk_pred
Aaron Gordon,2017-11-03,0.0,0.40081438
Aaron Gordon,2017-11-05,1.0,0.4382204
Aaron Gordon,2017-11-08,1.0,0.90192175
Aaron Gordon,2017-11-10,1.0,0.39342803
Aaron Gordon,2017-11-11,1.0,0.8345117
Andre Drummond,2017-10-28,3.0,1.2899799
Andre Drummond,2017-10-29,0.0,0.35645437
Andre Drummond,2017-10-31,0.0,0.46614474
Andre Drummond,2017-11-03,2.0,0.56551576
Andre Drummond,2017-11-04,1.0,0.075704545
Andre Drummond,2017-11-08,1.0,1.4943702
Andre Drummond,2017-11-10,2.0,1.2023696
Andre Drummond,2017-11-12,1.0,0.47632143
Andre Drummond,2017-11-15,0.0,0.1367257
Anthony Davis,2017-11-01,1.0,1.0015992
Anthony Davis,2017-11-03,3.0,2.2088385
Anthony Davis,2017-11-04,3.0,2.144747
Anthony Davis,2017-11-07,2.0,1.2196586
Anthony Davis,2017-11-09,2.0,1.7744334
Anthony Davis,2017-11-11,2.0,2.1372244
Anthony Davis,2017-11-13,4.0,1.8728876
Anthony Davis,2017-11-15,1.0,1.3386967
Ben Simmons,2017-11-03,3.0,2.0017107
Ben Simmons,2017-11-07,3.0,1.3951588
Ben Simmons,2017-11-09,0.0,0.07540197
Ben Simmons,2017-11-11,0.0,0.04465024
Ben Simmons,2017-11-13,1.0,0.49168575
Ben Simmons,2017-11-15,1.0,0.440153
Blake Griffin,2017-10-30,0.0,-0.033056825
Blake Griffin,2017-11-01,0.0,-0.051804215
Blake Griffin,2017-11-05,0.0,-0.006360233
Blake Griffin,2017-11-07,0.0,0.048737325
Blake Griffin,2017-11-10,0.0,-0.13602602
Blake Griffin,2017-11-11,0.0,-0.14031419
Blake Griffin,2017-11-13,1.0,0.06314774
Bradley Beal,2017-11-03,0.0,-0.36422718
Bradley Beal,2017-11-05,0.0,-0.38285413
Bradley Beal,2017-11-07,0.0,-0.3450661
Bradley Beal,2017-11-09,0.0,-0.432437
Bradley Beal,2017-11-11,0.0,-0.50485337
Bradley Beal,2017-11-13,0.0,-0.18838522
Bradley Beal,2017-11-15,0.0,0.051822826
CJ McCollum,2017-11-02,0.0,-0.016571328
CJ McCollum,2017-11-05,0.0,-0.04784444
Carmelo Anthony,2017-10-28,0.0,0.0148406625
Clint Capela,2017-11-14,0.0,-0.43627033
D'Angelo Russell,2017-11-06,1.0,0.71955574
Damian Lillard,2017-10-28,0.0,-0.6134857
Damian Lillard,2017-10-30,1.0,0.75881016
Damian Lillard,2017-11-01,1.0,0.65351677
Damian Lillard,2017-11-02,0.0,-0.10656005
Damian Lillard,2017-11-05,1.0,0.6291878
Damian Lillard,2017-11-07,0.0,-0.3697976
Damian Lillard,2017-11-10,0.0,-0.12906155
Damian Lillard,2017-11-13,0.0,-0.5669745
Damian Lillard,2017-11-15,0.0,-0.10408133
DeAndre Jordan,2017-10-30,0.0,0.2414753
DeAndre Jordan,2017-11-01,2.0,0.46991166
