player_name,game_date,pts,pts_pred
Aaron Gordon,2017-11-03,11.0,24.746632
Aaron Gordon,2017-11-05,18.0,23.624058
Aaron Gordon,2017-11-08,21.0,22.864933
Aaron Gordon,2017-11-10,22.0,24.959192
Aaron Gordon,2017-11-11,13.0,23.54324
Andre Drummond,2017-10-28,15.0,15.885561
Andre Drummond,2017-10-29,8.0,14.752592
Andre Drummond,2017-10-31,10.0,15.914843
Andre Drummond,2017-11-03,24.0,15.353416
Andre Drummond,2017-11-04,16.0,15.300659
Andre Drummond,2017-11-08,14.0,15.928501
Andre Drummond,2017-11-10,16.0,13.949308
Andre Drummond,2017-11-12,8.0,14.104441
Andre Drummond,2017-11-15,13.0,14.862608
Anthony Davis,2017-11-01,24.000002,19.704079
Anthony Davis,2017-11-03,30.000002,19.050762
Anthony Davis,2017-11-04,27.000002,21.416069
Anthony Davis,2017-11-07,37.0,17.106003
Anthony Davis,2017-11-09,18.0,19.208397
Anthony Davis,2017-11-11,25.0,19.137749
Anthony Davis,2017-11-13,13.0,19.558117
Anthony Davis,2017-11-15,19.0,15.7122755
Ben Simmons,2017-11-03,14.0,17.47089
Ben Simmons,2017-11-07,16.0,16.267359
Ben Simmons,2017-11-09,18.0,17.684576
Ben Simmons,2017-11-11,12.999999,17.744339
Ben Simmons,2017-11-13,22.0,18.624916
Ben Simmons,2017-11-15,18.0,18.161785
Blake Griffin,2017-10-30,16.0,20.433306
Blake Griffin,2017-11-01,20.0,20.995554
Blake Griffin,2017-11-05,23.0,21.478838
Blake Griffin,2017-11-07,15.0,21.398504
Blake Griffin,2017-11-10,17.0,22.25736
Blake Griffin,2017-11-11,26.0,22.078993
Blake Griffin,2017-11-13,29.0,22.955614
Bradley Beal,2017-11-03,36.0,21.400585
Bradley Beal,2017-11-05,38.0,21.888937
Bradley Beal,2017-11-07,23.0,21.43119
Bradley Beal,2017-11-09,22.0,19.891117
Bradley Beal,2017-11-11,19.0,17.546467
Bradley Beal,2017-11-13,14.0,19.30373
