player_name,game_date,reb,reb_pred
Aaron Gordon,2017-11-03,7.0,8.437349
Aaron Gordon,2017-11-05,12.0,8.249166
Aaron Gordon,2017-11-08,4.0,6.629125
Aaron Gordon,2017-11-10,7.0,7.1369557
Aaron Gordon,2017-11-11,3.0,5.179923
Andre Drummond,2017-10-28,17.0,15.845115
Andre Drummond,2017-10-29,18.0,15.946847
Andre Drummond,2017-10-31,12.0,13.64255
Andre Drummond,2017-11-03,14.0,15.762906
Andre Drummond,2017-11-04,19.0,16.896582
Andre Drummond,2017-11-08,21.0,17.137465
Andre Drummond,2017-11-10,20.0,17.135233
Andre Drummond,2017-11-12,17.0,15.436203
Andre Drummond,2017-11-15,17.0,16.574173
Anthony Davis,2017-11-01,10.0,8.2738905
Anthony Davis,2017-11-03,13.0,10.096603
Anthony Davis,2017-11-04,16.0,10.061497
Anthony Davis,2017-11-07,14.0,9.586483
Anthony Davis,2017-11-09,7.0,8.839546
Anthony Davis,2017-11-11,10.0,7.4606876
Anthony Davis,2017-11-13,10.0,8.036993
Anthony Davis,2017-11-15,5.0,7.304513
Ben Simmons,2017-11-03,11.0,7.829428
Ben Simmons,2017-11-07,12.999999,8.836647
Ben Simmons,2017-11-09,2.0,5.0844326
Ben Simmons,2017-11-11,5.0,4.260952
Ben Simmons,2017-11-13,12.0,8.492854
Ben Simmons,2017-11-15,9.0,8.345738
Blake Griffin,2017-10-30,3.0,4.959954
Blake Griffin,2017-11-01,6.0,3.919708
Blake Griffin,2017-11-05,8.0,6.484428
Blake Griffin,2017-11-07,9.0,6.653015
Blake Griffin,2017-11-10,6.0,5.793525
Blake Griffin,2017-11-11,4.0,5.4114666
Blake Griffin,2017-11-13,6.0,5.2239094
Bradley Beal,2017-11-03,4.0,4.662808
Bradley Beal,2017-11-05,5.0,3.3806965
Bradley Beal,2017-11-07,4.0,4.3123283
Bradley Beal,2017-11-09,5.0,4.649472
Bradley Beal,2017-11-11,4.0,3.9926984
Bradley Beal,2017-11-13,7.0,4.6659436
Bradley Beal,2017-11-15,7.0,4.9370995
CJ McCollum,2017-11-02,2.0,4.6066585
CJ McCollum,2017-11-05,3.0,3.5385327
Carmelo Anthony,2017-10-28,5.0,4.6267433
Clint Capela,2017-11-14,11.0,9.84239
D'Angelo Russell,2017-11-06,6.0,4.565105
Damian Lillard,2017-10-28,7.0,6.1925907
Damian Lillard,2017-10-30,2.0,4.802992
Damian Lillard,2017-11-01,10.0,5.902946
Damian Lillard,2017-11-02,6.0,6.0722847
Damian Lillard,2017-11-05,5.0,4.6377764
Damian Lillard,2017-11-07,5.0,4.1803236
Damian Lillard,2017-11-10,9.0,6.456117
Damian Lillard,2017-11-13,5.0,6.033467
Damian Lillard,2017-11-15,11.0,7.150508
DeAndre Jordan,2017-10-30,11.0,9.932234
DeAndre Jordan,2017-11-01,9.0,10.294003
DeAndre Jordan,2017-11-05,19.0,13.400805
DeAndre Jordan,2017-11-07,7.0,8.580979
DeAndre Jordan,2017-11-10,12.0,11.80307
DeAndre Jordan,2017-11-11,14.0,11.690867
DeMar DeRozan,2017-11-01,1.0,3.236886
DeMar DeRozan,2017-11-03,6.0,4.0100727
DeMar DeRozan,2017-11-05,4.0,3.3265948
DeMar DeRozan,2017-11-07,4.0,3.4196224
DeMar DeRozan,2017-11-09,2.0,3.8706555
DeMar DeRozan,2017-11-12,3.0,4.1516643
DeMar DeRozan,2017-11-14,6.0,5.530062
DeMar DeRozan,2017-11-15,9.0,5.945349
DeMarcus Cousins,2017-10-30,12.0,11.428868
DeMarcus Cousins,2017-11-01,9.0,10.532449
DeMarcus Cousins,2017-11-03,22.0,16.057917
DeMarcus Cousins,2017-11-04,11.0,13.652304
DeMarcus Cousins,2017-11-07,13.0,14.216938
DeMarcus Cousins,2017-11-09,15.0,15.042559
DeMarcus Cousins,2017-11-11,15.0,14.657683
DeMarcus Cousins,2017-11-13,16.0,14.281709
DeMarcus Cousins,2017-11-15,9.0,12.728143
Dennis Schroder,2017-11-01,3.0,2.8494825
Dennis Schroder,2017-11-03,2.0,3.0330024
Dennis Schroder,2017-11-05,3.0,3.4554198
Dennis Schroder,2017-11-06,2.0,3.5159492
Dennis Schroder,2017-11-10,4.0,3.5101814
Dennis Schroder,2017-11-11,7.0,3.9004817
Draymond Green,2017-10-30,9.0,6.9922442
Draymond Green,2017-11-02,5.0,6.1441708
Draymond Green,2017-11-04,7.0,6.651254
Draymond Green,2017-11-06,9.0,5.9858446
Draymond Green,2017-11-08,6.0,6.869543
Draymond Green,2017-11-11,10.0,6.7854795
Draymond Green,2017-11-13,4.0,5.6499863
Draymond Green,2017-11-16,8.0,6.6021423
Dwight Howard,2017-11-05,9.0,9.0617075
Dwight Howard,2017-11-10,11.0,10.331419
Dwight Howard,2017-11-15,5.0,8.615761
Giannis Antetokounmpo,2017-10-29,11.0,9.437966
Giannis Antetokounmpo,2017-10-31,8.0,8.566003
Giannis Antetokounmpo,2017-11-01,12.999999,8.258549
Giannis Antetokounmpo,2017-11-03,4.0,7.804759
Giannis Antetokounmpo,2017-11-07,9.0,8.151361
Giannis Antetokounmpo,2017-11-10,12.0,10.503418
Giannis Antetokounmpo,2017-11-11,15.0,9.53793
Giannis Antetokounmpo,2017-11-13,9.0,7.9110217
Giannis Antetokounmpo,2017-11-15,6.0,7.763814
Hassan Whiteside,2017-11-08,10.0,11.390578
Hassan Whiteside,2017-11-10,20.0,12.955078
Hassan Whiteside,2017-11-12,12.000001,11.826053
Hassan Whiteside,2017-11-15,21.000002,9.582097
James Harden,2017-10-28,4.0,4.7536507
James Harden,2017-10-30,4.0,5.003743
James Harden,2017-11-01,5.0,4.075766
James Harden,2017-11-03,3.0,4.6498866
James Harden,2017-11-05,2.0,4.0586233
James Harden,2017-11-09,11.0,5.4747267
James Harden,2017-11-11,4.0,4.5179787
James Harden,2017-11-12,5.0,4.2899857
James Harden,2017-11-14,6.0,4.919364
James Harden,2017-11-16,2.0,5.5788355
Jimmy Butler,2017-11-01,4.0,4.091133
Jimmy Butler,2017-11-04,5.0,4.436375
Jimmy Butler,2017-11-05,6.0,4.066894
Jimmy Butler,2017-11-08,3.0,3.7336261
Jimmy Butler,2017-11-15,5.0,4.1430955
Joel Embiid,2017-10-30,9.0,7.9607773
Joel Embiid,2017-11-01,12.0,10.492792
Joel Embiid,2017-11-03,9.0,11.815041
Joel Embiid,2017-11-09,15.0,11.681928
Joel Embiid,2017-11-11,7.0,10.972277
Joel Embiid,2017-11-13,16.0,11.4425125
Joel Embiid,2017-11-15,15.0,12.049542
John Wall,2017-10-29,2.0,2.7685034
John Wall,2017-11-01,5.0,3.4036477
John Wall,2017-11-03,6.0,4.6157885
John Wall,2017-11-07,3.0,4.382325
John Wall,2017-11-09,8.0,5.529515
John Wall,2017-11-11,5.0,3.3739486
John Wall,2017-11-13,2.0,3.1091523
John Wall,2017-11-15,4.0,2.7753785
Jusuf Nurkic,2017-11-05,8.0,4.973447
Jusuf Nurkic,2017-11-07,5.0,4.702319
Jusuf Nurkic,2017-11-10,5.0,5.027089
Jusuf Nurkic,2017-11-13,5.0,5.3673882
Jusuf Nurkic,2017-11-15,8.0,6.0262856
Karl-Anthony Towns,2017-10-27,19.0,12.908109
Karl-Anthony Towns,2017-10-30,12.0,11.935168
Karl-Anthony Towns,2017-11-01,5.0,8.632465
Karl-Anthony Towns,2017-11-04,12.0,10.363642
Karl-Anthony Towns,2017-11-05,9.0,10.529652
Karl-Anthony Towns,2017-11-08,12.0,11.107033
Karl-Anthony Towns,2017-11-11,12.0,9.054247
Karl-Anthony Towns,2017-11-13,13.0,11.074744
Karl-Anthony Towns,2017-11-15,15.999999,13.212794
Kemba Walker,2017-10-29,6.0,2.8844204
Kemba Walker,2017-10-30,2.0,1.3377075
Kemba Walker,2017-11-01,2.0,0.8433924
Kemba Walker,2017-11-03,0.0,1.4890596
Kemba Walker,2017-11-05,2.0,1.6738418
Kemba Walker,2017-11-10,5.0,2.8174546
Kemba Walker,2017-11-15,5.0,2.2047672
Kevin Durant,2017-10-30,7.0,7.3398113
Kevin Durant,2017-11-02,8.0,7.3079042
Kevin Durant,2017-11-04,7.0,6.602109
Kevin Durant,2017-11-06,8.0,6.396738
Kevin Durant,2017-11-11,5.0,5.7561145
Kevin Durant,2017-11-13,7.0,6.9067006
Kevin Durant,2017-11-16,3.0,7.0979924
Kevin Love,2017-11-01,13.0,8.878545
Kevin Love,2017-11-03,8.0,5.315331
Kevin Love,2017-11-05,4.0,5.5684786
Kevin Love,2017-11-13,6.0,5.40436
Khris Middleton,2017-11-11,4.0,4.262847
Kristaps Porzingis,2017-10-30,7.0,5.738098
Kristaps Porzingis,2017-11-01,5.0,6.111357
Kristaps Porzingis,2017-11-03,7.0,5.8916717
Kristaps Porzingis,2017-11-05,8.0,5.9903755
Kristaps Porzingis,2017-11-07,5.0,6.392953
Kristaps Porzingis,2017-11-11,5.0,5.402979
Kristaps Porzingis,2017-11-13,7.0,6.713399
Kristaps Porzingis,2017-11-15,8.0,8.019081
Kyle Lowry,2017-11-07,6.0,4.871148
Kyle Lowry,2017-11-09,6.0,4.1036754
Kyle Lowry,2017-11-12,1.0,4.3649836
Kyle Lowry,2017-11-14,5.0,5.0922666
