player_name,game_date,tov,tov_pred
Aaron Gordon,2017-11-03,2.0,2.2509255
Aaron Gordon,2017-11-05,1.0,1.248637
Aaron Gordon,2017-11-08,0.0,1.5194374
Aaron Gordon,2017-11-10,1.0,1.239303
Aaron Gordon,2017-11-11,2.0,1.51217
Andre Drummond,2017-10-28,3.0,2.2841165
Andre Drummond,2017-10-29,4.0,2.4820013
Andre Drummond,2017-10-31,0.0,1.506038
Andre Drummond,2017-11-03,0.0,1.6887882
Andre Drummond,2017-11-04,2.0,1.7700688
Andre Drummond,2017-11-08,4.0,2.7299554
Andre Drummond,2017-11-10,6.0,3.353769
Andre Drummond,2017-11-12,3.0,3.157764
Andre Drummond,2017-11-15,4.0,3.2612314
Anthony Davis,2017-11-01,2.0,2.0394936
Anthony Davis,2017-11-03,4.0,2.2608616
Anthony Davis,2017-11-04,2.0,2.3346815
Anthony Davis,2017-11-07,2.0,1.8756764
Anthony Davis,2017-11-09,0.0,1.9832696
Anthony Davis,2017-11-11,1.0,1.8919958
Anthony Davis,2017-11-13,5.0,2.3745177
Anthony Davis,2017-11-15,2.0,2.4081137
Ben Simmons,2017-11-03,5.0,3.741307
Ben Simmons,2017-11-07,6.0,4.245543
Ben Simmons,2017-11-09,4.0,4.0682645
Ben Simmons,2017-11-11,4.0,3.5144641
Ben Simmons,2017-11-13,5.0,3.2806997
Ben Simmons,2017-11-15,1.0,2.7340233
Blake Griffin,2017-10-30,3.0,2.3360953
Blake Griffin,2017-11-01,2.0,2.5626588
Blake Griffin,2017-11-05,2.0,2.461769
Blake Griffin,2017-11-07,1.0,2.14228
Blake Griffin,2017-11-10,2.0,2.8407068
Blake Griffin,2017-11-11,3.0,2.7400866
Blake Griffin,2017-11-13,5.0,3.191393
Bradley Beal,2017-11-03,4.0,3.3132029
Bradley Beal,2017-11-05,4.0,2.8012815
Bradley Beal,2017-11-07,5.0,3.07758
Bradley Beal,2017-11-09,4.0,2.9477186
Bradley Beal,2017-11-11,3.0,2.8724408
Bradley Beal,2017-11-13,3.0,2.8002834
Bradley Beal,2017-11-15,2.0,2.532127
CJ McCollum,2017-11-02,2.0,2.6881287
CJ McCollum,2017-11-05,3.0,2.3672566
Carmelo Anthony,2017-10-28,0.0,2.393763
Clint Capela,2017-11-14,0.0,0.91365343
D'Angelo Russell,2017-11-06,5.0,5.099761
Damian Lillard,2017-10-28,2.0,2.6746676
Damian Lillard,2017-10-30,6.0,2.737919
Damian Lillard,2017-11-01,5.0,3.2086573
Damian Lillard,2017-11-02,2.0,2.7391894
Damian Lillard,2017-11-05,2.0,2.850246
Damian Lillard,2017-11-07,5.0,3.146415
Damian Lillard,2017-11-10,2.0,2.9478352
Damian Lillard,2017-11-13,4.0,2.8756924
Damian Lillard,2017-11-15,2.0,2.695686
DeAndre Jordan,2017-10-30,1.0,1.3574438
DeAndre Jordan,2017-11-01,3.0,1.8177899
DeAndre Jordan,2017-11-05,1.0,1.6457106
DeAndre Jordan,2017-11-07,3.0,1.9923409
DeAndre Jordan,2017-11-10,4.0,2.178543
DeAndre Jordan,2017-11-11,1.0,1.7075115
DeMar DeRozan,2017-11-01,2.0,3.9624462
DeMar DeRozan,2017-11-03,6.0,3.9410553
DeMar DeRozan,2017-11-05,2.0,3.131106
DeMar DeRozan,2017-11-07,3.0,3.1070042
DeMar DeRozan,2017-11-09,2.0,3.3036203
DeMar DeRozan,2017-11-12,3.0,3.535544
DeMar DeRozan,2017-11-14,3.0,3.6667256
DeMar DeRozan,2017-11-15,3.0,4.0275292
