player_name,game_date,y_true,y_pred
Al Horford,2017-11-01,26.4,30.896332
Al Horford,2017-11-03,33.6,35.5711
Al Horford,2017-11-05,26.0,30.35249
Al Horford,2017-11-12,34.6,37.24435
Al-Farouq Aminu,2017-10-28,31.0,28.59161
Al-Farouq Aminu,2017-10-30,18.9,24.26062
Al-Farouq Aminu,2017-11-01,18.199999,25.841572
Alex Len,2017-11-10,41.1,42.261856
Alex Len,2017-11-11,17.1,25.547009
Alex Len,2017-11-13,15.699999,28.876225
Alex Len,2017-11-16,24.6,16.282799
Allen Crabbe,2017-10-31,11.2,9.770708
Allen Crabbe,2017-11-06,25.800001,24.20833
Allen Crabbe,2017-11-10,26.0,20.805788
Allen Crabbe,2017-11-11,11.999999,14.396053
Allen Crabbe,2017-11-14,28.1,21.721306
Andrew Wiggins,2017-10-27,27.099998,25.48653
Andrew Wiggins,2017-10-30,34.899998,33.113407
Andrew Wiggins,2017-11-01,25.2,26.905313
Andrew Wiggins,2017-11-04,30.6,34.608643
Andrew Wiggins,2017-11-05,28.6,32.828987
Andrew Wiggins,2017-11-08,37.7,34.873676
Andrew Wiggins,2017-11-11,34.2,34.488632
Andrew Wiggins,2017-11-13,29.800001,30.038273
Andrew Wiggins,2017-11-15,17.9,35.227108
Austin Rivers,2017-11-05,32.9,27.627243
Austin Rivers,2017-11-07,33.899998,27.60304
Austin Rivers,2017-11-10,19.0,22.960533
Austin Rivers,2017-11-11,29.6,28.837841
Austin Rivers,2017-11-13,22.6,25.8695
Avery Bradley,2017-10-28,31.0,29.413311
Avery Bradley,2017-10-29,33.2,22.942106
Avery Bradley,2017-10-31,14.000001,19.422512
Avery Bradley,2017-11-03,37.399998,31.026468
Avery Bradley,2017-11-04,31.9,28.666437
Avery Bradley,2017-11-08,19.6,22.16136
Avery Bradley,2017-11-10,25.8,35.707638
Avery Bradley,2017-11-12,35.699997,31.539711
Avery Bradley,2017-11-15,35.9,36.116486
Bojan Bogdanovic,2017-11-12,13.9,18.994856
Bojan Bogdanovic,2017-11-15,20.1,30.77755
Brandon Ingram,2017-10-28,31.2,41.385563
Brandon Ingram,2017-10-31,38.0,27.682419
Brandon Ingram,2017-11-02,27.1,25.000986
Brandon Ingram,2017-11-03,40.0,38.146618
Brandon Ingram,2017-11-05,28.9,31.074266
Brandon Ingram,2017-11-08,32.9,31.459389
Brandon Ingram,2017-11-09,15.3,21.94943
Brandon Ingram,2017-11-11,18.2,26.031029
Brandon Ingram,2017-11-13,14.6,21.687641
Brandon Ingram,2017-11-15,47.699997,44.793556
Brook Lopez,2017-10-31,20.2,33.09633
Brook Lopez,2017-11-02,33.1,31.500555
Brook Lopez,2017-11-03,55.0,53.8299
Brook Lopez,2017-11-05,35.7,30.78022
Brook Lopez,2017-11-08,19.300001,26.13725
Brook Lopez,2017-11-09,27.8,32.59856
Brook Lopez,2017-11-11,21.9,26.25283
Brook Lopez,2017-11-13,29.499998,31.087751
Brook Lopez,2017-11-15,13.400001,32.16566
Buddy Hield,2017-10-29,11.099999,20.640774
Buddy Hield,2017-11-09,21.8,25.21028
Buddy Hield,2017-11-11,30.400002,22.513405
Buddy Hield,2017-11-13,27.1,20.529497
Buddy Hield,2017-11-15,19.4,23.447348
CJ McCollum,2017-11-15,39.3,37.993687
Caris LeVert,2017-10-29,22.7,19.689287
