player_name,game_id,game_date,y,y_pred,fanduel_salary,draftkings_salary,yahoo_salary,fanduel_position,draftkings_position,yahoo_position
Allen Crabbe,21600843,2017-02-15,1,0.9930774,3800.0,3800.0,10.0,SG/SF,SG/SF,SG
Tony Snell,21600838,2017-02-15,2,1.9639391,3300.0,3300.0,10.0,SF,SF,SF
DeMarre Carroll,21600837,2017-02-15,1,1.0024354,4400.0,4400.0,12.0,SF,SF,SF
JaMychal Green,21600840,2017-02-15,1,0.9930774,4300.0,4300.0,12.0,PF,PF,PF
Solomon Hill,21600840,2017-02-15,2,1.9661338,3700.0,3700.0,10.0,SF,SF,SF
Tyson Chandler,21600844,2017-02-15,2,1.9717581,5400.0,5400.0,19.0,C,C,C
Langston Galloway,21600840,2017-02-15,0,0.020609396,3000.0,3000.0,10.0,SG,SG,SG
Jamal Crawford,21600846,2017-02-15,2,1.9608337,4800.0,4800.0,14.0,SG,SG,SG
Kevon Looney,21600847,2017-02-15,4,3.8644829,3000.0,3000.0,10.0,PF,PF,PF
Toney Douglas,21600840,2017-02-15,2,1.956672,3000.0,3000.0,10.0,PG,PG,PG
Jeff Teague,21600835,2017-02-15,0,0.042161465,7400.0,7400.0,34.0,PG,PG,PG
Brandon Rush,21600842,2017-02-15,2,1.9639391,3000.0,3000.0,10.0,SG,SG,SG
Ron Baker,21600845,2017-02-15,0,0.027051987,3000.0,3000.0,10.0,PG/SG,PG/SG,SG
Jusuf Nurkic,21600843,2017-02-15,3,2.9310412,3900.0,3900.0,10.0,C,C,C
Andre Iguodala,21600847,2017-02-15,1,0.99259716,4300.0,4300.0,10.0,SF,SF,SF
Victor Oladipo,21600845,2017-02-15,1,1.2025132,6000.0,6000.0,24.0,SG,SG,SG
Kentavious Caldwell-Pope,21600839,2017-02-15,0,0.1328746,5000.0,5000.0,19.0,SG,SG,SG
Trevor Booker,21600838,2017-02-15,1,0.9871527,4600.0,4600.0,18.0,PF,PF,PF
Chandler Parsons,21600840,2017-02-15,1,0.9930774,3700.0,3700.0,10.0,SF/PF,SF/PF,SF
Kosta Koufos,21600847,2017-02-15,0,0.020558784,3500.0,3500.0,10.0,C,C,C
Justin Holiday,21600845,2017-02-15,1,0.98188835,3300.0,3300.0,10.0,SG/SF,SG/SF,SF
Dejounte Murray,21600834,2017-02-15,0,0.020609396,3000.0,3000.0,10.0,PG,PG,PG
Jahlil Okafor,21600836,2017-02-15,0,0.027051987,4500.0,4500.0,10.0,C,C,C
Mike Dunleavy,21600846,2017-02-15,0,0.020609396,3000.0,3000.0,10.0,SF,SF,SF
Mike Tobey,21600837,2017-02-15,0,0.15337949,3000.0,3000.0,10.0,C,C,C
Brandon Bass,21600846,2017-02-15,1,0.9923176,3000.0,3000.0,10.0,C,C,C
James Jones,21600835,2017-02-15,0,0.020609396,3000.0,3000.0,10.0,SG,SG,SG
Willie Cauley-Stein,21600847,2017-02-15,1,0.9923176,3600.0,3600.0,10.0,C,C,C
Danny Green,21600834,2017-02-15,3,2.9382775,3700.0,3700.0,10.0,SG,SG,SG
Tyler Zeller,21600836,2017-02-15,0,0.020609396,3000.0,3000.0,10.0,C,C,PF
Gerald Green,21600836,2017-02-15,0,0.020609396,3000.0,3000.0,10.0,SF,SF,SF
Nerlens Noel,21600836,2017-02-15,3,2.8929422,6100.0,6100.0,13.0,PF/C,PF/C,C
Kay Felder,21600835,2017-02-15,0,0.027051987,3000.0,3000.0,10.0,PG,PG,PG
Buddy Hield,21600840,2017-02-15,1,0.9878803,3800.0,3800.0,10.0,SG,SG,SG
James Michael McAdoo,21600847,2017-02-15,0,0.027051987,3000.0,3000.0,10.0,PF,PF,PF
Kevin Seraphin,21600835,2017-02-15,0,0.020609396,3700.0,3700.0,10.0,PF/C,PF/C,C
Michael Beasley,21600838,2017-02-15,1,0.9923176,5500.0,5500.0,12.0,SF/PF,SF/PF,PF
Gary Harris,21600842,2017-02-15,2,1.9346275,4900.0,4900.0,17.0,SG,SG,SG
Randy Foye,21600838,2017-02-15,0,0.020558784,3000.0,3000.0,10.0,SG,SG,SG
Andre Drummond,21600839,2017-02-15,0,0.79322416,7600.0,7600.0,34.0,C,C,C
Anthony Davis,21600840,2017-02-15,1,0.993257,10000.0,10000.0,52.0,C,C,C
