player_name,game_id,game_date,y,y_pred
Allen Crabbe,21600843,2017-02-15,3,2.9538798
Tony Snell,21600838,2017-02-15,1,0.9683728
DeMarre Carroll,21600837,2017-02-15,1,0.9971703
JaMychal Green,21600840,2017-02-15,1,0.64836824
Solomon Hill,21600840,2017-02-15,0,0.045427136
Tyson Chandler,21600844,2017-02-15,0,0.048381597
Langston Galloway,21600840,2017-02-15,0,0.036958136
Jamal Crawford,21600846,2017-02-15,1,1.0975116
Kevon Looney,21600847,2017-02-15,0,0.045427136
Toney Douglas,21600840,2017-02-15,0,0.040552907
Jeff Teague,21600835,2017-02-15,2,1.9358915
Brandon Rush,21600842,2017-02-15,1,1.0045508
Ron Baker,21600845,2017-02-15,0,0.045427136
Jusuf Nurkic,21600843,2017-02-15,4,4.0679173
Andre Iguodala,21600847,2017-02-15,1,1.0517856
Victor Oladipo,21600845,2017-02-15,2,1.6868566
Kentavious Caldwell-Pope,21600839,2017-02-15,0,0.035464726
Trevor Booker,21600838,2017-02-15,3,2.8860695
Chandler Parsons,21600840,2017-02-15,0,0.048381597
Kosta Koufos,21600847,2017-02-15,0,0.045427136
Justin Holiday,21600845,2017-02-15,0,0.02685985
Dejounte Murray,21600834,2017-02-15,1,1.1310796
Jahlil Okafor,21600836,2017-02-15,1,1.1049409
Mike Dunleavy,21600846,2017-02-15,1,0.999897
Mike Tobey,21600837,2017-02-15,0,0.07536371
Brandon Bass,21600846,2017-02-15,1,0.999897
James Jones,21600835,2017-02-15,0,0.036958136
Willie Cauley-Stein,21600847,2017-02-15,4,3.9018447
Danny Green,21600834,2017-02-15,3,3.0472949
Tyler Zeller,21600836,2017-02-15,1,1.0320655
Gerald Green,21600836,2017-02-15,0,0.045427136
Nerlens Noel,21600836,2017-02-15,4,3.9310374
Kay Felder,21600835,2017-02-15,0,0.024062283
Buddy Hield,21600840,2017-02-15,0,0.036958136
James Michael McAdoo,21600847,2017-02-15,0,0.045427136
Kevin Seraphin,21600835,2017-02-15,0,0.036958136
Michael Beasley,21600838,2017-02-15,0,0.19762205
Gary Harris,21600842,2017-02-15,2,1.5090439
Randy Foye,21600838,2017-02-15,2,2.0159643
Andre Drummond,21600839,2017-02-15,2,1.9666835
Anthony Davis,21600840,2017-02-15,3,3.0411246
Mason Plumlee,21600842,2017-02-15,1,1.033488
Nemanja Bjelica,21600842,2017-02-15,0,0.046888188
Jordan Clarkson,21600844,2017-02-15,3,3.0999284
Courtney Lee,21600845,2017-02-15,1,0.99125934
Rashad Vaughn,21600838,2017-02-15,1,0.99125934
Rakeem Christmas,21600835,2017-02-15,0,0.036958136
Austin Rivers,21600846,2017-02-15,1,1.092284
Gordon Hayward,21600843,2017-02-15,0,0.030179448
Yogi Ferrell,21600839,2017-02-15,1,1.2148197
Gorgui Dieng,21600842,2017-02-15,0,0.036958136
D.J. Augustin,21600834,2017-02-15,2,1.9895918
Lamar Patterson,21600846,2017-02-15,2,1.9842751
Raul Neto,21600843,2017-02-15,0,0.036958136
